ENSMUSG,Transporter
ENSMUSG00000034112,3.A.3.2.9
ENSMUSG00000063142,1.A.1.3.2
ENSMUSG00000020600,2.A.3.8.11
ENSMUSG00000036853,1.A.5.3.4
ENSMUSG00000023926,1.A.11.4.3
ENSMUSG00000028825,1.A.11.4.3
ENSMUSG00000030768,2.A.6.9.2
ENSMUSG00000030834,3.A.1.208.1
ENSMUSG00000020226,2.A.21.3.18
ENSMUSG00000020229,2.A.21.3.18
ENSMUSG00000079258,1.A.84.1.9
ENSMUSG00000020264,2.A.18.8.6
ENSMUSG00000024308,9.A.75.1.2
ENSMUSG00000035929,9.A.75.1.2
ENSMUSG00000060550,9.A.75.1.2
ENSMUSG00000060802,9.A.75.1.2
ENSMUSG00000061232,9.A.75.1.2
ENSMUSG00000067235,9.A.75.1.2
ENSMUSG00000073402,9.A.75.1.2
ENSMUSG00000073406,9.A.75.1.2
ENSMUSG00000073409,9.A.75.1.2
ENSMUSG00000073411,9.A.75.1.2
ENSMUSG00000079507,9.A.75.1.2
ENSMUSG00000091705,9.A.75.1.2
ENSMUSG00000038879,2.A.7.25.10
ENSMUSG00000030382,4.C.1.1.13
ENSMUSG00000066595,2.A.1.28.1
ENSMUSG00000023828,2.A.1.19.6
ENSMUSG00000052395,2.A.66.3.2
ENSMUSG00000046410,1.A.1.8.3
ENSMUSG00000030428,1.A.48.1.2
ENSMUSG00000041052,2.A.3.8.8
ENSMUSG00000004567,1.A.5.3.1
ENSMUSG00000002763,3.A.20.1.1
ENSMUSG00000005069,3.A.20.1.1
ENSMUSG00000005907,3.A.20.1.1
ENSMUSG00000015120,3.A.20.1.1
ENSMUSG00000018733,3.A.20.1.1
ENSMUSG00000020003,3.A.20.1.1
ENSMUSG00000020283,3.A.20.1.1
ENSMUSG00000028975,3.A.20.1.1
ENSMUSG00000029047,3.A.20.1.1
ENSMUSG00000040374,3.A.20.1.1
ENSMUSG00000067825,3.A.20.1.1
ENSMUSG00000091896,3.A.20.1.1
ENSMUSG00000068615,1.A.24.1.13
ENSMUSG00000048833,2.A.5.6.1
ENSMUSG00000030096,2.A.22.3.3
ENSMUSG00000030495,2.A.3.8.13
ENSMUSG00000040010,2.A.3.8.25
ENSMUSG00000056073,1.A.10.1.11
ENSMUSG00000051596,1.A.110.1.1
ENSMUSG00000025790,2.A.60.1.18
ENSMUSG00000009378,2.A.1.13.14
ENSMUSG00000027896,2.A.1.13.7
ENSMUSG00000027953,2.A.123.1.4
ENSMUSG00000038260,1.A.4.5.12
ENSMUSG00000021771,1.B.8.1.12
ENSMUSG00000035722,3.A.1.211.10
ENSMUSG00000068566,1.A.64.3.1
ENSMUSG00000021721,9.A.14.3.14
ENSMUSG00000015452,8.A.23.1.19
ENSMUSG00000031904,2.A.3.8.23
ENSMUSG00000028854,2.A.36.1.1
ENSMUSG00000005952,1.A.4.2.13
ENSMUSG00000032769,1.A.4.6.1
ENSMUSG00000020411,2.A.7.25.4
ENSMUSG00000032473,1.H.1.1.8
ENSMUSG00000010064,2.A.18.6.3
ENSMUSG00000020838,2.A.22.1.1
ENSMUSG00000003346,8.A.161.1.1
ENSMUSG00000022367,4.D.1.1.18
ENSMUSG00000049265,1.A.1.9.2
ENSMUSG00000040164,1.A.1.2.7
ENSMUSG00000021499,1.A.1.19.1
ENSMUSG00000026331,1.A.1.19.1
ENSMUSG00000038498,1.A.1.19.1
ENSMUSG00000040828,1.A.1.19.1
ENSMUSG00000044056,1.A.1.19.1
ENSMUSG00000047014,1.A.1.19.1
ENSMUSG00000048003,1.A.1.19.1
ENSMUSG00000049123,1.A.1.19.1
ENSMUSG00000049676,1.A.1.19.1
ENSMUSG00000050623,1.A.1.19.1
ENSMUSG00000102483,1.A.1.19.1
ENSMUSG00000027827,8.A.5.1.1
ENSMUSG00000032120,8.A.78.1.1
ENSMUSG00000037434,2.A.4.2.6
ENSMUSG00000029321,2.A.28.1.4
ENSMUSG00000005360,2.A.23.2.6
ENSMUSG00000033854,1.A.1.9.4
ENSMUSG00000015401,2.A.22.6.3
ENSMUSG00000015405,2.A.22.6.3
ENSMUSG00000021565,2.A.22.6.3
ENSMUSG00000031232,1.A.76.1.1
ENSMUSG00000026463,3.A.3.2.1
ENSMUSG00000041313,2.A.3.3.9
ENSMUSG00000040901,1.A.1.18.1
ENSMUSG00000048807,2.A.7.9.11
ENSMUSG00000033792,3.A.3.5.6
ENSMUSG00000020734,1.A.10.1.3
ENSMUSG00000069041,2.A.29.1.8
ENSMUSG00000027463,2.A.125.1.2
ENSMUSG00000018566,2.A.1.1.80
ENSMUSG00000027953,2.A.123.1.8
ENSMUSG00000043029,1.A.4.2.9
ENSMUSG00000045730,9.A.14.3.5
ENSMUSG00000037418,1.A.46.1.1
ENSMUSG00000034115,1.A.1.10.9
ENSMUSG00000012428,5.B.6.1.3
ENSMUSG00000020402,1.B.8.1.3
ENSMUSG00000014609,1.A.9.1.1
ENSMUSG00000026251,1.A.9.1.1
ENSMUSG00000026253,1.A.9.1.1
ENSMUSG00000027107,1.A.9.1.1
ENSMUSG00000041189,1.A.9.1.1
ENSMUSG00000030255,1.A.37.5.1
ENSMUSG00000092083,1.A.1.2.25
ENSMUSG00000039747,1.A.52.1.3
ENSMUSG00000036760,1.A.1.9.11
ENSMUSG00000037624,1.A.1.9.1
ENSMUSG00000016534,9.A.16.1.2
ENSMUSG00000006641,2.A.21.5.7
