Transporter,Transporter_Superfamily
1.B.12.5.5,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.12.5.6,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.12.5.7,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.12.5.8,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.12.5.9,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.12.7.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.12.8.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.12.8.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.12.8.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.12.9.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.12.9.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.13.1.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.13.1.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.13.1.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.13.1.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.13.1.5,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.13.1.6,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.13.1.7,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.13.2.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.13.2.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.13.3.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.13.3.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.13.3.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.13.3.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.13.3.5,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.10,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.11,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.12,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.13,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.14,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.15,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.16,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.17,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.18,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.19,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.20,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.21,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.22,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.23,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.24,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.25,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.26,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.27,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.28,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.29,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.30,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.31,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.32,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.33,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.5,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.6,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.7,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.8,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.1.9,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.10.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.10.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.10.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.10.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.10.5,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.11.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.12.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.12.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.12.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.13.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.14.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.15.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.15.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.15.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.15.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.15.5,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.15.6,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.15.7,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.16.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.16.10,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.16.11,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.16.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.16.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.16.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.16.5,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.16.6,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.16.7,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.16.8,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.16.9,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.17.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.17.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.17.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.17.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.18.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.18.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.19.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.19.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.19.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.2.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.2.10,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.2.11,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.2.12,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.2.13,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.2.14,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.2.15,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.2.16,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.2.17,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.2.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.2.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.2.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.2.5,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.2.6,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.2.7,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.2.8,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.2.9,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.3.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.3.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.3.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.3.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.3.5,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.3.6,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.3.7,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.4.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.4.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.4.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.5.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.5.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.6.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.6.10,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.6.11,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.6.12,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.6.13,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.6.14,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.6.15,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.6.16,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.6.17,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.6.18,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.6.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.6.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.6.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.6.5,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.6.6,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.6.7,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.6.8,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.6.9,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.7.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.7.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.7.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.8.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.8.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.8.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.8.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.8.5,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.8.6,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.8.7,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.9.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.9.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.9.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.9.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.9.5,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.14.9.6,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.15.1.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.15.1.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.15.1.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.15.1.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.15.1.5,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.16.1.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.16.1.10,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.16.1.11,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.16.1.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.16.1.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.16.1.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.16.1.5,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.16.1.6,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.16.1.7,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.16.1.8,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.16.1.9,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.16.2.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.16.2.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.16.2.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.16.2.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.16.2.5,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.16.2.6,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.16.2.7,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.16.2.8,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.1.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.1.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.1.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.1.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.1.5,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.1.6,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.1.7,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.2.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.2.10,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.2.11,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.2.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.2.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.2.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.2.5,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.2.6,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.2.7,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.2.8,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.2.9,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.3.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.3.10,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.3.11,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.3.12,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.3.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.3.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.3.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.3.5,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.3.6,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.3.7,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.3.8,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.3.9,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.17.4.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.18.1.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.18.1.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.18.2.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.18.2.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.18.2.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.18.2.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.18.3.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.18.3.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.18.3.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.18.3.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.18.3.5,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.18.3.6,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.18.3.7,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.18.3.8,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.18.3.9,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.19.1.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.19.1.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.19.1.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.19.1.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.19.1.5,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.19.1.6,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.19.1.7,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.19.1.8,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.19.1.9,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.2.1.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.2.1.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.2.1.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.2.1.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.2.1.5,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.2.1.6,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.2.1.7,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.2.1.8,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.20.1.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.20.1.10,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.20.1.11,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.20.1.12,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.20.1.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.20.1.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.20.1.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.20.1.5,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.20.1.6,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.20.1.7,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.20.1.8,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.20.1.9,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.20.2.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.20.2.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.20.2.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.20.3.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.20.3.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.20.3.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.20.3.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.20.3.5,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.20.3.6,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.20.3.7,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.20.4.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.20.4.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.21.1.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.21.1.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.21.1.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.21.1.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.21.2.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.21.2.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.21.2.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.21.2.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.21.2.5,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.21.3.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.21.3.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.21.3.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.22.1.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.22.1.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.22.1.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.22.2.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.22.2.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.22.2.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.22.2.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.22.3.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.22.3.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.22.3.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.22.4.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.22.4.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.22.4.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.22.4.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.22.4.5,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.22.5.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.22.5.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.22.6.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.22.7.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.1.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.1.10,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.1.11,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.1.12,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.1.13,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.1.14,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.1.15,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.1.16,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.1.17,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.1.18,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.1.19,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.1.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.1.20,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.1.21,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.1.22,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.1.23,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.1.24,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.1.25,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.1.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.1.4,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.1.5,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.1.6,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.1.7,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.1.8,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.1.9,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.2.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.2.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.2.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.3.1,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.3.2,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
1.B.23.3.3,Outer Membrane Pore-forming Protein I (OMPP-I) Superfamily 
