Transporter,Transporter_Superfamily
1.A.1.27.4,VIC Superfamily
1.A.1.28.1,VIC Superfamily
1.A.1.28.2,VIC Superfamily
1.A.1.28.3,VIC Superfamily
1.A.1.28.4,VIC Superfamily
1.A.1.28.5,VIC Superfamily
1.A.1.28.6,VIC Superfamily
1.A.1.28.7,VIC Superfamily
1.A.1.28.8,VIC Superfamily
1.A.1.29.1,VIC Superfamily
1.A.1.29.2,VIC Superfamily
1.A.1.29.3,VIC Superfamily
1.A.1.29.4,VIC Superfamily
1.A.1.29.5,VIC Superfamily
1.A.1.29.6,VIC Superfamily
1.A.1.29.7,VIC Superfamily
1.A.1.3.1,VIC Superfamily
1.A.1.3.10,VIC Superfamily
1.A.1.3.2,VIC Superfamily
1.A.1.3.3,VIC Superfamily
1.A.1.3.4,VIC Superfamily
1.A.1.3.5,VIC Superfamily
1.A.1.3.6,VIC Superfamily
1.A.1.3.7,VIC Superfamily
1.A.1.3.8,VIC Superfamily
1.A.1.3.9,VIC Superfamily
1.A.1.30.1,VIC Superfamily
1.A.1.4.1,VIC Superfamily
1.A.1.4.10,VIC Superfamily
1.A.1.4.11,VIC Superfamily
1.A.1.4.12,VIC Superfamily
1.A.1.4.2,VIC Superfamily
1.A.1.4.3,VIC Superfamily
1.A.1.4.4,VIC Superfamily
1.A.1.4.5,VIC Superfamily
1.A.1.4.6,VIC Superfamily
1.A.1.4.7,VIC Superfamily
1.A.1.4.8,VIC Superfamily
1.A.1.4.9,VIC Superfamily
1.A.1.5.1,VIC Superfamily
1.A.1.5.10,VIC Superfamily
1.A.1.5.11,VIC Superfamily
1.A.1.5.12,VIC Superfamily
1.A.1.5.13,VIC Superfamily
1.A.1.5.14,VIC Superfamily
1.A.1.5.15,VIC Superfamily
1.A.1.5.16,VIC Superfamily
1.A.1.5.17,VIC Superfamily
1.A.1.5.18,VIC Superfamily
1.A.1.5.19,VIC Superfamily
1.A.1.5.2,VIC Superfamily
1.A.1.5.20,VIC Superfamily
1.A.1.5.21,VIC Superfamily
1.A.1.5.22,VIC Superfamily
1.A.1.5.23,VIC Superfamily
1.A.1.5.24,VIC Superfamily
1.A.1.5.26,VIC Superfamily
1.A.1.5.27,VIC Superfamily
1.A.1.5.28,VIC Superfamily
1.A.1.5.29,VIC Superfamily
1.A.1.5.3,VIC Superfamily
1.A.1.5.30,VIC Superfamily
1.A.1.5.31,VIC Superfamily
1.A.1.5.32,VIC Superfamily
1.A.1.5.33,VIC Superfamily
1.A.1.5.34,VIC Superfamily
1.A.1.5.35,VIC Superfamily
1.A.1.5.36,VIC Superfamily
1.A.1.5.37,VIC Superfamily
1.A.1.5.4,VIC Superfamily
1.A.1.5.5,VIC Superfamily
1.A.1.5.6,VIC Superfamily
1.A.1.5.7,VIC Superfamily
1.A.1.5.8,VIC Superfamily
1.A.1.5.9,VIC Superfamily
1.A.1.6.1,VIC Superfamily
1.A.1.7.1,VIC Superfamily
1.A.1.7.10,VIC Superfamily
1.A.1.7.2,VIC Superfamily
1.A.1.7.3,VIC Superfamily
1.A.1.7.4,VIC Superfamily
1.A.1.7.5,VIC Superfamily
1.A.1.7.6,VIC Superfamily
1.A.1.7.7,VIC Superfamily
1.A.1.7.8,VIC Superfamily
1.A.1.7.9,VIC Superfamily
1.A.1.8.1,VIC Superfamily
1.A.1.8.2,VIC Superfamily
1.A.1.8.3,VIC Superfamily
1.A.1.9.1,VIC Superfamily
1.A.1.9.10,VIC Superfamily
1.A.1.9.11,VIC Superfamily
1.A.1.9.12,VIC Superfamily
1.A.1.9.13,VIC Superfamily
1.A.1.9.14,VIC Superfamily
1.A.1.9.2,VIC Superfamily
1.A.1.9.3,VIC Superfamily
1.A.1.9.4,VIC Superfamily
1.A.1.9.5,VIC Superfamily
1.A.1.9.6,VIC Superfamily
1.A.1.9.7,VIC Superfamily
1.A.1.9.8,VIC Superfamily
1.A.1.9.9,VIC Superfamily
1.A.10.1.1,VIC Superfamily
1.A.10.1.10,VIC Superfamily
1.A.10.1.11,VIC Superfamily
1.A.10.1.12,VIC Superfamily
1.A.10.1.13,VIC Superfamily
1.A.10.1.14,VIC Superfamily
1.A.10.1.15,VIC Superfamily
1.A.10.1.16,VIC Superfamily
1.A.10.1.17,VIC Superfamily
1.A.10.1.18,VIC Superfamily
