CPD,Enzyme,Regulation
C00002,7.6.2.4,Substrate
C00002,7.6.2.5,Substrate
C00002,7.6.2.6,Substrate
C00002,7.6.2.7,Substrate
C00002,7.6.2.8,Substrate
C00002,7.6.2.9,Substrate
C00002,7.6.2.10,Substrate
C00002,7.6.2.11,Substrate
C00002,7.6.2.12,Substrate
C00002,7.6.2.13,Substrate
C00002,7.6.2.14,Substrate
C00002,7.6.2.15,Substrate
C00002,7.6.2.16,Substrate
C00003,1.1.1.1,Substrate
C00006,1.1.1.2,Substrate
C00003,1.1.1.3,Substrate
C00003,1.1.1.4,Substrate
C00003,1.1.1.6,Substrate
C00003,1.1.1.7,Substrate
C00003,1.1.1.8,Substrate
C00003,1.1.1.9,Substrate
C00006,1.1.1.10,Substrate
C00003,1.1.1.11,Substrate
C00003,1.1.1.12,Substrate
C00003,1.1.1.13,Substrate
C00003,1.1.1.14,Substrate
C00003,1.1.1.15,Substrate
C00003,1.1.1.16,Substrate
C00003,1.1.1.17,Substrate
C00003,1.1.1.18,Substrate
C00006,1.1.1.19,Substrate
C00006,1.1.1.20,Substrate
C00003,1.1.1.21,Substrate
C00003,1.1.1.22,Substrate
C00003,1.1.1.23,Substrate
C00003,1.1.1.24,Substrate
C00006,1.1.1.25,Substrate
C00003,1.1.1.26,Substrate
C00003,1.1.1.27,Substrate
C00003,1.1.1.28,Substrate
C00003,1.1.1.29,Substrate
C00003,1.1.1.30,Substrate
C00003,1.1.1.31,Substrate
C00003,1.1.1.32,Substrate
C00006,1.1.1.33,Substrate
C00010,1.1.1.34,Substrate
C00003,1.1.1.35,Substrate
C00006,1.1.1.36,Substrate
C00003,1.1.1.37,Substrate
C00003,1.1.1.38,Substrate
C00003,1.1.1.39,Substrate
C00006,1.1.1.40,Substrate
C00003,1.1.1.41,Substrate
C00006,1.1.1.42,Substrate
C00003,1.1.1.43,Substrate
C00006,1.1.1.44,Substrate
C00003,1.1.1.45,Substrate
C00003,1.1.1.46,Substrate
C00003,1.1.1.47,Substrate
C00003,1.1.1.48,Substrate
C00006,1.1.1.49,Substrate
C00003,1.1.1.50,Substrate
C00003,1.1.1.51,Substrate
C00003,1.1.1.52,Substrate
C00003,1.1.1.53,Substrate
C00006,1.1.1.54,Substrate
C00006,1.1.1.55,Substrate
C00003,1.1.1.56,Substrate
C00003,1.1.1.57,Substrate
C00003,1.1.1.58,Substrate
C00003,1.1.1.59,Substrate
C00003,1.1.1.60,Substrate
C00003,1.1.1.61,Substrate
C00006,1.1.1.62,Substrate
C00006,1.1.1.64,Substrate
C00006,1.1.1.65,Substrate
C00003,1.1.1.66,Substrate
C00003,1.1.1.67,Substrate
C00003,1.1.1.69,Substrate
C00003,1.1.1.71,Substrate
C00006,1.1.1.72,Substrate
C00003,1.1.1.73,Substrate
C00003,1.1.1.75,Substrate
C00003,1.1.1.76,Substrate
C02917,1.1.1.77,Substrate
C00003,1.1.1.78,Substrate
C00006,1.1.1.79,Substrate
C00006,1.1.1.80,Substrate
C00003,1.1.1.81,Substrate
C00006,1.1.1.82,Substrate
C00003,1.1.1.83,Substrate
C00003,1.1.1.84,Substrate
C00003,1.1.1.85,Substrate
C00006,1.1.1.86,Substrate
C00003,1.1.1.87,Substrate
C00010,1.1.1.88,Substrate
C00003,1.1.1.90,Substrate
C00006,1.1.1.91,Substrate
C00003,1.1.1.92,Substrate
C00003,1.1.1.93,Substrate
C00003,1.1.1.94,Substrate
C00003,1.1.1.95,Substrate
C00003,1.1.1.96,Substrate
C00006,1.1.1.97,Substrate
C00003,1.1.1.98,Substrate
C00003,1.1.1.99,Substrate
C00006,1.1.1.100,Substrate
C00006,1.1.1.101,Substrate
C00006,1.1.1.102,Substrate
C00003,1.1.1.103,Substrate
C00003,1.1.1.104,Substrate
C00003,1.1.1.106,Substrate
C00003,1.1.1.107,Substrate
C00003,1.1.1.108,Substrate
C00003,1.1.1.110,Substrate
C00003,1.1.1.111,Substrate
C00003,1.1.1.112,Substrate
C00006,1.1.1.113,Substrate
C00003,1.1.1.114,Substrate
C00006,1.1.1.115,Substrate
C00003,1.1.1.116,Substrate
C00003,1.1.1.117,Substrate
C00003,1.1.1.118,Substrate
C00006,1.1.1.119,Substrate
C00006,1.1.1.120,Substrate
C00003,1.1.1.121,Substrate
C00003,1.1.1.122,Substrate
C00006,1.1.1.123,Substrate
C00006,1.1.1.124,Substrate
C00003,1.1.1.125,Substrate
C00006,1.1.1.126,Substrate
C00003,1.1.1.127,Substrate
C00003,1.1.1.129,Substrate
C00003,1.1.1.130,Substrate
C00003,1.1.1.131,Substrate
C00003,1.1.1.132,Substrate
C00006,1.1.1.133,Substrate
C00006,1.1.1.134,Substrate
C00003,1.1.1.135,Substrate
C00003,1.1.1.136,Substrate
C00003,1.1.1.137,Substrate
C00006,1.1.1.138,Substrate
C00003,1.1.1.140,Substrate
C00006,1.1.1.142,Substrate
C00003,1.1.1.143,Substrate
C00003,1.1.1.144,Substrate
C00003,1.1.1.145,Substrate
C00006,1.1.1.146,Substrate
C00003,1.1.1.147,Substrate
C00003,1.1.1.148,Substrate
C00003,1.1.1.149,Substrate
C00003,1.1.1.150,Substrate
C00006,1.1.1.151,Substrate
C00006,1.1.1.153,Substrate
C00003,1.1.1.154,Substrate
C00006,1.1.1.156,Substrate
C00006,1.1.1.157,Substrate
C00003,1.1.1.159,Substrate
C00006,1.1.1.160,Substrate
C00006,1.1.1.162,Substrate
C00003,1.1.1.163,Substrate
C00003,1.1.1.164,Substrate
C00003,1.1.1.165,Substrate
C00003,1.1.1.166,Substrate
C00003,1.1.1.167,Substrate
C00006,1.1.1.168,Substrate
C00006,1.1.1.169,Substrate
C00003,1.1.1.170,Substrate
C00003,1.1.1.172,Substrate
C00003,1.1.1.173,Substrate
C00003,1.1.1.174,Substrate
C00003,1.1.1.175,Substrate
C00006,1.1.1.176,Substrate
C00006,1.1.1.177,Substrate
C00003,1.1.1.178,Substrate
C00006,1.1.1.179,Substrate
C00003,1.1.1.181,Substrate
C00006,1.1.1.183,Substrate
C00006,1.1.1.184,Substrate
C00003,1.1.1.185,Substrate
C00006,1.1.1.186,Substrate
C00003,1.1.1.187,Substrate
C00006,1.1.1.188,Substrate
C00006,1.1.1.189,Substrate
C00003,1.1.1.192,Substrate
C00006,1.1.1.193,Substrate
C00006,1.1.1.194,Substrate
C00006,1.1.1.195,Substrate
C00006,1.1.1.196,Substrate
C00006,1.1.1.197,Substrate
C00003,1.1.1.198,Substrate
C00003,1.1.1.199,Substrate
C00006,1.1.1.200,Substrate
C00006,1.1.1.201,Substrate
C00003,1.1.1.202,Substrate
C00003,1.1.1.205,Substrate
C00006,1.1.1.206,Substrate
C00006,1.1.1.207,Substrate
C00006,1.1.1.208,Substrate
C00003,1.1.1.209,Substrate
C00006,1.1.1.210,Substrate
C00003,1.1.1.212,Substrate
C00003,1.1.1.213,Substrate
C00006,1.1.1.214,Substrate
C00006,1.1.1.215,Substrate
C00006,1.1.1.216,Substrate
C00006,1.1.1.217,Substrate
C00003,1.1.1.218,Substrate
C00006,1.1.1.219,Substrate
C00006,1.1.1.220,Substrate
C00003,1.1.1.221,Substrate
C00003,1.1.1.223,Substrate
C00006,1.1.1.224,Substrate
C00006,1.1.1.225,Substrate
C00003,1.1.1.226,Substrate
C00003,1.1.1.227,Substrate
C00003,1.1.1.228,Substrate
C00006,1.1.1.229,Substrate
C00006,1.1.1.230,Substrate
C00006,1.1.1.231,Substrate
C00003,1.1.1.232,Substrate
C00003,1.1.1.233,Substrate
C00006,1.1.1.234,Substrate
C00006,1.1.1.235,Substrate
C00006,1.1.1.236,Substrate
C00003,1.1.1.237,Substrate
C00003,1.1.1.239,Substrate
C00003,1.1.1.240,Substrate
C00003,1.1.1.241,Substrate
C00006,1.1.1.243,Substrate
C00003,1.1.1.244,Substrate
C00003,1.1.1.245,Substrate
C00006,1.1.1.247,Substrate
C00006,1.1.1.248,Substrate
C00003,1.1.1.250,Substrate
C00003,1.1.1.251,Substrate
C00006,1.1.1.252,Substrate
C00003,1.1.1.254,Substrate
C00003,1.1.1.255,Substrate
C00003,1.1.1.256,Substrate
C00003,1.1.1.257,Substrate
C00003,1.1.1.258,Substrate
C00003,1.1.1.259,Substrate
C00003,1.1.1.260,Substrate
C00003,1.1.1.261,Substrate
C00003,1.1.1.262,Substrate
C00006,1.1.1.263,Substrate
C00003,1.1.1.264,Substrate
C00003,1.1.1.265,Substrate
C00003,1.1.1.266,Substrate
C00006,1.1.1.267,Substrate
C00003,1.1.1.268,Substrate
C00003,1.1.1.269,Substrate
C00006,1.1.1.270,Substrate
C00006,1.1.1.271,Substrate
C00006,1.1.1.272,Substrate
C00006,1.1.1.273,Substrate
C00006,1.1.1.274,Substrate
C00003,1.1.1.275,Substrate
C00006,1.1.1.276,Substrate
C00006,1.1.1.277,Substrate
C00006,1.1.1.279,Substrate
C00006,1.1.1.280,Substrate
C00003,1.1.1.281,Substrate
C00003,1.1.1.282,Substrate
C00006,1.1.1.283,Substrate
C00003,1.1.1.284,Substrate
C00003,1.1.1.285,Substrate
C00003,1.1.1.286,Substrate
C00006,1.1.1.287,Substrate
C00003,1.1.1.288,Substrate
C00006,1.1.1.289,Substrate
C00003,1.1.1.290,Substrate
C00006,1.1.1.292,Substrate
C00006,1.1.1.294,Substrate
C00003,1.1.1.295,Substrate
C00003,1.1.1.296,Substrate
C00003,1.1.1.297,Substrate
C00006,1.1.1.298,Substrate
C00003,1.1.1.299,Substrate
C00006,1.1.1.300,Substrate
C00003,1.1.1.301,Substrate
C00003,1.1.1.302,Substrate
C00003,1.1.1.303,Substrate
C00003,1.1.1.304,Substrate
C00003,1.1.1.305,Substrate
C00003,1.1.1.306,Substrate
C00003,1.1.1.307,Substrate
C00003,1.1.1.308,Substrate
C00003,1.1.1.309,Substrate
C00003,1.1.1.310,Substrate
C00003,1.1.1.311,Substrate
C00006,1.1.1.313,Substrate
C00003,1.1.1.316,Substrate
C00006,1.1.1.317,Substrate
C00060,1.1.1.318,Substrate
C00033,1.1.1.319,Substrate
C00006,1.1.1.320,Substrate
C00006,1.1.1.321,Substrate
C00003,1.1.1.322,Substrate
C00003,1.1.1.323,Substrate
C00006,1.1.1.324,Substrate
C00006,1.1.1.325,Substrate
C00003,1.1.1.326,Substrate
C00003,1.1.1.327,Substrate
C00003,1.1.1.328,Substrate
C00003,1.1.1.329,Substrate
C00006,1.1.1.330,Substrate
C00003,1.1.1.331,Substrate
C00003,1.1.1.332,Substrate
C00003,1.1.1.333,Substrate
C00006,1.1.1.334,Substrate
C00003,1.1.1.335,Substrate
C00003,1.1.1.336,Substrate
C00003,1.1.1.337,Substrate
C00006,1.1.1.338,Substrate
C00003,1.1.1.339,Substrate
C00003,1.1.1.340,Substrate
C00006,1.1.1.341,Substrate
C00006,1.1.1.342,Substrate
C00003,1.1.1.343,Substrate
C00003,1.1.1.344,Substrate
C00003,1.1.1.345,Substrate
C00003,1.1.1.347,Substrate
C00006,1.1.1.348,Substrate
C00006,1.1.1.349,Substrate
C00003,1.1.1.350,Substrate
C00003,1.1.1.351,Substrate
C00003,1.1.1.352,Substrate
C00006,1.1.1.353,Substrate
C00003,1.1.1.354,Substrate
C00006,1.1.1.355,Substrate
C00003,1.1.1.356,Substrate
C00003,1.1.1.357,Substrate
C00006,1.1.1.358,Substrate
C00003,1.1.1.359,Substrate
C00006,1.1.1.360,Substrate
C00003,1.1.1.361,Substrate
C00006,1.1.1.362,Substrate
C00003,1.1.1.363,Substrate
C00003,1.1.1.364,Substrate
C00006,1.1.1.365,Substrate
C00003,1.1.1.366,Substrate
C00003,1.1.1.367,Substrate
C00003,1.1.1.368,Substrate
C00003,1.1.1.369,Substrate
C00003,1.1.1.370,Substrate
C00006,1.1.1.371,Substrate
C00006,1.1.1.372,Substrate
C00003,1.1.1.373,Substrate
C00003,1.1.1.374,Substrate
C00003,1.1.1.375,Substrate
C00003,1.1.1.376,Substrate
C00006,1.1.1.377,Substrate
C00003,1.1.1.378,Substrate
C00003,1.1.1.379,Substrate
C00003,1.1.1.380,Substrate
C00006,1.1.1.381,Substrate
C00003,1.1.1.382,Substrate
C00003,1.1.1.383,Substrate
C00006,1.1.1.384,Substrate
C00003,1.1.1.385,Substrate
C00003,1.1.1.386,Substrate
C00003,1.1.1.387,Substrate
C00003,1.1.1.388,Substrate
C00003,1.1.1.389,Substrate
C00003,1.1.1.390,Substrate
C00003,1.1.1.391,Substrate
C00006,1.1.1.392,Substrate
C00006,1.1.1.393,Substrate
C00003,1.1.1.394,Substrate
C00003,1.1.1.396,Substrate
C00003,1.1.1.397,Substrate
C00003,1.1.1.398,Substrate
C00003,1.1.1.399,Substrate
C00003,1.1.1.400,Substrate
C00003,1.1.1.401,Substrate
C00006,1.1.1.402,Substrate
C00003,1.1.1.403,Substrate
C00003,1.1.1.404,Substrate
C00006,1.1.1.405,Substrate
C00003,1.1.1.406,Substrate
C00003,1.1.1.407,Substrate
C00003,1.1.1.408,Substrate
C00003,1.1.1.409,Substrate
C00003,1.1.1.410,Substrate
C00003,1.1.1.411,Substrate
C00006,1.1.1.412,Substrate
C00006,1.1.1.413,Substrate
C00003,1.1.1.414,Substrate
C00003,1.1.1.415,Substrate
C00003,1.1.1.416,Substrate
C00003,1.1.1.417,Substrate
C00003,1.1.1.418,Substrate
C00003,1.1.1.419,Substrate
C00003,1.1.1.420,Substrate
C00003,1.1.1.421,Substrate
C00003,1.1.1.422,Substrate
C00003,1.1.1.423,Substrate
C00006,1.1.1.424,Substrate
C00003,1.1.1.425,Substrate
C00003,1.1.1.426,Substrate
C00006,1.1.1.427,Substrate
C00003,1.1.1.428,Substrate
C00003,1.1.1.429,Substrate
C00003,1.1.1.430,Substrate
C00006,1.1.1.431,Substrate
C00006,1.1.1.432,Substrate
C00003,1.1.1.433,Substrate
C00003,1.1.1.434,Substrate
C00006,1.1.1.435,Substrate
C00003,1.1.1.436,Substrate
C00006,1.1.1.437,Substrate
C00125,1.1.2.2,Substrate
C00125,1.1.2.3,Substrate
C00125,1.1.2.4,Substrate
C01070,1.1.2.5,Substrate
C00125,1.1.2.6,Substrate
C18233,1.1.2.7,Substrate
C00125,1.1.2.8,Substrate
C00125,1.1.2.9,Substrate
C18233,1.1.2.10,Substrate
C00007,1.1.3.2,Substrate
C00007,1.1.3.4,Substrate
C00007,1.1.3.5,Substrate
C00007,1.1.3.6,Substrate
C00007,1.1.3.7,Substrate
C00007,1.1.3.8,Substrate
C00007,1.1.3.9,Substrate
C00007,1.1.3.10,Substrate
C00007,1.1.3.11,Substrate
C00007,1.1.3.12,Substrate
C00007,1.1.3.13,Substrate
C00007,1.1.3.14,Substrate
C00007,1.1.3.15,Substrate
C00007,1.1.3.16,Substrate
C00007,1.1.3.17,Substrate
C00007,1.1.3.18,Substrate
C00007,1.1.3.19,Substrate
C00007,1.1.3.20,Substrate
C00007,1.1.3.21,Substrate
C00007,1.1.3.23,Substrate
C00007,1.1.3.27,Substrate
C00007,1.1.3.28,Substrate
C00007,1.1.3.29,Substrate
C00007,1.1.3.30,Substrate
C00007,1.1.3.37,Substrate
C00007,1.1.3.38,Substrate
C00007,1.1.3.39,Substrate
C00007,1.1.3.40,Substrate
C00007,1.1.3.41,Substrate
C00007,1.1.3.42,Substrate
C00007,1.1.3.43,Substrate
C00007,1.1.3.44,Substrate
C00007,1.1.3.45,Substrate
C00007,1.1.3.46,Substrate
C00007,1.1.3.47,Substrate
C00007,1.1.3.49,Substrate
C00007,1.1.3.50,Substrate
C00399,1.1.5.2,Substrate
C15602,1.1.5.3,Substrate
C15602,1.1.5.4,Substrate
C00399,1.1.5.5,Substrate
C15602,1.1.5.7,Substrate
C15602,1.1.5.8,Substrate
C15602,1.1.5.9,Substrate
C15602,1.1.5.10,Substrate
C15602,1.1.5.11,Substrate
C15602,1.1.5.12,Substrate
C15602,1.1.5.13,Substrate
C00399,1.1.5.14,Substrate
C00139,1.1.7.1,Substrate
C00876,1.1.98.2,Substrate
C00016,1.1.98.3,Substrate
C00876,1.1.98.4,Substrate
C00876,1.1.98.5,Substrate
C00058,1.1.98.6,Substrate
C22227,1.1.98.7,Substrate
C00028,1.1.99.1,Substrate
C00028,1.1.99.2,Substrate
C00028,1.1.99.3,Substrate
C00028,1.1.99.4,Substrate
C00028,1.1.99.6,Substrate
C00036,1.1.99.7,Substrate
C00028,1.1.99.9,Substrate
C00028,1.1.99.12,Substrate
C00028,1.1.99.13,Substrate
C00028,1.1.99.14,Substrate
C00028,1.1.99.18,Substrate
C00028,1.1.99.20,Substrate
C00028,1.1.99.21,Substrate
C00028,1.1.99.22,Substrate
C00026,1.1.99.24,Substrate
C00028,1.1.99.26,Substrate
C00028,1.1.99.27,Substrate
C00095,1.1.99.28,Substrate
C00028,1.1.99.29,Substrate
C00028,1.1.99.30,Substrate
C00028,1.1.99.31,Substrate
C00028,1.1.99.32,Substrate
C00028,1.1.99.35,Substrate
C00028,1.1.99.36,Substrate
C00028,1.1.99.37,Substrate
C00019,1.1.99.38,Substrate
C00028,1.1.99.39,Substrate
C00022,1.1.99.40,Substrate
C00028,1.1.99.41,Substrate
C00028,1.1.99.42,Substrate
C00003,1.2.1.3,Substrate
C00006,1.2.1.4,Substrate
C00003,1.2.1.5,Substrate
C00006,1.2.1.7,Substrate
C00003,1.2.1.8,Substrate
C00006,1.2.1.9,Substrate
C00010,1.2.1.10,Substrate
C00009,1.2.1.11,Substrate
C00009,1.2.1.12,Substrate
C00009,1.2.1.13,Substrate
C00003,1.2.1.15,Substrate
C00003,1.2.1.16,Substrate
C00010,1.2.1.17,Substrate
C00010,1.2.1.18,Substrate
C00003,1.2.1.19,Substrate
C00006,1.2.1.20,Substrate
C00003,1.2.1.21,Substrate
C00003,1.2.1.22,Substrate
C00003,1.2.1.23,Substrate
C00003,1.2.1.24,Substrate
C00010,1.2.1.25,Substrate
C00006,1.2.1.26,Substrate
C00010,1.2.1.27,Substrate
C00003,1.2.1.28,Substrate
C00003,1.2.1.29,Substrate
C00006,1.2.1.30,Substrate
C00003,1.2.1.31,Substrate
C00003,1.2.1.32,Substrate
C00003,1.2.1.33,Substrate
C00003,1.2.1.36,Substrate
C00006,1.2.1.38,Substrate
C00003,1.2.1.39,Substrate
C00009,1.2.1.41,Substrate
C00010,1.2.1.42,Substrate
C00010,1.2.1.44,Substrate
C00003,1.2.1.46,Substrate
C00003,1.2.1.47,Substrate
C00003,1.2.1.48,Substrate
C00006,1.2.1.49,Substrate
C02743,1.2.1.50,Substrate
C00010,1.2.1.51,Substrate
C00010,1.2.1.52,Substrate
C00003,1.2.1.53,Substrate
C00003,1.2.1.54,Substrate
C00010,1.2.1.57,Substrate
C00003,1.2.1.58,Substrate
C00009,1.2.1.59,Substrate
C00001,1.2.1.60,Substrate
C00003,1.2.1.61,Substrate
C00003,1.2.1.62,Substrate
C00006,1.2.1.63,Substrate
C00003,1.2.1.64,Substrate
C00003,1.2.1.65,Substrate
C00003,1.2.1.67,Substrate
C00001,1.2.1.68,Substrate
C00003,1.2.1.69,Substrate
C00006,1.2.1.70,Substrate
C00003,1.2.1.71,Substrate
C00003,1.2.1.72,Substrate
C00001,1.2.1.73,Substrate
C00001,1.2.1.74,Substrate
C00010,1.2.1.75,Substrate
C00010,1.2.1.76,Substrate
C00006,1.2.1.77,Substrate
C00003,1.2.1.78,Substrate
C00006,1.2.1.79,Substrate
C00229,1.2.1.80,Substrate
C00010,1.2.1.81,Substrate
C00003,1.2.1.82,Substrate
C00006,1.2.1.83,Substrate
C00005,1.2.1.84,Substrate
C00003,1.2.1.85,Substrate
C00001,1.2.1.86,Substrate
C00010,1.2.1.87,Substrate
C00003,1.2.1.88,Substrate
C00006,1.2.1.89,Substrate
C00003,1.2.1.90,Substrate
C00006,1.2.1.91,Substrate
C00003,1.2.1.92,Substrate
C00003,1.2.1.94,Substrate
C00006,1.2.1.95,Substrate
C00006,1.2.1.96,Substrate
C00003,1.2.1.97,Substrate
C00003,1.2.1.98,Substrate
C00006,1.2.1.99,Substrate
C00003,1.2.1.100,Substrate
C00006,1.2.1.101,Substrate
C00003,1.2.1.102,Substrate
C00006,1.2.1.103,Substrate
C00010,1.2.1.104,Substrate
C00010,1.2.1.105,Substrate
C00009,1.2.1.106,Substrate
C11215,1.2.1.107,Substrate
C00995,1.2.2.1,Substrate
C00001,1.2.3.1,Substrate
C00009,1.2.3.3,Substrate
C00007,1.2.3.4,Substrate
C00001,1.2.3.5,Substrate
C00010,1.2.3.6,Substrate
C00007,1.2.3.7,Substrate
C00001,1.2.3.8,Substrate
C00007,1.2.3.9,Substrate
C00007,1.2.3.13,Substrate
C00001,1.2.3.14,Substrate
C00001,1.2.3.15,Substrate
C15972,1.2.4.1,Substrate
C00399,1.2.5.1,Substrate
C15602,1.2.5.2,Substrate
C15602,1.2.5.3,Substrate
C00010,1.2.7.1,Substrate
C00010,1.2.7.3,Substrate
C00001,1.2.7.4,Substrate
C00001,1.2.7.5,Substrate
C00139,1.2.7.6,Substrate
C00010,1.2.7.7,Substrate
C00010,1.2.7.8,Substrate
C00139,1.2.7.10,Substrate
C00010,1.2.7.11,Substrate
C00001,1.2.7.12,Substrate
C00001,1.2.98.1,Substrate
C00028,1.2.99.6,Substrate
C00001,1.2.99.7,Substrate
C00001,1.2.99.8,Substrate
C00001,1.2.99.10,Substrate
C00003,1.3.1.1,Substrate
C00006,1.3.1.2,Substrate
C00006,1.3.1.3,Substrate
C00003,1.3.1.5,Substrate
C00003,1.3.1.6,Substrate
C00003,1.3.1.7,Substrate
C00006,1.3.1.8,Substrate
C00003,1.3.1.9,Substrate
C00006,1.3.1.10,Substrate
C00003,1.3.1.11,Substrate
C00003,1.3.1.12,Substrate
C00006,1.3.1.13,Substrate
C00003,1.3.1.14,Substrate
C00006,1.3.1.15,Substrate
C00006,1.3.1.16,Substrate
C00003,1.3.1.18,Substrate
C00003,1.3.1.19,Substrate
C00006,1.3.1.20,Substrate
C00006,1.3.1.21,Substrate
C00006,1.3.1.22,Substrate
C00003,1.3.1.24,Substrate
C00003,1.3.1.25,Substrate
C00006,1.3.1.27,Substrate
C00003,1.3.1.28,Substrate
C00003,1.3.1.29,Substrate
C00003,1.3.1.31,Substrate
C00003,1.3.1.32,Substrate
C00006,1.3.1.33,Substrate
C00006,1.3.1.34,Substrate
C00006,1.3.1.36,Substrate
C00006,1.3.1.37,Substrate
C00006,1.3.1.38,Substrate
C00006,1.3.1.39,Substrate
C00006,1.3.1.40,Substrate
C00003,1.3.1.41,Substrate
C00006,1.3.1.42,Substrate
C00003,1.3.1.43,Substrate
C00003,1.3.1.44,Substrate
C00006,1.3.1.45,Substrate
C00006,1.3.1.46,Substrate
C00003,1.3.1.47,Substrate
C00003,1.3.1.48,Substrate
C00003,1.3.1.49,Substrate
C00006,1.3.1.51,Substrate
C00003,1.3.1.53,Substrate
C00006,1.3.1.54,Substrate
C00003,1.3.1.56,Substrate
C00006,1.3.1.57,Substrate
C00003,1.3.1.58,Substrate
C00003,1.3.1.60,Substrate
C00003,1.3.1.62,Substrate
C00003,1.3.1.64,Substrate
C00003,1.3.1.65,Substrate
C00003,1.3.1.66,Substrate
C00003,1.3.1.67,Substrate
C00003,1.3.1.68,Substrate
C00006,1.3.1.69,Substrate
C00006,1.3.1.70,Substrate
C00006,1.3.1.71,Substrate
C00006,1.3.1.72,Substrate
C00006,1.3.1.73,Substrate
C00003,1.3.1.74,Substrate
C00006,1.3.1.75,Substrate
C00003,1.3.1.76,Substrate
C00003,1.3.1.77,Substrate
C00006,1.3.1.78,Substrate
C00003,1.3.1.79,Substrate
C00006,1.3.1.81,Substrate
C00006,1.3.1.82,Substrate
C00006,1.3.1.83,Substrate
C00006,1.3.1.84,Substrate
C00006,1.3.1.85,Substrate
C00006,1.3.1.86,Substrate
C00003,1.3.1.87,Substrate
C00006,1.3.1.88,Substrate
C00006,1.3.1.89,Substrate
C00006,1.3.1.90,Substrate
C00006,1.3.1.91,Substrate
C00006,1.3.1.92,Substrate
C00006,1.3.1.93,Substrate
C00006,1.3.1.94,Substrate
C00003,1.3.1.95,Substrate
C00013,1.3.1.96,Substrate
C00006,1.3.1.97,Substrate
C00006,1.3.1.98,Substrate
C00006,1.3.1.100,Substrate
C00003,1.3.1.101,Substrate
C00006,1.3.1.102,Substrate
C00006,1.3.1.103,Substrate
C00006,1.3.1.104,Substrate
C00006,1.3.1.105,Substrate
C00003,1.3.1.107,Substrate
C00003,1.3.1.108,Substrate
C00003,1.3.1.109,Substrate
C00006,1.3.1.111,Substrate
C00006,1.3.1.112,Substrate
C00006,1.3.1.113,Substrate
C00003,1.3.1.114,Substrate
C00003,1.3.1.115,Substrate
C00003,1.3.1.116,Substrate
C00006,1.3.1.117,Substrate
C00003,1.3.1.118,Substrate
C00003,1.3.1.119,Substrate
C00006,1.3.1.120,Substrate
C00003,1.3.1.121,Substrate
C00003,1.3.1.122,Substrate
C00006,1.3.1.123,Substrate
C00006,1.3.1.124,Substrate
C00003,1.3.1.125,Substrate
C00125,1.3.2.3,Substrate
C00125,1.3.2.4,Substrate
C00007,1.3.3.3,Substrate
C00007,1.3.3.4,Substrate
C00007,1.3.3.5,Substrate
C00007,1.3.3.6,Substrate
C00007,1.3.3.7,Substrate
C00007,1.3.3.8,Substrate
C00007,1.3.3.10,Substrate
C00007,1.3.3.11,Substrate
C00007,1.3.3.12,Substrate
C00007,1.3.3.13,Substrate
C00007,1.3.3.14,Substrate
C00007,1.3.3.15,Substrate
C00007,1.3.3.17,Substrate
C03576,1.3.4.1,Substrate
C15602,1.3.5.1,Substrate
C15602,1.3.5.2,Substrate
C15602,1.3.5.3,Substrate
C02061,1.3.5.5,Substrate
C15602,1.3.5.6,Substrate
C00139,1.3.7.1,Substrate
C00139,1.3.7.2,Substrate
C00139,1.3.7.3,Substrate
C00139,1.3.7.4,Substrate
C00139,1.3.7.5,Substrate
C00139,1.3.7.6,Substrate
C00139,1.3.7.7,Substrate
C00139,1.3.7.8,Substrate
C00139,1.3.7.11,Substrate
C00139,1.3.7.12,Substrate
C00139,1.3.7.13,Substrate
C00139,1.3.7.14,Substrate
C00139,1.3.7.15,Substrate
C04253,1.3.8.1,Substrate
C00016,1.3.8.2,Substrate
C04253,1.3.8.3,Substrate
C04253,1.3.8.4,Substrate
C04253,1.3.8.5,Substrate
C04253,1.3.8.6,Substrate
C04253,1.3.8.7,Substrate
C04253,1.3.8.8,Substrate
C04253,1.3.8.9,Substrate
C04253,1.3.8.10,Substrate
C04253,1.3.8.11,Substrate
C04253,1.3.8.12,Substrate
C04253,1.3.8.13,Substrate
C04253,1.3.8.14,Substrate
C04253,1.3.8.15,Substrate
C00061,1.3.8.16,Substrate
C00061,1.3.8.17,Substrate
C00122,1.3.98.1,Substrate
C00019,1.3.98.3,Substrate
C00876,1.3.98.4,Substrate
C00027,1.3.98.5,Substrate
C00019,1.3.98.6,Substrate
C00019,1.3.98.7,Substrate
C00028,1.3.99.4,Substrate
C00028,1.3.99.5,Substrate
C00028,1.3.99.6,Substrate
C00001,1.3.99.8,Substrate
C00028,1.3.99.14,Substrate
C00028,1.3.99.16,Substrate
C00028,1.3.99.17,Substrate
C00028,1.3.99.18,Substrate
C00028,1.3.99.19,Substrate
C00028,1.3.99.23,Substrate
C00028,1.3.99.26,Substrate
C00028,1.3.99.27,Substrate
C00028,1.3.99.28,Substrate
C00028,1.3.99.29,Substrate
C00028,1.3.99.30,Substrate
C00028,1.3.99.31,Substrate
C00028,1.3.99.32,Substrate
C00028,1.3.99.33,Substrate
C00028,1.3.99.37,Substrate
C00030,1.3.99.38,Substrate
C00028,1.3.99.39,Substrate
C00028,1.3.99.40,Substrate
C00028,1.3.99.41,Substrate
C00001,1.4.1.1,Substrate
