CPD,Enzyme,Regulation
C00003,1.1.1.203,Substrate
C00130,1.1.1.205,Substrate
C00729,1.1.1.206,Substrate
C00400,1.1.1.207,Substrate
C00553,1.1.1.208,Substrate
C00523,1.1.1.209,Substrate
C12525,1.1.1.210,Substrate
C00003,1.1.1.211,Substrate
C01271,1.1.1.212,Substrate
C03072,1.1.1.213,Substrate
C01012,1.1.1.214,Substrate
C00257,1.1.1.215,Substrate
C01126,1.1.1.216,Substrate
C04561,1.1.1.217,Substrate
C01516,1.1.1.218,Substrate
C21418,1.1.1.219,Substrate
C04244,1.1.1.220,Substrate
C01760,1.1.1.221,Substrate
C01123,1.1.1.223,Substrate
C00644,1.1.1.224,Substrate
C02817,1.1.1.225,Substrate
C04404,1.1.1.226,Substrate
C01766,1.1.1.227,Substrate
C02213,1.1.1.228,Substrate
C04586,1.1.1.229,Substrate
C03930,1.1.1.230,Substrate
C01312,1.1.1.231,Substrate
C04742,1.1.1.232,Substrate
C00625,1.1.1.233,Substrate
C02345,1.1.1.234,Substrate
C01677,1.1.1.235,Substrate
C02066,1.1.1.236,Substrate
C03964,1.1.1.237,Substrate
C00006,1.1.1.238,Substrate
C00535,1.1.1.239,Substrate
C20328,1.1.1.240,Substrate
C03092,1.1.1.241,Substrate
C00964,1.1.1.243,Substrate
C00132,1.1.1.244,Substrate
C00854,1.1.1.245,Substrate
C06174,1.1.1.247,Substrate
C05220,1.1.1.248,Substrate
C01904,1.1.1.250,Substrate
C06311,1.1.1.251,Substrate
C00779,1.1.1.252,Substrate
C15025,1.1.1.254,Substrate
C00392,1.1.1.255,Substrate
C06711,1.1.1.256,Substrate
C06678,1.1.1.257,Substrate
C06103,1.1.1.258,Substrate
C06714,1.1.1.259,Substrate
C07288,1.1.1.260,Substrate
C00623,1.1.1.261,Substrate
C06055,1.1.1.262,Substrate
C07326,1.1.1.263,Substrate
C00770,1.1.1.264,Substrate
C07328,1.1.1.265,Substrate
C07277,1.1.1.266,Substrate
C11434,1.1.1.267,Substrate
C11496,1.1.1.268,Substrate
C11498,1.1.1.269,Substrate
C02945,1.1.1.270,Substrate
C00325,1.1.1.271,Substrate
C02489,1.1.1.272,Substrate
C11635,1.1.1.273,Substrate
C06473,1.1.1.274,Substrate
C11409,1.1.1.275,Substrate
C00065,1.1.1.276,Substrate
C11825,1.1.1.277,Substrate
C00006,1.1.1.278,Substrate
C03864,1.1.1.279,Substrate
C03865,1.1.1.280,Substrate
C03117,1.1.1.281,Substrate
C00296,1.1.1.282,Substrate
C00424,1.1.1.283,Substrate
C14180,1.1.1.284,Substrate
C15485,1.1.1.285,Substrate
C00311,1.1.1.286,Substrate
C01904,1.1.1.287,Substrate
C13453,1.1.1.288,Substrate
C00794,1.1.1.289,Substrate
C03393,1.1.1.290,Substrate
C00003,1.1.1.291,Substrate
C16538,1.1.1.292,Substrate
C00003,1.1.1.294,Substrate
C18016,1.1.1.295,Substrate
C18017,1.1.1.296,Substrate
C18020,1.1.1.297,Substrate
C01013,1.1.1.298,Substrate
C00149,1.1.1.299,Substrate
C00473,1.1.1.300,Substrate
C19674,1.1.1.301,Substrate
C18910,1.1.1.302,Substrate
C00810,1.1.1.303,Substrate
C01769,1.1.1.304,Substrate
C00167,1.1.1.305,Substrate
C18235,1.1.1.306,Substrate
C00379,1.1.1.307,Substrate
C19675,1.1.1.308,Substrate
C06451,1.1.1.309,Substrate
C11499,1.1.1.310,Substrate
C11348,1.1.1.311,Substrate
C00006,1.1.1.312,Substrate
C05123,1.1.1.313,Substrate
C00003,1.1.1.315,Substrate
C01825,1.1.1.316,Substrate
C19931,1.1.1.317,Substrate
C10453,1.1.1.318,Substrate
C10469,1.1.1.319,Substrate
C20227,1.1.1.320,Substrate
C20228,1.1.1.321,Substrate
C02344,1.1.1.322,Substrate
C20261,1.1.1.323,Substrate
C17621,1.1.1.324,Substrate
C20263,1.1.1.325,Substrate
C20229,1.1.1.326,Substrate
C03448,1.1.1.327,Substrate
C20381,1.1.1.328,Substrate
C17580,1.1.1.329,Substrate
C20878,1.1.1.330,Substrate
C18167,1.1.1.331,Substrate
C09131,1.1.1.332,Substrate
C20370,1.1.1.333,Substrate
C12448,1.1.1.334,Substrate
C04573,1.1.1.335,Substrate
C01170,1.1.1.336,Substrate
C15565,1.1.1.337,Substrate
C11537,1.1.1.338,Substrate
C03187,1.1.1.339,Substrate
C20403,1.1.1.340,Substrate
C01788,1.1.1.341,Substrate
C03598,1.1.1.342,Substrate
C00345,1.1.1.343,Substrate
C03187,1.1.1.344,Substrate
C02489,1.1.1.345,Substrate
C00006,1.1.1.346,Substrate
C01500,1.1.1.347,Substrate
C21738,1.1.1.348,Substrate
C20499,1.1.1.349,Substrate
C00603,1.1.1.350,Substrate
C00345,1.1.1.351,Substrate
C20500,1.1.1.352,Substrate
C20504,1.1.1.353,Substrate
C01126,1.1.1.354,Substrate
C01822,1.1.1.355,Substrate
C20613,1.1.1.356,Substrate
C03072,1.1.1.357,Substrate
C01012,1.1.1.358,Substrate
C20655,1.1.1.359,Substrate
C00031,1.1.1.360,Substrate
C00092,1.1.1.361,Substrate
C12424,1.1.1.362,Substrate
C00092,1.1.1.363,Substrate
C11912,1.1.1.364,Substrate
C15930,1.1.1.365,Substrate
C00770,1.1.1.366,Substrate
C20768,1.1.1.367,Substrate
C06749,1.1.1.368,Substrate
C19891,1.1.1.369,Substrate
C06153,1.1.1.370,Substrate
C06153,1.1.1.371,Substrate
C00116,1.1.1.372,Substrate
C22383,1.1.1.373,Substrate
C00043,1.1.1.374,Substrate
C15565,1.1.1.375,Substrate
C02604,1.1.1.376,Substrate
C00507,1.1.1.377,Substrate
C00507,1.1.1.378,Substrate
C01983,1.1.1.379,Substrate
C00800,1.1.1.380,Substrate
C05519,1.1.1.381,Substrate
C04272,1.1.1.382,Substrate
C04272,1.1.1.383,Substrate
C11922,1.1.1.384,Substrate
C20940,1.1.1.385,Substrate
C20943,1.1.1.386,Substrate
C00065,1.1.1.387,Substrate
C00092,1.1.1.388,Substrate
C20680,1.1.1.389,Substrate
C20829,1.1.1.390,Substrate
C17658,1.1.1.391,Substrate
C03990,1.1.1.392,Substrate
C17658,1.1.1.393,Substrate
C21140,1.1.1.394,Substrate
C00003,1.1.1.395,Substrate
C18153,1.1.1.396,Substrate
C21288,1.1.1.397,Substrate
C21374,1.1.1.398,Substrate
C01087,1.1.1.399,Substrate
C21290,1.1.1.400,Substrate
C03979,1.1.1.401,Substrate
C21294,1.1.1.402,Substrate
C16884,1.1.1.403,Substrate
C03434,1.1.1.404,Substrate
C01068,1.1.1.405,Substrate
C01697,1.1.1.406,Substrate
C21524,1.1.1.407,Substrate
C21585,1.1.1.408,Substrate
C03393,1.1.1.409,Substrate
C21593,1.1.1.410,Substrate
C01620,1.1.1.411,Substrate
C21645,1.1.1.412,Substrate
C21666,1.1.1.413,Substrate
C15930,1.1.1.414,Substrate
C20297,1.1.1.415,Substrate
C06051,1.1.1.416,Substrate
C22106,1.1.1.417,Substrate
C22111,1.1.1.418,Substrate
C22200,1.1.1.419,Substrate
C21040,1.1.1.420,Substrate
C22219,1.1.1.421,Substrate
C02765,1.1.1.422,Substrate
C01575,1.1.1.423,Substrate
C00181,1.1.1.424,Substrate
C22350,1.1.1.425,Substrate
C22262,1.1.1.426,Substrate
C21067,1.1.1.427,Substrate
C22315,1.1.1.428,Substrate
C09819,1.1.1.429,Substrate
C00379,1.1.1.430,Substrate
C00379,1.1.1.431,Substrate
C00031,1.1.1.432,Substrate
C05123,1.1.1.433,Substrate
C03827,1.1.1.434,Substrate
C20836,1.1.1.435,Substrate
C01432,1.1.1.436,Substrate
C22618,1.1.1.437,Substrate
C00392,1.1.2.2,Substrate
C00186,1.1.2.3,Substrate
C00256,1.1.2.4,Substrate
C00256,1.1.2.5,Substrate
C00980,1.1.2.6,Substrate
C00226,1.1.2.7,Substrate
C00226,1.1.2.8,Substrate
C06142,1.1.2.9,Substrate
C00132,1.1.2.10,Substrate
C01798,1.1.2.11,Substrate
C00186,1.1.3.2,Substrate
C00221,1.1.3.4,Substrate
C00031,1.1.3.5,Substrate
C00187,1.1.3.6,Substrate
C03485,1.1.3.7,Substrate
C01040,1.1.3.8,Substrate
C00124,1.1.3.9,Substrate
C00031,1.1.3.10,Substrate
C00247,1.1.3.11,Substrate
C00314,1.1.3.12,Substrate
C00226,1.1.3.13,Substrate
C00090,1.1.3.14,Substrate
C15565,1.1.3.15,Substrate
C00477,1.1.3.16,Substrate
C00114,1.1.3.17,Substrate
C01612,1.1.3.18,Substrate
C03198,1.1.3.19,Substrate
C00339,1.1.3.20,Substrate
C00093,1.1.3.21,Substrate
C00378,1.1.3.23,Substrate
C02982,1.1.3.27,Substrate
C00294,1.1.3.28,Substrate
C00140,1.1.3.29,Substrate
C00980,1.1.3.30,Substrate
C00652,1.1.3.37,Substrate
C06317,1.1.3.38,Substrate
C00212,1.1.3.39,Substrate
C00392,1.1.3.40,Substrate
C00717,1.1.3.41,Substrate
C19933,1.1.3.42,Substrate
C01743,1.1.3.43,Substrate
C17588,1.1.3.44,Substrate
C18637,1.1.3.45,Substrate
C03198,1.1.3.46,Substrate
C11101,1.1.3.47,Substrate
C00007,1.1.3.48,Substrate
C00561,1.1.3.49,Substrate
C11254,1.1.3.50,Substrate
C00031,1.1.5.2,Substrate
C00093,1.1.5.3,Substrate
C00149,1.1.5.4,Substrate
C00469,1.1.5.5,Substrate
C03491,1.1.5.7,Substrate
C00296,1.1.5.8,Substrate
C00031,1.1.5.9,Substrate
C02489,1.1.5.10,Substrate
C06142,1.1.5.11,Substrate
C00256,1.1.5.12,Substrate
C03196,1.1.5.13,Substrate
C00095,1.1.5.14,Substrate
C00512,1.1.7.1,Substrate
C00226,1.1.9.1,Substrate
C00092,1.1.98.2,Substrate
C20368,1.1.98.3,Substrate
C15603,1.1.98.4,Substrate
C01612,1.1.98.5,Substrate
C03802,1.1.98.6,Substrate
C00019,1.1.98.7,Substrate
C00114,1.1.99.1,Substrate
C03196,1.1.99.2,Substrate
C00257,1.1.99.3,Substrate
C06473,1.1.99.4,Substrate
C00256,1.1.99.6,Substrate
C00186,1.1.99.7,Substrate
C00314,1.1.99.9,Substrate
C00247,1.1.99.12,Substrate
C00089,1.1.99.13,Substrate
C00160,1.1.99.14,Substrate
C00185,1.1.99.18,Substrate
C00226,1.1.99.20,Substrate
C00794,1.1.99.21,Substrate
C00116,1.1.99.22,Substrate
C03197,1.1.99.24,Substrate
C03228,1.1.99.26,Substrate
C01012,1.1.99.27,Substrate
C00031,1.1.99.28,Substrate
C15592,1.1.99.29,Substrate
C02489,1.1.99.30,Substrate
C01984,1.1.99.31,Substrate
C00247,1.1.99.32,Substrate
C00031,1.1.99.35,Substrate
C00469,1.1.99.36,Substrate
C00132,1.1.99.37,Substrate
