Name,miRNA
Zeb2,mmu-miR-200c-3p
Zeb2,mmu-miR-200c-3p
Zeb2,mmu-miR-200c-3p
Zeb2,mmu-miR-200c-3p
Ripk1,mmu-miR-155-5p
Fadd,mmu-miR-155-5p
Fadd,mmu-miR-155-5p
Ikbke,mmu-miR-155-5p
Ikbke,mmu-miR-155-5p
Trp53inp1,mmu-miR-155-5p
Ptgs2,mmu-miR-101a-3p
Jarid2,mmu-miR-155-5p
Jarid2,mmu-miR-155-5p
Jarid2,mmu-miR-155-5p
Rheb,mmu-miR-155-5p
Rheb,mmu-miR-155-5p
Myb,mmu-miR-155-5p
Ezh2,mmu-miR-26a-5p
Hes1,mmu-miR-23b-3p
Hes1,mmu-miR-23b-3p
Mmd,mmu-miR-206-3p
Utrn,mmu-miR-206-3p
Fstl1,mmu-miR-206-3p
Sycp1,mmu-miR-124-3p
Ptbp1,mmu-miR-124-3p
Ptbp1,mmu-miR-124-3p
Ptbp1,mmu-miR-124-3p
Cdc42,mmu-miR-133a-3p
Cdc42,mmu-miR-133a-3p
Nelfa,mmu-miR-133a-3p
Rhoa,mmu-miR-133a-3p
Rhoa,mmu-miR-133a-3p
Hand2,mmu-miR-1a-3p
Hand2,mmu-miR-1a-3p
Irx5,mmu-miR-1a-3p
Mtpn,mmu-miR-375-3p
Mtpn,mmu-miR-375-3p
Hipk3,mmu-miR-92a-3p
Hipk3,mmu-miR-106a-5p
Hipk3,mmu-miR-20b-5p
Mylip,mmu-miR-20b-5p
Mylip,mmu-miR-106a-5p
Mylip,mmu-miR-92a-3p
Socs1,mmu-miR-155-5p
Socs1,mmu-miR-155-5p
Socs1,mmu-miR-155-5p
Socs1,mmu-miR-155-5p
Socs1,mmu-miR-155-5p
Socs1,mmu-miR-155-5p
Tlr4,mmu-let-7e-5p
Tmem50b,mmu-miR-122-5p
Cers6,mmu-miR-122-5p
Gpx7,mmu-miR-122-5p
Tgfbr1,mmu-miR-122-5p
Sbk1,mmu-miR-122-5p
Hist1h1c,mmu-miR-122-5p
Ddc,mmu-miR-122-5p
Rell1,mmu-miR-122-5p
Bach1,mmu-miR-122-5p
Apob,mmu-miR-122-5p
P4ha1,mmu-miR-122-5p
Ccng1,mmu-miR-122-5p
Slc7a1,mmu-miR-122-5p
Slc7a1,mmu-miR-122-5p
Slc7a1,mmu-miR-122-5p
Gys1,mmu-miR-122-5p
Gys1,mmu-miR-122-5p
Slc35a4,mmu-miR-122-5p
Slc35a4,mmu-miR-122-5p
Hfe2,mmu-miR-122-5p
Hfe2,mmu-miR-122-5p
Hfe2,mmu-miR-122-5p
Tmed3,mmu-miR-122-5p
Tmed3,mmu-miR-122-5p
Bckdk,mmu-miR-122-5p
Aldoa,mmu-miR-122-5p
Aldoa,mmu-miR-122-5p
Aldoa,mmu-miR-122-5p
Aldoa,mmu-miR-122-5p
Aldoa,mmu-miR-122-5p
Aldoa,mmu-miR-122-5p
Aldoa,mmu-miR-122-5p
Ndrg3,mmu-miR-122-5p
Ndrg3,mmu-miR-122-5p
Cd320,mmu-miR-122-5p
Pten,mmu-miR-205-5p
Smad3,mmu-miR-140-5p
Pparg,mmu-miR-27a-3p
Pitx3,mmu-miR-133b-3p
Sall4,mmu-let-7c-5p
Bcl2l2,mmu-miR-497a-5p
Bcl2,mmu-miR-497a-5p
Runx2,mmu-miR-211-5p
Runx2,mmu-miR-204-5p
Hdac4,mmu-miR-206-3p
Hdac4,mmu-miR-206-3p
Arl2,mmu-miR-322-5p
Arl2,mmu-miR-195a-5p
Arl2,mmu-miR-16-5p
Arl2,mmu-miR-15b-5p
Mapk14,mmu-miR-106b-5p
Stat3,mmu-miR-106b-5p
Stat3,mmu-miR-106b-5p
Mapk14,mmu-miR-20a-5p
Mapk14,mmu-miR-17-5p
Mapk14,mmu-miR-17-5p
Acvr1b,mmu-miR-210-3p
Dnmt3b,mmu-miR-29b-3p
Dnmt3b,mmu-miR-29b-3p
Dnmt3b,mmu-miR-29a-3p
Dnmt3a,mmu-miR-29b-3p
Dnmt3a,mmu-miR-29b-3p
Dnmt3a,mmu-miR-29a-3p
Dnmt3a,mmu-miR-29a-3p
Pten,mmu-miR-486a-5p
Pten,mmu-miR-486a-5p
Rb1,mmu-miR-335-5p
Yy1,mmu-miR-29c-3p
Ifng,mmu-miR-146a-5p
Zbtb7a,mmu-miR-20a-5p
Abcg1,mmu-miR-33-5p
Abcg1,mmu-miR-33-5p
Abca1,mmu-miR-33-5p
Col3a1,mmu-miR-29a-3p
Fbn1,mmu-miR-29a-3p
Col1a2,mmu-miR-29a-3p
Col1a1,mmu-miR-29a-3p
Col1a1,mmu-miR-29b-3p
Col1a1,mmu-miR-29b-3p
Col1a2,mmu-miR-29b-3p
Fbn1,mmu-miR-29b-3p
Col3a1,mmu-miR-29b-3p
Ak1,mmu-miR-30a-5p
Tnrc6a,mmu-miR-30a-5p
Abcb1b,mmu-miR-30a-5p
Inhba,mmu-miR-30a-5p
Egfr,mmu-miR-30a-5p
Egfr,mmu-miR-30a-5p
Smarcd1,mmu-miR-122-5p
Rcan1,mmu-miR-122-5p
Gde1,mmu-miR-122-5p
Arid4b,mmu-miR-19b-3p
Arid4b,mmu-miR-106a-5p
Arid4b,mmu-miR-20b-5p
Ppp3cb,mmu-miR-140-5p
Tor1aip2,mmu-miR-140-5p
Rbbp6,mmu-miR-140-5p
Agxt2l2,mmu-miR-140-5p
Atxn1,mmu-miR-130a-3p
Atxn1,mmu-miR-101a-3p
Atxn1,mmu-miR-19a-3p
Bsg,mmu-let-7b-5p
Bsg,mmu-let-7b-5p
Camk2a,mmu-miR-152-3p
Camk2a,mmu-miR-148b-3p
Camk2a,mmu-miR-148a-3p
Adcy9,mmu-miR-142a-3p
Pax7,mmu-miR-486a-5p
Runx1,mmu-miR-30c-5p
