Name,miRNA
Clasp1,mmu-miR-205-5p
Clasp1,mmu-miR-205-5p
Clasp1,mmu-miR-205-5p
Cisd2,mmu-miR-342-3p
Cisd2,mmu-miR-342-3p
Cisd2,mmu-miR-377-3p
Cisd2,mmu-miR-377-3p
Chsy3,mmu-miR-466o-3p
Chsy3,mmu-miR-466m-3p
Chst2,mmu-miR-452-5p
Chst2,mmu-miR-452-5p
Chst2,mmu-miR-466f-5p
Chst2,mmu-miR-466f-5p
Chst2,mmu-miR-466i-5p
Chst2,mmu-miR-466i-5p
Chst2,mmu-miR-466d-5p
Chst2,mmu-miR-466d-5p
Chst2,mmu-miR-466k
Chst2,mmu-miR-466k
Chst2,mmu-miR-466l-5p
Chst2,mmu-miR-466l-5p
Chst15,mmu-miR-466l-3p
Chrnb4,mmu-miR-466i-5p
Chrnb4,mmu-miR-466d-5p
Chrnb4,mmu-miR-466k
Chrnb4,mmu-miR-466l-5p
Chmp5,mmu-miR-1958
Chmp5,mmu-miR-1264-3p
Chmp5,mmu-miR-3069-5p
Chmp5,mmu-miR-1935
Chmp5,mmu-miR-5134-5p
Chl1,mmu-miR-495-3p
Chl1,mmu-miR-1192
Chic1,mmu-miR-3473c
Chic1,mmu-miR-3473c
Chic1,mmu-miR-3473c
Chic1,mmu-miR-1894-5p
Chic1,mmu-miR-1894-5p
Chic1,mmu-miR-1894-5p
Chic1,mmu-miR-467f
Chic1,mmu-miR-466n-3p
Chic1,mmu-miR-669m-3p
Chic1,mmu-miR-466p-3p
Chic1,mmu-miR-466c-3p
Chic1,mmu-miR-466b-3p
Chic1,mmu-miR-1b-5p
Chic1,mmu-miR-466o-3p
Chic1,mmu-miR-466m-3p
Chic1,mmu-miR-466f-3p
Chic1,mmu-miR-362-3p
Chic1,mmu-miR-329-3p
Chic1,mmu-miR-466i-3p
Chic1,mmu-miR-669f-3p
Chic1,mmu-miR-466e-3p
Chic1,mmu-miR-466a-3p
Chic1,mmu-miR-297b-3p
Chic1,mmu-miR-466d-3p
Chic1,mmu-miR-467g
Chic1,mmu-miR-1896
Chic1,mmu-miR-1896
Chic1,mmu-miR-129-1-3p
Chic1,mmu-miR-129-1-3p
Chic1,mmu-miR-129-2-3p
Chic1,mmu-miR-129-2-3p
Chic1,mmu-miR-3085-3p
Chic1,mmu-miR-3085-3p
Chic1,mmu-miR-3064-5p
Chic1,mmu-miR-3064-5p
Chek1,mmu-miR-669m-3p
Chek1,mmu-miR-669m-3p
Chek1,mmu-miR-466n-3p
Chek1,mmu-miR-466n-3p
Chek1,mmu-miR-362-3p
Chek1,mmu-miR-362-3p
Chek1,mmu-miR-329-3p
Chek1,mmu-miR-329-3p
Chek1,mmu-miR-466i-3p
Chek1,mmu-miR-466i-3p
Chek1,mmu-miR-466a-3p
Chek1,mmu-miR-466a-3p
Chek1,mmu-miR-466a-3p
Chek1,mmu-miR-466e-3p
Chek1,mmu-miR-466e-3p
Chek1,mmu-miR-466e-3p
Chek1,mmu-miR-466d-3p
Chek1,mmu-miR-466d-3p
Chek1,mmu-miR-466d-3p
Chek1,mmu-miR-467g
Chek1,mmu-miR-467g
Chek1,mmu-miR-467g
Chek1,mmu-miR-297b-3p
Chek1,mmu-miR-297b-3p
Chek1,mmu-miR-297b-3p
Chek1,mmu-miR-1843a-5p
Chek1,mmu-miR-1843a-5p
Chek1,mmu-miR-466c-3p
Chek1,mmu-miR-466c-3p
Chek1,mmu-miR-466p-3p
Chek1,mmu-miR-466p-3p
Chek1,mmu-miR-466b-3p
Chek1,mmu-miR-466b-3p
Chek1,mmu-miR-466o-3p
Chek1,mmu-miR-466o-3p
Chek1,mmu-miR-466o-3p
Chek1,mmu-miR-466m-3p
Chek1,mmu-miR-466m-3p
Chek1,mmu-miR-466m-3p
Cep97,mmu-miR-5098
Cep97,mmu-miR-466b-3p
Cep97,mmu-miR-466c-3p
Cep97,mmu-miR-466p-3p
Cep68,mmu-miR-875-3p
Celsr2,mmu-miR-145a-5p
Celf2,mmu-miR-290a-5p
Celf2,mmu-miR-290a-5p
Celf2,mmu-miR-292a-5p
Celf2,mmu-miR-292a-5p
Cecr2,mmu-miR-539-3p
Cecr2,mmu-miR-381-3p
Cecr2,mmu-miR-338-5p
Cecr2,mmu-miR-669f-3p
Cecr2,mmu-miR-466l-3p
Cdyl2,mmu-miR-129-5p
Cdyl2,mmu-miR-450b-5p
Cdyl2,mmu-miR-3095-5p
Cdyl2,mmu-miR-208a-5p
Cds2,mmu-miR-1b-5p
Cds2,mmu-miR-1b-5p
Cds2,mmu-miR-5127
Cds2,mmu-miR-5127
Cds2,mmu-miR-150-5p
Cds2,mmu-miR-150-5p
Cds2,mmu-miR-871-5p
Cds2,mmu-miR-466l-5p
Cds2,mmu-miR-466k
Cds2,mmu-miR-466d-5p
Cds2,mmu-miR-466i-5p
Cdk8,mmu-miR-10b-5p
Cdk8,mmu-miR-10a-5p
Cdk8,mmu-miR-339-5p
Cdk7,mmu-miR-1935
Cdk7,mmu-miR-1935
Cdk7,mmu-miR-709
Cdk7,mmu-miR-709
Cdk19,mmu-miR-466c-3p
Cdk19,mmu-miR-466b-3p
Cdk19,mmu-miR-466p-3p
Cdk19,mmu-miR-466m-3p
Cdk19,mmu-miR-466o-3p
Cdk19,mmu-miR-669f-3p
Cdk19,mmu-miR-466f-3p
Cdk19,mmu-miR-467f
Cdk19,mmu-miR-466a-3p
Cdk19,mmu-miR-297b-3p
Cdk19,mmu-miR-466e-3p
Cdk19,mmu-miR-467g
Cdk19,mmu-miR-466d-3p
Cdk12,mmu-miR-669j
Cdk12,mmu-miR-669j
Cdk12,mmu-miR-669j
Cdk12,mmu-miR-669i
Cdk12,mmu-miR-669i
Cdk12,mmu-miR-669i
Cdk12,mmu-miR-448-3p
Cdk12,mmu-miR-448-3p
Cdk12,mmu-miR-448-3p
Cdk12,mmu-miR-466i-3p
Cdk12,mmu-miR-466i-3p
Cdk12,mmu-miR-466i-3p
Cdk12,mmu-miR-362-3p
Cdk12,mmu-miR-362-3p
Cdk12,mmu-miR-362-3p
Cdk12,mmu-miR-329-3p
Cdk12,mmu-miR-329-3p
Cdk12,mmu-miR-329-3p
Cdk12,mmu-miR-669h-3p
Cdk12,mmu-miR-669h-3p
Cdk12,mmu-miR-669h-3p
Cdk12,mmu-miR-669k-3p
Cdk12,mmu-miR-669k-3p
Cdk12,mmu-miR-669k-3p
Cdh4,mmu-miR-669b-5p
Cdh4,mmu-miR-5101
Cdh4,mmu-miR-212-3p
Cdh4,mmu-miR-132-3p
Cdh4,mmu-miR-1960
Cdh4,mmu-miR-302c-3p
Cdh2,mmu-miR-3572-3p
Cdh2,mmu-miR-669b-5p
Cdh12,mmu-miR-3065-5p
Cdh12,mmu-miR-129-5p
Cdh12,mmu-miR-1897-5p
Cdc37l1,mmu-miR-3074-1-3p
Cdc37l1,mmu-miR-291a-5p
Cdc37l1,mmu-miR-291b-5p
Cdc37l1,mmu-miR-5125
Cdc37l1,mmu-miR-3105-3p
Cdc37l1,mmu-miR-132-3p
Cdc37l1,mmu-miR-212-3p
Cdc37l1,mmu-miR-343
Cdc37l1,mmu-miR-3065-5p
Cdc27,mmu-miR-3067-5p
Cdc27,mmu-miR-692
Cdc27,mmu-miR-664-3p
Cdc27,mmu-miR-694
Cdc14b,mmu-miR-466l-3p
Cdc14a,mmu-miR-3572-3p
Cd63,mmu-miR-5114
Cd63,mmu-miR-875-3p
Cd63,mmu-miR-694
Cd63,mmu-miR-490-3p
Cd28,mmu-miR-5101
Cd28,mmu-miR-5101
Cd28,mmu-miR-5098
Cd28,mmu-miR-5098
Cd28,mmu-miR-142a-5p
Cd28,mmu-miR-142a-5p
Cd28,mmu-miR-17-5p
Cd28,mmu-miR-17-5p
Cd28,mmu-miR-106a-5p
Cd28,mmu-miR-106a-5p
Cd28,mmu-miR-106b-5p
Cd28,mmu-miR-106b-5p
Cd28,mmu-miR-20a-5p
Cd28,mmu-miR-20a-5p
Cd28,mmu-miR-93-5p
Cd28,mmu-miR-93-5p
Cd28,mmu-miR-20b-5p
Cd28,mmu-miR-20b-5p
Cd274,mmu-miR-466l-5p
Cd274,mmu-miR-466k
Cd274,mmu-miR-466i-5p
Cd274,mmu-miR-466d-5p
Ccnd2,mmu-miR-540-3p
Ccnd2,mmu-miR-5110
Ccnd2,mmu-miR-5113
Ccna2,mmu-miR-466i-5p
Ccna2,mmu-miR-466k
Ccna2,mmu-miR-466l-5p
Ccna2,mmu-miR-466d-5p
Ccna2,mmu-miR-466m-3p
Ccna2,mmu-miR-466c-3p
Ccna2,mmu-miR-466o-3p
Ccna2,mmu-miR-466p-3p
Ccna2,mmu-miR-466b-3p
Ccna2,mmu-miR-1b-5p
Ccna2,mmu-miR-201-5p
Ccdc90b,mmu-miR-344d-3p
Ccdc90b,mmu-miR-410-3p
Ccdc90b,mmu-miR-344e-3p
Ccdc88a,mmu-miR-582-5p
Ccdc88a,mmu-miR-582-5p
Ccdc88a,mmu-miR-5098
Ccdc88a,mmu-miR-5098
Ccdc85a,mmu-miR-511-3p
Ccdc85a,mmu-miR-1198-5p
Ccdc85a,mmu-miR-1187
Ccdc85a,mmu-miR-466e-5p
Ccdc85a,mmu-miR-466p-5p
Ccdc85a,mmu-miR-466a-5p
Ccdc85a,mmu-miR-466d-5p
Ccdc85a,mmu-miR-466l-5p
Ccdc85a,mmu-miR-466i-5p
Ccdc85a,mmu-miR-466k
Ccdc85a,mmu-miR-194-5p
Cbx6,mmu-miR-450b-5p
Cbx4,mmu-miR-3074-1-3p
Cbx3,mmu-miR-344d-3p
Cbx3,mmu-miR-410-3p
Cbx3,mmu-miR-344e-3p
Cbx3,mmu-miR-466l-3p
Cbln3,mmu-miR-1955-5p
Cbln3,mmu-miR-1955-5p
Cbln3,mmu-miR-1955-5p
Cbln3,mmu-miR-3090-3p
Cbln3,mmu-miR-3090-3p
Cbln3,mmu-miR-3090-3p
Cbln3,mmu-miR-362-3p
Cbfa2t3,mmu-miR-5101
Cbln3,mmu-miR-329-3p
Cbfa2t3,mmu-miR-452-5p
Cbfa2t3,mmu-miR-3065-5p
Casz1,mmu-miR-466m-3p
Casz1,mmu-miR-466o-3p
Casc4,mmu-miR-344d-3p
Casc4,mmu-miR-344e-3p
Casc4,mmu-miR-410-3p
Casc4,mmu-miR-466i-5p
Casc4,mmu-miR-466i-5p
Casc4,mmu-miR-466d-5p
Casc4,mmu-miR-466d-5p
Casc4,mmu-miR-466k
Casc4,mmu-miR-466k
Casc4,mmu-miR-466l-5p
Casc4,mmu-miR-466l-5p
Casc4,mmu-miR-5123
Casc4,mmu-miR-5123
Car10,mmu-miR-101a-3p
Car10,mmu-miR-101a-3p
Car10,mmu-miR-101b-3p
Car10,mmu-miR-101b-3p
Car10,mmu-miR-802-5p
Car10,mmu-miR-802-5p
Car10,mmu-miR-144-3p
Car10,mmu-miR-144-3p
Capza1,mmu-miR-377-3p
Capza1,mmu-miR-377-3p
Capza1,mmu-miR-377-3p
Capza1,mmu-miR-362-3p
Capza1,mmu-miR-362-3p
Capza1,mmu-miR-362-3p
Capza1,mmu-miR-329-3p
Capza1,mmu-miR-329-3p
Capza1,mmu-miR-329-3p
Capza1,mmu-miR-875-5p
Capza1,mmu-miR-875-5p
Capza1,mmu-miR-3474
Caprin1,mmu-miR-543-3p
Caprin1,mmu-miR-1912-3p
Cap2,mmu-miR-669d-5p
Cap2,mmu-miR-466n-5p
Cap2,mmu-miR-466l-5p
Cap2,mmu-miR-466k
Cap2,mmu-miR-466d-5p
Cap2,mmu-miR-466i-5p
Camta1,mmu-miR-129-5p
Camta1,mmu-miR-5101
Camta1,mmu-miR-216a-5p
Camta1,mmu-miR-5119
Camkk2,mmu-miR-3065-5p
Camk1d,mmu-miR-466l-5p
Camk1d,mmu-miR-466l-5p
Camk1d,mmu-miR-297c-5p
Camk1d,mmu-miR-297c-5p
Camk1d,mmu-miR-297a-5p
Camk1d,mmu-miR-297a-5p
Camk1d,mmu-miR-297b-5p
Camk1d,mmu-miR-297b-5p
Camk1d,mmu-miR-466d-5p
Camk1d,mmu-miR-466d-5p
Camk1d,mmu-miR-466k
Camk1d,mmu-miR-466k
Camk1d,mmu-miR-466i-5p
Camk1d,mmu-miR-466i-5p
Camk1d,mmu-miR-290a-5p
Camk1d,mmu-miR-292a-5p
Calm1,mmu-miR-3470a
Calm1,mmu-miR-410-3p
Calm1,mmu-miR-344d-3p
Cald1,mmu-miR-1196-5p
Calm1,mmu-miR-344e-3p
Calcrl,mmu-miR-692
Calcrl,mmu-miR-692
Calcrl,mmu-miR-692
Cadm2,mmu-miR-129-5p
Cadm2,mmu-miR-129-5p
Cadm2,mmu-miR-434-3p
Cadm2,mmu-miR-434-3p
Cadm2,mmu-miR-3082-3p
Cadm2,mmu-miR-3082-3p
Cadm2,mmu-miR-3086-3p
Cadm2,mmu-miR-3086-3p
Cadm2,mmu-miR-3086-3p
Cadm1,mmu-miR-126a-5p
Cacng2,mmu-miR-343
Cacna1g,mmu-miR-5119
Cacna1g,mmu-miR-216a-5p
Cacna1g,mmu-miR-3071-5p
Cabp5,mmu-miR-450b-5p
Cabp5,mmu-miR-450b-5p
Cabp5,mmu-miR-450b-5p
C530008M17Rik,mmu-miR-1896
C3ar1,mmu-miR-802-5p
C3ar1,mmu-miR-802-5p
C2cd4c,mmu-miR-329-3p
C2cd4c,mmu-miR-329-3p
C2cd4c,mmu-miR-329-3p
C2cd4c,mmu-miR-466i-3p
C2cd4c,mmu-miR-466i-3p
C2cd4c,mmu-miR-466i-3p
C2cd4c,mmu-miR-362-3p
C2cd4c,mmu-miR-362-3p
C2cd4c,mmu-miR-362-3p
C2cd4c,mmu-miR-466m-3p
C2cd4c,mmu-miR-466m-3p
C2cd4c,mmu-miR-466m-3p
C2cd4c,mmu-miR-466o-3p
C2cd4c,mmu-miR-466o-3p
C2cd4c,mmu-miR-466o-3p
C2cd4c,mmu-miR-466f-3p
C2cd4c,mmu-miR-466f-3p
C2cd4c,mmu-miR-466f-3p
Peak1,mmu-miR-1958
Tspoap1,mmu-miR-674-5p
Peak1,mmu-miR-186-5p
Tspoap1,mmu-miR-3473d
Tspoap1,mmu-miR-496a-3p
Tspoap1,mmu-miR-467f
Tspoap1,mmu-miR-466f-3p
Tspoap1,mmu-miR-669f-3p
Btrc,mmu-miR-1894-5p
Btrc,mmu-miR-1894-5p
Btaf1,mmu-miR-669a-5p
Btaf1,mmu-miR-669f-5p
Btaf1,mmu-miR-669l-5p
Btaf1,mmu-miR-669p-5p
Btaf1,mmu-miR-1896
Btaf1,mmu-miR-129-2-3p
Btaf1,mmu-miR-129-1-3p
Btaf1,mmu-miR-3064-5p
Btaf1,mmu-miR-3064-5p
Btaf1,mmu-miR-3085-3p
Btaf1,mmu-miR-3085-3p
Bsn,mmu-miR-218-5p
Bsn,mmu-miR-101a-3p
Bsn,mmu-miR-101b-3p
Bsn,mmu-miR-144-3p
Bsn,mmu-miR-5119
Bsn,mmu-miR-466f-3p
Bsn,mmu-miR-466f-3p
Bsn,mmu-miR-466f-3p
Bsn,mmu-miR-466i-3p
Bsn,mmu-miR-466i-3p
Bsn,mmu-miR-466i-3p
Bsn,mmu-miR-329-3p
Bsn,mmu-miR-329-3p
Bsn,mmu-miR-329-3p
Bsn,mmu-miR-362-3p
Bsn,mmu-miR-362-3p
Bsn,mmu-miR-362-3p
Bsn,mmu-miR-466h-3p
Bsn,mmu-miR-466h-3p
Bsn,mmu-miR-466h-3p
Brsk2,mmu-miR-340-5p
Brix1,mmu-miR-3074-1-3p
Brd8,mmu-miR-5101
Brd8,mmu-miR-3076-3p
Brd4,mmu-miR-129-5p
Brd4,mmu-miR-5101
Braf,mmu-miR-296-3p
Braf,mmu-miR-296-3p
Braf,mmu-miR-1983
Braf,mmu-miR-1983
Braf,mmu-miR-412-3p
Braf,mmu-miR-412-3p
Braf,mmu-miR-345-3p
Braf,mmu-miR-224-5p
Braf,mmu-miR-224-5p
Braf,mmu-miR-2183
Braf,mmu-miR-5116
Braf,mmu-miR-463-3p
Bpnt1,mmu-miR-1935
Bpnt1,mmu-miR-1935
Bpnt1,mmu-miR-298-5p
Bpnt1,mmu-miR-298-5p
Bpnt1,mmu-miR-709
Bpnt1,mmu-miR-709
Bpnt1,mmu-miR-876-5p
Bpnt1,mmu-miR-876-5p
Bpnt1,mmu-miR-1199-5p
Bpnt1,mmu-miR-1199-5p
Bpnt1,mmu-miR-1195
Bpnt1,mmu-miR-1195
Bpnt1,mmu-miR-3089-5p
Bpnt1,mmu-miR-3089-5p
Bnc2,mmu-miR-203-3p
Bnc2,mmu-miR-181c-5p
Bnc2,mmu-miR-181b-5p
Bnc2,mmu-miR-181d-5p
Bnc2,mmu-miR-181a-5p
Bnc2,mmu-miR-692
Bmper,mmu-miR-669f-3p
Bend4,mmu-miR-1958
Bcl6,mmu-miR-3084-3p
Bcl6,mmu-miR-712-5p
Bcl6,mmu-miR-205-5p
Bcl2l11,mmu-miR-362-3p
Bcl2l11,mmu-miR-362-3p
Bcl2l11,mmu-miR-362-3p
Bcl2l11,mmu-miR-329-3p
Bcl2l11,mmu-miR-329-3p
Bcl2l11,mmu-miR-329-3p
Bcl2l11,mmu-miR-1941-5p
Bcl2l11,mmu-miR-344-3p
Bcl2l11,mmu-miR-344c-3p
Bcl2l11,mmu-miR-878-5p
Bcat1,mmu-miR-125a-3p
Bcas1,mmu-miR-669f-3p
Bcas1,mmu-miR-467f
Bcas1,mmu-miR-466f-3p
Bcas1,mmu-miR-128-3p
Erich5,mmu-miR-669b-5p
Erich5,mmu-miR-669b-5p
Erich5,mmu-miR-5101
Erich5,mmu-miR-5101
Erich5,mmu-miR-335-3p
Erich5,mmu-miR-335-3p
Erich5,mmu-miR-1896
Erich5,mmu-miR-1896
Erich5,mmu-miR-129-1-3p
Erich5,mmu-miR-129-1-3p
Erich5,mmu-miR-129-2-3p
Erich5,mmu-miR-129-2-3p
Erich5,mmu-miR-3085-3p
Erich5,mmu-miR-3085-3p
Erich5,mmu-miR-3064-5p
Erich5,mmu-miR-3064-5p
Erich5,mmu-miR-1192
Erich5,mmu-miR-495-3p
Erich5,mmu-miR-1955-3p
Bbx,mmu-miR-495-3p
Bbx,mmu-miR-1192
Bbx,mmu-miR-3103-3p
Bbx,mmu-miR-3065-5p
Bbx,mmu-miR-3084-3p
Bbc3,mmu-miR-342-3p
Bbc3,mmu-miR-342-3p
Bbc3,mmu-miR-342-3p
Bbc3,mmu-miR-377-3p
Bbc3,mmu-miR-377-3p
Bbc3,mmu-miR-377-3p
Bbc3,mmu-miR-466f-3p
Bbc3,mmu-miR-466f-3p
Bbc3,mmu-miR-466f-3p
Bbc3,mmu-miR-466f-3p
Bbc3,mmu-miR-466i-3p
Bbc3,mmu-miR-466i-3p
Bbc3,mmu-miR-466i-3p
Bbc3,mmu-miR-466i-3p
Bbc3,mmu-miR-362-3p
Bbc3,mmu-miR-362-3p
Bbc3,mmu-miR-362-3p
Bbc3,mmu-miR-362-3p
Bbc3,mmu-miR-329-3p
Bbc3,mmu-miR-329-3p
Bbc3,mmu-miR-329-3p
Bbc3,mmu-miR-329-3p
Bbc3,mmu-miR-466m-3p
Bbc3,mmu-miR-466m-3p
Bbc3,mmu-miR-466m-3p
Bbc3,mmu-miR-466m-3p
Bbc3,mmu-miR-466o-3p
Bbc3,mmu-miR-466o-3p
Bbc3,mmu-miR-466o-3p
Bbc3,mmu-miR-466o-3p
Baiap2,mmu-miR-743b-5p
Baiap2,mmu-miR-5101
Baiap2,mmu-miR-1958
Bach2,mmu-miR-466q
Bach2,mmu-miR-466q
Bach2,mmu-miR-466q
Bach2,mmu-miR-466q
Bach2,mmu-miR-290a-5p
Bach2,mmu-miR-290a-5p
Bach2,mmu-miR-290a-5p
Bach2,mmu-miR-292a-5p
Bach2,mmu-miR-292a-5p
Bach2,mmu-miR-292a-5p
Bach2,mmu-miR-186-5p
Bach2,mmu-miR-3473d
Bach2,mmu-miR-674-5p
Bach2,mmu-miR-883b-5p
Bach2,mmu-miR-539-5p
Bach2,mmu-miR-706
Bach2,mmu-miR-706
Bmt2,mmu-miR-712-5p
B4galt6,mmu-miR-1187
B4galt6,mmu-miR-466a-5p
B4galt6,mmu-miR-466p-5p
B4galt6,mmu-miR-466e-5p
B4galt6,mmu-miR-466l-5p
B4galt6,mmu-miR-466i-5p
B4galt6,mmu-miR-466i-5p
B4galt6,mmu-miR-466d-5p
B4galt6,mmu-miR-466d-5p
B4galt6,mmu-miR-466k
B4galt6,mmu-miR-466k
B4galt6,mmu-miR-466j
B4galt6,mmu-miR-466j
B4galt6,mmu-miR-466h-5p
B4galt6,mmu-miR-466h-5p
B4galt6,mmu-miR-466n-5p
B4galt6,mmu-miR-466n-5p
B4galt6,mmu-miR-669m-5p
B4galt6,mmu-miR-669m-5p
B4galt6,mmu-miR-466m-5p
B4galt6,mmu-miR-466m-5p
B4galt6,mmu-miR-218-5p
B4galt6,mmu-miR-466i-3p
B3gnt5,mmu-miR-1196-5p
B3gat1,mmu-miR-374b-5p
B3gat1,mmu-miR-466f-3p
B3gat1,mmu-miR-590-3p
B3gat1,mmu-miR-466l-3p
Fam214b,mmu-miR-297a-5p
Fam214b,mmu-miR-297c-5p
Fam214b,mmu-miR-297b-5p
Fam214b,mmu-miR-675-3p
Fam214b,mmu-miR-500-3p
Fam214b,mmu-miR-501-3p
Fam214b,mmu-miR-466i-3p
Fam214b,mmu-miR-466i-3p
Fam214b,mmu-miR-466i-3p
Fam214b,mmu-miR-466m-3p
Fam214b,mmu-miR-466m-3p
Fam214b,mmu-miR-466m-3p
Fam214b,mmu-miR-466m-3p
Fam214b,mmu-miR-466o-3p
Fam214b,mmu-miR-466o-3p
Fam214b,mmu-miR-466o-3p
Fam214b,mmu-miR-466o-3p
Azi2,mmu-miR-466m-3p
Azi2,mmu-miR-466m-3p
Azi2,mmu-miR-466m-3p
Azi2,mmu-miR-466o-3p
Azi2,mmu-miR-466o-3p
Azi2,mmu-miR-466o-3p
Azi2,mmu-miR-466i-3p
Azi2,mmu-miR-466i-3p
Azi2,mmu-miR-466i-3p
Azi2,mmu-miR-362-3p
Azi2,mmu-miR-362-3p
Azi2,mmu-miR-362-3p
Azi2,mmu-miR-329-3p
Azi2,mmu-miR-329-3p
Azi2,mmu-miR-329-3p
Cep170b,mmu-miR-466m-3p
Cep170b,mmu-miR-466m-3p
Cep170b,mmu-miR-466m-3p
Cep170b,mmu-miR-466o-3p
Cep170b,mmu-miR-466o-3p
Cep170b,mmu-miR-466o-3p
Cep170b,mmu-miR-466f-3p
Cep170b,mmu-miR-466f-3p
Cep170b,mmu-miR-466f-3p
Cep170b,mmu-miR-329-3p
Cep170b,mmu-miR-329-3p
Cep170b,mmu-miR-329-3p
Cep170b,mmu-miR-466i-3p
Cep170b,mmu-miR-466i-3p
Cep170b,mmu-miR-466i-3p
Cep170b,mmu-miR-362-3p
Cep170b,mmu-miR-362-3p
Cep170b,mmu-miR-362-3p
Cep170b,mmu-miR-30b-5p
Cep170b,mmu-miR-30b-5p
Cep170b,mmu-miR-30b-5p
Cep170b,mmu-miR-30a-5p
Cep170b,mmu-miR-30a-5p
Cep170b,mmu-miR-30a-5p
Cep170b,mmu-miR-30e-5p
Cep170b,mmu-miR-30e-5p
Cep170b,mmu-miR-30e-5p
Cep170b,mmu-miR-384-5p
Cep170b,mmu-miR-384-5p
Cep170b,mmu-miR-384-5p
Cep170b,mmu-miR-30d-5p
Cep170b,mmu-miR-30d-5p
Cep170b,mmu-miR-30d-5p
Cep170b,mmu-miR-30c-5p
Cep170b,mmu-miR-30c-5p
Cep170b,mmu-miR-30c-5p
Auts2,mmu-miR-105
Auts2,mmu-miR-105
Auts2,mmu-miR-291b-3p
Auts2,mmu-miR-291b-3p
Auts2,mmu-miR-466q
Auts2,mmu-miR-466q
Auts2,mmu-miR-3110-5p
Auts2,mmu-miR-3110-5p
Auts2,mmu-miR-3110-5p
Auts2,mmu-miR-5125
Auts2,mmu-miR-5125
Auts2,mmu-miR-5125
Atxn7,mmu-miR-466f-3p
Atxn7,mmu-miR-466f-3p
Atxn7,mmu-miR-329-3p
Atxn7,mmu-miR-329-3p
Atxn7,mmu-miR-362-3p
Atxn7,mmu-miR-362-3p
Atxn7,mmu-miR-466i-3p
Atxn7,mmu-miR-466i-3p
Atxn7,mmu-miR-342-3p
Atxn7,mmu-miR-342-3p
Atxn7,mmu-miR-342-3p
Atxn7,mmu-miR-377-3p
Atxn7,mmu-miR-377-3p
Atxn7,mmu-miR-377-3p
Atxn1,mmu-miR-129-5p
Atxn1,mmu-miR-5101
Atxn1,mmu-miR-466i-3p
Atxn1,mmu-miR-362-3p
Atxn1,mmu-miR-329-3p
Atxn1,mmu-miR-491-5p
Atp8b1,mmu-miR-323-3p
Atp8b1,mmu-miR-669f-3p
Atp8b1,mmu-miR-669m-3p
Atp8b1,mmu-miR-297b-3p
Atp8b1,mmu-miR-467g
Atp8b1,mmu-miR-466a-3p
Atp8b1,mmu-miR-466n-3p
Atp8b1,mmu-miR-466d-3p
Atp8b1,mmu-miR-466e-3p
Atp8b1,mmu-miR-345-3p
Atp8b1,mmu-miR-411-5p
Atp2b3,mmu-miR-466l-5p
Atp2b3,mmu-miR-466l-5p
Atp2b3,mmu-miR-466k
Atp2b3,mmu-miR-466k
Atp2b3,mmu-miR-466i-5p
Atp2b3,mmu-miR-466i-5p
Atp2b3,mmu-miR-466d-5p
Atp2b3,mmu-miR-466d-5p
Atp2b2,mmu-miR-374b-5p
Atp2b2,mmu-miR-369-3p
Atp2b2,mmu-miR-344d-3p
Atp2b2,mmu-miR-344e-3p
Atp2b2,mmu-miR-410-3p
Atp2b2,mmu-miR-669b-5p
Atp2b2,mmu-miR-1897-5p
Atp2b2,mmu-miR-3057-5p
Atp10a,mmu-miR-5102
Atp10a,mmu-miR-543-3p
Atp10a,mmu-miR-19a-3p
Atp10a,mmu-miR-19b-3p
Atp10a,mmu-miR-466l-3p
Atm,mmu-miR-466f-5p
Atm,mmu-miR-466f-5p
Atm,mmu-miR-466f-5p
Atm,mmu-miR-466f-5p
Atm,mmu-miR-342-3p
Atm,mmu-miR-342-3p
Atm,mmu-miR-342-3p
Atm,mmu-miR-377-3p
Atm,mmu-miR-377-3p
Atm,mmu-miR-377-3p
Atm,mmu-miR-377-3p
Atl2,mmu-miR-342-3p
Atl2,mmu-miR-342-3p
Atl2,mmu-miR-377-3p
Atl2,mmu-miR-377-3p
Atl2,mmu-miR-377-3p
Atf6,mmu-miR-216a-5p
Atf6,mmu-miR-290a-5p
Atf6,mmu-miR-292a-5p
Atf2,mmu-miR-377-3p
Asb7,mmu-miR-669b-5p
Asb7,mmu-miR-5101
Asb7,mmu-miR-804
Asb7,mmu-miR-804
Asb7,mmu-miR-574-5p
Asb7,mmu-miR-574-5p
Asb3,mmu-miR-1981-5p
Asb3,mmu-miR-1971
Asap3,mmu-miR-5121
Asap3,mmu-miR-3967
Asap3,mmu-miR-669d-5p
Asap3,mmu-miR-466k
Asap3,mmu-miR-466i-5p
Asap3,mmu-miR-466l-5p
Asap3,mmu-miR-466d-5p
Asap3,mmu-miR-669n
Asap3,mmu-miR-758-3p
Asap3,mmu-miR-1896
Asap3,mmu-miR-129-2-3p
Asap3,mmu-miR-129-1-3p
Asap3,mmu-miR-679-5p
Armc2,mmu-miR-466f-3p
Armc2,mmu-miR-466f-3p
Armc2,mmu-miR-466f-3p
Armc2,mmu-miR-329-3p
Armc2,mmu-miR-329-3p
Armc2,mmu-miR-329-3p
Armc2,mmu-miR-362-3p
Armc2,mmu-miR-362-3p
Armc2,mmu-miR-362-3p
Armc2,mmu-miR-466i-3p
Armc2,mmu-miR-466i-3p
