CPD,Enzyme,ACIN
C01405,1.1.1.1,AC
C01842,1.1.1.1,AC
C00004,1.1.1.1,IN
C00006,1.1.1.1,IN
C00010,1.1.1.1,IN
C00027,1.1.1.1,IN
C00038,1.1.1.1,IN
C00051,1.1.1.1,IN
C00097,1.1.1.1,IN
C00280,1.1.1.1,IN
C00284,1.1.1.1,IN
C00376,1.1.1.1,IN
C00469,1.1.1.1,IN
C00481,1.1.1.1,IN
C00535,1.1.1.1,IN
C00604,1.1.1.1,IN
C00703,1.1.1.1,IN
C00755,1.1.1.1,IN
C00777,1.1.1.1,IN
C00805,1.1.1.1,IN
C00814,1.1.1.1,IN
C00854,1.1.1.1,IN
C00870,1.1.1.1,IN
C00928,1.1.1.1,IN
C00950,1.1.1.1,IN
C01197,1.1.1.1,IN
C01678,1.1.1.1,IN
C01692,1.1.1.1,IN
C01845,1.1.1.1,IN
C01857,1.1.1.1,IN
C02086,1.1.1.1,IN
C02441,1.1.1.1,IN
C02679,1.1.1.1,IN
C02924,1.1.1.1,IN
C03444,1.1.1.1,IN
C03917,1.1.1.1,IN
C06423,1.1.1.1,IN
C06563,1.1.1.1,IN
C06804,1.1.1.1,IN
C06952,1.1.1.1,IN
C07190,1.1.1.1,IN
C07648,1.1.1.1,IN
C07837,1.1.1.1,IN
C08317,1.1.1.1,IN
C08390,1.1.1.1,IN
C10208,1.1.1.1,IN
C10788,1.1.1.1,IN
C11143,1.1.1.1,IN
C14415,1.1.1.1,IN
C14437,1.1.1.1,IN
C15561,1.1.1.1,IN
C19150,1.1.1.1,IN
C19302,1.1.1.1,IN
C00022,1.1.1.10,IN
C00036,1.1.1.10,IN
C00097,1.1.1.10,IN
C00163,1.1.1.10,IN
C00164,1.1.1.10,IN
C00246,1.1.1.10,IN
C00742,1.1.1.10,IN
C00803,1.1.1.10,IN
C01585,1.1.1.10,IN
C01620,1.1.1.10,IN
C03444,1.1.1.10,IN
C06423,1.1.1.10,IN
C17714,1.1.1.10,IN
C04576,1.1.1.100,IN
C00284,1.1.1.101,AC
C06916,1.1.1.101,AC
C00006,1.1.1.101,IN
C00154,1.1.1.101,IN
C01192,1.1.1.101,IN
C02441,1.1.1.101,IN
C03444,1.1.1.101,IN
C00004,1.1.1.103,IN
C00288,1.1.1.103,IN
C00546,1.1.1.103,IN
C01888,1.1.1.103,IN
C01589,1.1.1.105,IN
C06899,1.1.1.105,IN
C11171,1.1.1.105,IN
C12995,1.1.1.105,IN
C21797,1.1.1.105,IN
C00410,1.1.1.112,IN
C00481,1.1.1.112,IN
C00604,1.1.1.112,IN
C01926,1.1.1.112,IN
C08090,1.1.1.112,IN
C13038,1.1.1.112,IN
C13101,1.1.1.112,IN
C19434,1.1.1.112,IN
C02441,1.1.1.115,IN
C03444,1.1.1.115,IN
C13377,1.1.1.115,IN
C00004,1.1.1.116,IN
C01019,1.1.1.116,IN
C02441,1.1.1.116,IN
C03444,1.1.1.116,IN
C13377,1.1.1.116,IN
C00192,1.1.1.122,AC
C13563,1.1.1.122,AC
C00002,1.1.1.122,IN
C00004,1.1.1.122,IN
C00008,1.1.1.122,IN
C00703,1.1.1.122,IN
C01413,1.1.1.122,IN
C03444,1.1.1.122,IN
C00097,1.1.1.14,AC
C00756,1.1.1.14,AC
C01330,1.1.1.14,AC
C06753,1.1.1.14,AC
C07490,1.1.1.14,AC
C11166,1.1.1.14,AC
C13563,1.1.1.14,AC
C00003,1.1.1.14,IN
C00004,1.1.1.14,IN
C00042,1.1.1.14,IN
C00051,1.1.1.14,IN
C00086,1.1.1.14,IN
C00095,1.1.1.14,IN
C00209,1.1.1.14,IN
C00284,1.1.1.14,IN
C00383,1.1.1.14,IN
C00389,1.1.1.14,IN
C00481,1.1.1.14,IN
C00604,1.1.1.14,IN
C00805,1.1.1.14,IN
C00928,1.1.1.14,IN
C00950,1.1.1.14,IN
C01204,1.1.1.14,IN
C01326,1.1.1.14,IN
C01571,1.1.1.14,IN
C01589,1.1.1.14,IN
C01621,1.1.1.14,IN
C01678,1.1.1.14,IN
C01692,1.1.1.14,IN
C01755,1.1.1.14,IN
C01857,1.1.1.14,IN
C02924,1.1.1.14,IN
C03444,1.1.1.14,IN
C05576,1.1.1.14,IN
C05580,1.1.1.14,IN
C05582,1.1.1.14,IN
C05584,1.1.1.14,IN
C05594,1.1.1.14,IN
C06244,1.1.1.14,IN
C07054,1.1.1.14,IN
C07185,1.1.1.14,IN
C11592,1.1.1.14,IN
C13377,1.1.1.14,IN
C14415,1.1.1.14,IN
C18713,1.1.1.14,IN
C19434,1.1.1.14,IN
C00410,1.1.1.141,AC
C00535,1.1.1.141,AC
C00762,1.1.1.141,AC
C00951,1.1.1.141,AC
C02140,1.1.1.141,AC
C03917,1.1.1.141,AC
C07369,1.1.1.141,AC
C07675,1.1.1.141,AC
C15643,1.1.1.141,AC
C00003,1.1.1.141,IN
C00004,1.1.1.141,IN
C00005,1.1.1.141,IN
C00018,1.1.1.141,IN
C00038,1.1.1.141,IN
C00116,1.1.1.141,IN
C00219,1.1.1.141,IN
C00249,1.1.1.141,IN
C00301,1.1.1.141,IN
C00469,1.1.1.141,IN
C00584,1.1.1.141,IN
C00639,1.1.1.141,IN
C00814,1.1.1.141,IN
C01405,1.1.1.141,IN
C01471,1.1.1.141,IN
C01484,1.1.1.141,IN
C01530,1.1.1.141,IN
C01531,1.1.1.141,IN
C01595,1.1.1.141,IN
C01829,1.1.1.141,IN
C01926,1.1.1.141,IN
C02168,1.1.1.141,IN
C02441,1.1.1.141,IN
C03582,1.1.1.141,IN
C04654,1.1.1.141,IN
C04707,1.1.1.141,IN
C04741,1.1.1.141,IN
C05151,1.1.1.141,IN
C05377,1.1.1.141,IN
C06424,1.1.1.141,IN
C06533,1.1.1.141,IN
C06563,1.1.1.141,IN
C07062,1.1.1.141,IN
C07117,1.1.1.141,IN
C07316,1.1.1.141,IN
C09731,1.1.1.141,IN
C10028,1.1.1.141,IN
C10443,1.1.1.141,IN
C11592,1.1.1.141,IN
C11704,1.1.1.141,IN
C13038,1.1.1.141,IN
C14783,1.1.1.141,IN
C19300,1.1.1.141,IN
C00535,1.1.1.145,AC
C03444,1.1.1.145,AC
C07653,1.1.1.145,AC
C00038,1.1.1.145,IN
C00175,1.1.1.145,IN
C00389,1.1.1.145,IN
C00410,1.1.1.145,IN
C00703,1.1.1.145,IN
C00766,1.1.1.145,IN
C00799,1.1.1.145,IN
C00814,1.1.1.145,IN
C00858,1.1.1.145,IN
C00951,1.1.1.145,IN
C01413,1.1.1.145,IN
C01477,1.1.1.145,IN
C01692,1.1.1.145,IN
C01953,1.1.1.145,IN
C02140,1.1.1.145,IN
C02679,1.1.1.145,IN
C03205,1.1.1.145,IN
C03582,1.1.1.145,IN
C03690,1.1.1.145,IN
C05138,1.1.1.145,IN
C06424,1.1.1.145,IN
C06563,1.1.1.145,IN
C07119,1.1.1.145,IN
C07522,1.1.1.145,IN
C07534,1.1.1.145,IN
C07667,1.1.1.145,IN
C10043,1.1.1.145,IN
C10107,1.1.1.145,IN
C10208,1.1.1.145,IN
C10521,1.1.1.145,IN
C10524,1.1.1.145,IN
C11043,1.1.1.145,IN
C11592,1.1.1.145,IN
C12580,1.1.1.145,IN
C13101,1.1.1.145,IN
C13624,1.1.1.145,IN
C14137,1.1.1.145,IN
C14214,1.1.1.145,IN
C14227,1.1.1.145,IN
C14529,1.1.1.145,IN
C14550,1.1.1.145,IN
C14818,1.1.1.145,IN
C19609,1.1.1.145,IN
C19610,1.1.1.145,IN
C00031,1.1.1.146,AC
C00092,1.1.1.146,AC
C00547,1.1.1.146,AC
C06124,1.1.1.146,AC
C15643,1.1.1.146,AC
C00006,1.1.1.146,IN
C00187,1.1.1.146,IN
C00389,1.1.1.146,IN
C00410,1.1.1.146,IN
C00535,1.1.1.146,IN
C00766,1.1.1.146,IN
C00849,1.1.1.146,IN
C00951,1.1.1.146,IN
C01227,1.1.1.146,IN
C01692,1.1.1.146,IN
C01724,1.1.1.146,IN
C01751,1.1.1.146,IN
C01926,1.1.1.146,IN
C02283,1.1.1.146,IN
C02284,1.1.1.146,IN
C02528,1.1.1.146,IN
C02943,1.1.1.146,IN
C03205,1.1.1.146,IN
C03209,1.1.1.146,IN
C03343,1.1.1.146,IN
C03444,1.1.1.146,IN
C03582,1.1.1.146,IN
C03747,1.1.1.146,IN
C03917,1.1.1.146,IN
C05285,1.1.1.146,IN
C05472,1.1.1.146,IN
C05476,1.1.1.146,IN
C05480,1.1.1.146,IN
C05490,1.1.1.146,IN
C05498,1.1.1.146,IN
C06087,1.1.1.146,IN
C06916,1.1.1.146,IN
C07004,1.1.1.146,IN
C07017,1.1.1.146,IN
C07020,1.1.1.146,IN
C07051,1.1.1.146,IN
C07393,1.1.1.146,IN
C07586,1.1.1.146,IN
C07667,1.1.1.146,IN
C08618,1.1.1.146,IN
C08628,1.1.1.146,IN
C09727,1.1.1.146,IN
C09731,1.1.1.146,IN
C09981,1.1.1.146,IN
C10043,1.1.1.146,IN
C10294,1.1.1.146,IN
C10315,1.1.1.146,IN
C10343,1.1.1.146,IN
C10401,1.1.1.146,IN
C10443,1.1.1.146,IN
C11043,1.1.1.146,IN
C11090,1.1.1.146,IN
C11160,1.1.1.146,IN
C12136,1.1.1.146,IN
C13624,1.1.1.146,IN
C13712,1.1.1.146,IN
C13713,1.1.1.146,IN
C14132,1.1.1.146,IN
C14136,1.1.1.146,IN
C14205,1.1.1.146,IN
C14214,1.1.1.146,IN
C14221,1.1.1.146,IN
C14240,1.1.1.146,IN
C14241,1.1.1.146,IN
C14256,1.1.1.146,IN
C14469,1.1.1.146,IN
C14529,1.1.1.146,IN
C14550,1.1.1.146,IN
C14606,1.1.1.146,IN
C14665,1.1.1.146,IN
C14671,1.1.1.146,IN
C15229,1.1.1.146,IN
C15232,1.1.1.146,IN
C15332,1.1.1.146,IN
C15520,1.1.1.146,IN
C15617,1.1.1.146,IN
C17045,1.1.1.146,IN
C17148,1.1.1.146,IN
C17734,1.1.1.146,IN
C18045,1.1.1.146,IN
C18075,1.1.1.146,IN
C18137,1.1.1.146,IN
C18142,1.1.1.146,IN
C18205,1.1.1.146,IN
C19150,1.1.1.146,IN
C00038,1.1.1.147,IN
C00284,1.1.1.147,IN
C00604,1.1.1.147,IN
C02441,1.1.1.147,IN
C00097,1.1.1.149,AC
C03134,1.1.1.149,AC
C00002,1.1.1.149,IN
C00003,1.1.1.149,IN
C00005,1.1.1.149,IN
C00006,1.1.1.149,IN
C00008,1.1.1.149,IN
C00018,1.1.1.149,IN
C00020,1.1.1.149,IN
C00116,1.1.1.149,IN
C00200,1.1.1.149,IN
C00280,1.1.1.149,IN
C00301,1.1.1.149,IN
C00389,1.1.1.149,IN
C00410,1.1.1.149,IN
C00509,1.1.1.149,IN
C00575,1.1.1.149,IN
C00604,1.1.1.149,IN
C00805,1.1.1.149,IN
C00946,1.1.1.149,IN
C00951,1.1.1.149,IN
C01176,1.1.1.149,IN
C01405,1.1.1.149,IN
C01477,1.1.1.149,IN
C01514,1.1.1.149,IN
C01926,1.1.1.149,IN
C02168,1.1.1.149,IN
C02283,1.1.1.149,IN
C02441,1.1.1.149,IN
C03243,1.1.1.149,IN
C03444,1.1.1.149,IN
C03850,1.1.1.149,IN
C03917,1.1.1.149,IN
C03990,1.1.1.149,IN
C05293,1.1.1.149,IN
C05903,1.1.1.149,IN
C06948,1.1.1.149,IN
C07117,1.1.1.149,IN
C07272,1.1.1.149,IN
C07729,1.1.1.149,IN
C07880,1.1.1.149,IN
C10041,1.1.1.149,IN
C10044,1.1.1.149,IN
C10107,1.1.1.149,IN
C13038,1.1.1.149,IN
C13101,1.1.1.149,IN
C14286,1.1.1.149,IN
C14512,1.1.1.149,IN
C14783,1.1.1.149,IN
C15499,1.1.1.149,IN
C00003,1.1.1.150,IN
C00006,1.1.1.150,IN
C00703,1.1.1.150,IN
C00985,1.1.1.150,IN
C00004,1.1.1.151,IN
C00005,1.1.1.151,IN
C00703,1.1.1.151,IN
C00985,1.1.1.151,IN
C00005,1.1.1.153,IN
C00006,1.1.1.153,IN
C00022,1.1.1.153,IN
C00026,1.1.1.153,IN
C00033,1.1.1.153,IN
C00036,1.1.1.153,IN
C00038,1.1.1.153,IN
C00058,1.1.1.153,IN
C00163,1.1.1.153,IN
C00180,1.1.1.153,IN
C00246,1.1.1.153,IN
C00472,1.1.1.153,IN
C00481,1.1.1.153,IN
C00547,1.1.1.153,IN
C00703,1.1.1.153,IN
C00715,1.1.1.153,IN
C00780,1.1.1.153,IN
C00796,1.1.1.153,IN
C00803,1.1.1.153,IN
C00835,1.1.1.153,IN
C00978,1.1.1.153,IN
C00985,1.1.1.153,IN
C01413,1.1.1.153,IN
C01432,1.1.1.153,IN
C01598,1.1.1.153,IN
C01819,1.1.1.153,IN
C01926,1.1.1.153,IN
C02333,1.1.1.153,IN
C02441,1.1.1.153,IN
C02470,1.1.1.153,IN
C02496,1.1.1.153,IN
C03243,1.1.1.153,IN
C03444,1.1.1.153,IN
C03758,1.1.1.153,IN
C03975,1.1.1.153,IN
C04874,1.1.1.153,IN
C05926,1.1.1.153,IN
C06746,1.1.1.153,IN
C07148,1.1.1.153,IN
C07315,1.1.1.153,IN
C07434,1.1.1.153,IN
C07997,1.1.1.153,IN
C11169,1.1.1.153,IN
C14783,1.1.1.153,IN
C00006,1.1.1.162,IN
C00946,1.1.1.162,IN
C03850,1.1.1.162,IN
C00038,1.1.1.170,IN
C01189,1.1.1.170,IN
C14818,1.1.1.170,IN
C00004,1.1.1.172,IN
C00209,1.1.1.172,IN
C03444,1.1.1.172,IN
C11166,1.1.1.172,IN
C07755,1.1.1.179,AC
C00003,1.1.1.179,IN
C01508,1.1.1.179,IN
C10700,1.1.1.179,IN
C00061,1.1.1.181,IN
C07339,1.1.1.181,IN
C01530,1.1.1.184,AC
C00003,1.1.1.184,IN
C00005,1.1.1.184,IN
C00006,1.1.1.184,IN
C00016,1.1.1.184,IN
C00022,1.1.1.184,IN
C00166,1.1.1.184,IN
C00253,1.1.1.184,IN
C00389,1.1.1.184,IN
C00410,1.1.1.184,IN
C00481,1.1.1.184,IN
C00509,1.1.1.184,IN
C00523,1.1.1.184,IN
C00535,1.1.1.184,IN
C00703,1.1.1.184,IN
C00741,1.1.1.184,IN
C00796,1.1.1.184,IN
C00814,1.1.1.184,IN
C00852,1.1.1.184,IN
C00928,1.1.1.184,IN
C01405,1.1.1.184,IN
C01541,1.1.1.184,IN
C01692,1.1.1.184,IN
C01750,1.1.1.184,IN
C01926,1.1.1.184,IN
C02283,1.1.1.184,IN
C02441,1.1.1.184,IN
C03444,1.1.1.184,IN
C03990,1.1.1.184,IN
C05377,1.1.1.184,IN
C05479,1.1.1.184,IN
C05625,1.1.1.184,IN
C05903,1.1.1.184,IN
C06424,1.1.1.184,IN
C06562,1.1.1.184,IN
C06563,1.1.1.184,IN
C06906,1.1.1.184,IN
C07017,1.1.1.184,IN
C07185,1.1.1.184,IN
C07198,1.1.1.184,IN
C08151,1.1.1.184,IN
C09815,1.1.1.184,IN
C10028,1.1.1.184,IN
C10208,1.1.1.184,IN
C10216,1.1.1.184,IN
C10541,1.1.1.184,IN
C12059,1.1.1.184,IN
C13038,1.1.1.184,IN
C18040,1.1.1.184,IN
C18713,1.1.1.184,IN
C00051,1.1.1.188,AC
C00698,1.1.1.188,AC
C00746,1.1.1.188,AC
C01330,1.1.1.188,AC
C01541,1.1.1.188,AC
C01589,1.1.1.188,AC
C01608,1.1.1.188,AC
C05151,1.1.1.188,AC
C13563,1.1.1.188,AC
C00033,1.1.1.188,IN
C00038,1.1.1.188,IN
C00389,1.1.1.188,IN
C00546,1.1.1.188,IN
C00805,1.1.1.188,IN
C00951,1.1.1.188,IN
C01405,1.1.1.188,IN
C01413,1.1.1.188,IN
C01517,1.1.1.188,IN
C01531,1.1.1.188,IN
C01588,1.1.1.188,IN
C01621,1.1.1.188,IN
C01926,1.1.1.188,IN
C02168,1.1.1.188,IN
C03243,1.1.1.188,IN
C07117,1.1.1.188,IN
C08142,1.1.1.188,IN
C13038,1.1.1.188,IN
C13377,1.1.1.188,IN
C18713,1.1.1.188,IN
C00076,1.1.1.189,AC
C00746,1.1.1.189,AC
C00003,1.1.1.189,IN
C00006,1.1.1.189,IN
C00016,1.1.1.189,IN
C00249,1.1.1.189,IN
C00410,1.1.1.189,IN
C00584,1.1.1.189,IN
C00735,1.1.1.189,IN
C00951,1.1.1.189,IN
C01405,1.1.1.189,IN
C01926,1.1.1.189,IN
C05443,1.1.1.189,IN
C00018,1.1.1.19,IN
C00026,1.1.1.19,IN
C00038,1.1.1.19,IN
C00164,1.1.1.19,IN
C00192,1.1.1.19,IN
C00741,1.1.1.19,IN
C00928,1.1.1.19,IN
C01621,1.1.1.19,IN
C02441,1.1.1.19,IN
C03444,1.1.1.19,IN
C05377,1.1.1.19,IN
C07086,1.1.1.19,IN
C07185,1.1.1.19,IN
C07434,1.1.1.19,IN
C07443,1.1.1.19,IN
C08142,1.1.1.19,IN
C11592,1.1.1.19,IN
C12600,1.1.1.19,IN
C01326,1.1.1.192,IN
C02441,1.1.1.192,IN
C00219,1.1.1.196,IN
C00249,1.1.1.196,IN
C01595,1.1.1.196,IN
C01829,1.1.1.196,IN
C01926,1.1.1.196,IN
C02441,1.1.1.196,IN
C03444,1.1.1.196,IN
C13038,1.1.1.196,IN
C16525,1.1.1.196,IN
C00005,1.1.1.197,IN
C00127,1.1.1.197,IN
C00957,1.1.1.197,IN
C02086,1.1.1.197,IN
C00009,1.1.1.2,AC
C00059,1.1.1.2,AC
C00212,1.1.1.2,AC
C07168,1.1.1.2,AC
C00005,1.1.1.2,IN
C00006,1.1.1.2,IN
C00116,1.1.1.2,IN
C00166,1.1.1.2,IN
C00180,1.1.1.2,IN
C00192,1.1.1.2,IN
C00219,1.1.1.2,IN
C00284,1.1.1.2,IN
C00389,1.1.1.2,IN
C00481,1.1.1.2,IN
C00604,1.1.1.2,IN
C00800,1.1.1.2,IN
C00928,1.1.1.2,IN
C00985,1.1.1.2,IN
C01621,1.1.1.2,IN
C01865,1.1.1.2,IN
C02441,1.1.1.2,IN
C03850,1.1.1.2,IN
C06747,1.1.1.2,IN
C06868,1.1.1.2,IN
C06906,1.1.1.2,IN
C07327,1.1.1.2,IN
C07428,1.1.1.2,IN
C07434,1.1.1.2,IN
C07443,1.1.1.2,IN
C07536,1.1.1.2,IN
C08142,1.1.1.2,IN
C10105,1.1.1.2,IN
C11592,1.1.1.2,IN
C12538,1.1.1.2,IN
C12600,1.1.1.2,IN
C13563,1.1.1.2,IN
C14916,1.1.1.2,IN
C16245,1.1.1.2,IN
C00038,1.1.1.20,IN
C00703,1.1.1.20,IN
C07434,1.1.1.20,IN
C08142,1.1.1.20,IN
C00002,1.1.1.205,AC
C00008,1.1.1.205,AC
C00020,1.1.1.205,AC
C07908,1.1.1.205,AC
C00003,1.1.1.205,IN
C00004,1.1.1.205,IN
C00005,1.1.1.205,IN
C00014,1.1.1.205,IN
C00035,1.1.1.205,IN
C00044,1.1.1.205,IN
C00076,1.1.1.205,IN
C00144,1.1.1.205,IN
C00296,1.1.1.205,IN
C00305,1.1.1.205,IN
C00655,1.1.1.205,IN
C00849,1.1.1.205,IN
C00852,1.1.1.205,IN
C00928,1.1.1.205,IN
C01595,1.1.1.205,IN
C03444,1.1.1.205,IN
C04646,1.1.1.205,IN
C08493,1.1.1.205,IN
C09473,1.1.1.205,IN
C09731,1.1.1.205,IN
C10443,1.1.1.205,IN
C10788,1.1.1.205,IN
C16525,1.1.1.205,IN
C00389,1.1.1.209,IN
C00523,1.1.1.209,IN
C00535,1.1.1.209,IN
C00951,1.1.1.209,IN
C01621,1.1.1.209,IN
C01750,1.1.1.209,IN
C01865,1.1.1.209,IN
C08090,1.1.1.209,IN
C10028,1.1.1.209,IN
C10107,1.1.1.209,IN
C11825,1.1.1.209,IN
C13101,1.1.1.209,IN
C00005,1.1.1.21,AC
C00018,1.1.1.21,AC
C00059,1.1.1.21,AC
C00546,1.1.1.21,AC
C05151,1.1.1.21,AC
C13199,1.1.1.21,AC
C13563,1.1.1.21,AC
C16845,1.1.1.21,AC
C00006,1.1.1.21,IN
C00020,1.1.1.21,IN
C00026,1.1.1.21,IN
C00036,1.1.1.21,IN
C00038,1.1.1.21,IN
C00076,1.1.1.21,IN
C00082,1.1.1.21,IN
C00141,1.1.1.21,IN
C00156,1.1.1.21,IN
C00158,1.1.1.21,IN
C00164,1.1.1.21,IN
C00230,1.1.1.21,IN
C00233,1.1.1.21,IN
C00248,1.1.1.21,IN
C00280,1.1.1.21,IN
C00305,1.1.1.21,IN
C00389,1.1.1.21,IN
C00392,1.1.1.21,IN
C00423,1.1.1.21,IN
C00468,1.1.1.21,IN
C00504,1.1.1.21,IN
C00509,1.1.1.21,IN
C00523,1.1.1.21,IN
C00535,1.1.1.21,IN
C00575,1.1.1.21,IN
C00579,1.1.1.21,IN
C00674,1.1.1.21,IN
C00695,1.1.1.21,IN
C00698,1.1.1.21,IN
C00725,1.1.1.21,IN
C00735,1.1.1.21,IN
C00762,1.1.1.21,IN
C00811,1.1.1.21,IN
C00852,1.1.1.21,IN
C00858,1.1.1.21,IN
C00902,1.1.1.21,IN
C00928,1.1.1.21,IN
C00946,1.1.1.21,IN
C00951,1.1.1.21,IN
C01158,1.1.1.21,IN
C01161,1.1.1.21,IN
C01227,1.1.1.21,IN
C01367,1.1.1.21,IN
C01378,1.1.1.21,IN
C01424,1.1.1.21,IN
C01494,1.1.1.21,IN
C01531,1.1.1.21,IN
C01585,1.1.1.21,IN
C01621,1.1.1.21,IN
C01750,1.1.1.21,IN
C01752,1.1.1.21,IN
C01780,1.1.1.21,IN
C01850,1.1.1.21,IN
C01865,1.1.1.21,IN
C01926,1.1.1.21,IN
C02140,1.1.1.21,IN
C02154,1.1.1.21,IN
C02441,1.1.1.21,IN
C02537,1.1.1.21,IN
C03070,1.1.1.21,IN
C03081,1.1.1.21,IN
C03205,1.1.1.21,IN
C03444,1.1.1.21,IN
C03681,1.1.1.21,IN
C03772,1.1.1.21,IN
C03917,1.1.1.21,IN
C03990,1.1.1.21,IN
C04483,1.1.1.21,IN
C04576,1.1.1.21,IN
C05141,1.1.1.21,IN
C05293,1.1.1.21,IN
C05466,1.1.1.21,IN
C05479,1.1.1.21,IN
C05480,1.1.1.21,IN
C05582,1.1.1.21,IN
C05584,1.1.1.21,IN
C05851,1.1.1.21,IN
C05852,1.1.1.21,IN
C05903,1.1.1.21,IN
C06317,1.1.1.21,IN
C06423,1.1.1.21,IN
C06562,1.1.1.21,IN
C06672,1.1.1.21,IN
C06866,1.1.1.21,IN
C07020,1.1.1.21,IN
C07086,1.1.1.21,IN
C07149,1.1.1.21,IN
C07185,1.1.1.21,IN
C07434,1.1.1.21,IN
C07443,1.1.1.21,IN
C07505,1.1.1.21,IN
C07586,1.1.1.21,IN
C07675,1.1.1.21,IN
C07880,1.1.1.21,IN
C08650,1.1.1.21,IN
C09263,1.1.1.21,IN
C09315,1.1.1.21,IN
C09553,1.1.1.21,IN
C09728,1.1.1.21,IN
C09762,1.1.1.21,IN
C09959,1.1.1.21,IN
C09981,1.1.1.21,IN
C10041,1.1.1.21,IN
C10107,1.1.1.21,IN
C10166,1.1.1.21,IN
C10208,1.1.1.21,IN
C10216,1.1.1.21,IN
C10343,1.1.1.21,IN
C10443,1.1.1.21,IN
C10448,1.1.1.21,IN
C10712,1.1.1.21,IN
C10715,1.1.1.21,IN
C10788,1.1.1.21,IN
C10833,1.1.1.21,IN
C11825,1.1.1.21,IN
C12525,1.1.1.21,IN
C12679,1.1.1.21,IN
C13101,1.1.1.21,IN
C13377,1.1.1.21,IN
C13700,1.1.1.21,IN
C15195,1.1.1.21,IN
C15484,1.1.1.21,IN
C15557,1.1.1.21,IN
C16666,1.1.1.21,IN
C17140,1.1.1.21,IN
C17446,1.1.1.21,IN
C17497,1.1.1.21,IN
C17658,1.1.1.21,IN
C17670,1.1.1.21,IN
C17742,1.1.1.21,IN
C17743,1.1.1.21,IN
C18040,1.1.1.21,IN
C18079,1.1.1.21,IN
C19440,1.1.1.21,IN
C00410,1.1.1.210,IN
C03917,1.1.1.210,IN
C00004,1.1.1.213,IN
C00092,1.1.1.213,IN
C00158,1.1.1.213,IN
C00219,1.1.1.213,IN
C00280,1.1.1.213,IN
C00389,1.1.1.213,IN
C00410,1.1.1.213,IN
C00481,1.1.1.213,IN
C00509,1.1.1.213,IN
C00535,1.1.1.213,IN
C00604,1.1.1.213,IN
C00735,1.1.1.213,IN
C00762,1.1.1.213,IN
C00805,1.1.1.213,IN
C00852,1.1.1.213,IN
C01405,1.1.1.213,IN
C01460,1.1.1.213,IN
C01477,1.1.1.213,IN
C01495,1.1.1.213,IN
C01514,1.1.1.213,IN
C01517,1.1.1.213,IN
C01531,1.1.1.213,IN
C01588,1.1.1.213,IN
C01714,1.1.1.213,IN
C01865,1.1.1.213,IN
C01926,1.1.1.213,IN
C02168,1.1.1.213,IN
C03205,1.1.1.213,IN
C03444,1.1.1.213,IN
C04685,1.1.1.213,IN
C04741,1.1.1.213,IN
C05953,1.1.1.213,IN
C06475,1.1.1.213,IN
C06804,1.1.1.213,IN
C07117,1.1.1.213,IN
C07149,1.1.1.213,IN
C07308,1.1.1.213,IN
C07369,1.1.1.213,IN
C07370,1.1.1.213,IN
C07525,1.1.1.213,IN
C07589,1.1.1.213,IN
C07620,1.1.1.213,IN
C07880,1.1.1.213,IN
C08090,1.1.1.213,IN
C09731,1.1.1.213,IN
C11143,1.1.1.213,IN
C11264,1.1.1.213,IN
C11825,1.1.1.213,IN
C13038,1.1.1.213,IN
C13101,1.1.1.213,IN
C14241,1.1.1.213,IN
C14286,1.1.1.213,IN
C14783,1.1.1.213,IN
C15643,1.1.1.213,IN
C19494,1.1.1.213,IN
C00928,1.1.1.218,AC
C00389,1.1.1.218,IN
C00481,1.1.1.218,IN
C00523,1.1.1.218,IN
C00535,1.1.1.218,IN
C00695,1.1.1.218,IN
C00951,1.1.1.218,IN
C01750,1.1.1.218,IN
C01926,1.1.1.218,IN
C02441,1.1.1.218,IN
C02528,1.1.1.218,IN
C03444,1.1.1.218,IN
C03917,1.1.1.218,IN
C03990,1.1.1.218,IN
C04741,1.1.1.218,IN
C05293,1.1.1.218,IN
C05903,1.1.1.218,IN
C07252,1.1.1.218,IN
C07525,1.1.1.218,IN
C07635,1.1.1.218,IN
C09904,1.1.1.218,IN
C09981,1.1.1.218,IN
C13101,1.1.1.218,IN
C14286,1.1.1.218,IN
C15233,1.1.1.218,IN
C18713,1.1.1.218,IN
C00951,1.1.1.22,AC
C04423,1.1.1.22,AC
C00004,1.1.1.22,IN
C00015,1.1.1.22,IN
C00052,1.1.1.22,IN
C00167,1.1.1.22,IN
C00190,1.1.1.22,IN
C00192,1.1.1.22,IN
C00389,1.1.1.22,IN
C01424,1.1.1.22,IN
C03882,1.1.1.22,IN
C00389,1.1.1.225,IN
C00703,1.1.1.225,IN
C01926,1.1.1.225,IN
C03444,1.1.1.225,IN
C00005,1.1.1.231,IN
C07017,1.1.1.231,IN
C00389,1.1.1.239,IN
C00509,1.1.1.239,IN
C00703,1.1.1.239,IN
C00811,1.1.1.239,IN
C00814,1.1.1.239,IN
C00951,1.1.1.239,IN
C01494,1.1.1.239,IN
C01750,1.1.1.239,IN
C01926,1.1.1.239,IN
C03141,1.1.1.239,IN
C03205,1.1.1.239,IN
C03444,1.1.1.239,IN
C03772,1.1.1.239,IN
C05293,1.1.1.239,IN
C05903,1.1.1.239,IN
C06087,1.1.1.239,IN
C07620,1.1.1.239,IN
C08090,1.1.1.239,IN
C09904,1.1.1.239,IN
C09981,1.1.1.239,IN
