ENSMUSG,mmu,Enzyme
ENSMUSG00000066512,16622,3.4.21.35
ENSMUSG00000075232,11702,4.1.1.50
ENSMUSG00000036985,208884,2.3.1.225
ENSMUSG00000063903,16612,3.4.21.35
ENSMUSG00000026142,76867,3.4.21.105
ENSMUSG00000034620,216395,2.4.2.61
ENSMUSG00000032281,94180,6.2.1.3
ENSMUSG00000038481,78334,2.7.11.22
ENSMUSG00000038481,78334,2.7.11.23
ENSMUSG00000027566,26444,3.4.25.1
ENSMUSG00000043998,217664,2.4.1.143
ENSMUSG00000024525,114663,3.1.3.25
ENSMUSG00000034613,319468,3.1.3.16
ENSMUSG00000038225,408022,2.7.7.102
ENSMUSG00000038225,408022,2.7.7.7
ENSMUSG00000030275,75320,2.7.1.82
ENSMUSG00000032263,12040,1.2.4.4
ENSMUSG00000063428,70503,1.4.3.1
ENSMUSG00000049553,20019,2.7.7.6
ENSMUSG00000038780,75788,2.3.2.26
ENSMUSG00000020974,18974,2.7.7.7
ENSMUSG00000074673,74711,6.3.2.61
ENSMUSG00000067369,215201,2.1.1.35
ENSMUSG00000028607,12896,2.3.1.21
ENSMUSG00000031628,12367,3.4.22.56
ENSMUSG00000015478,54197,2.3.2.27
ENSMUSG00000028960,63958,2.3.2.27
ENSMUSG00000024831,20589,3.6.4.13
ENSMUSG00000024831,20589,5.6.2.3
ENSMUSG00000015365,83456,3.6.4.13
ENSMUSG00000056643,71797,2.8.2.5
ENSMUSG00000056091,20454,2.4.3.9
ENSMUSG00000091415,633979,2.7.4.3
ENSMUSG00000091415,633979,2.7.4.6
ENSMUSG00000034456,243537,4.2.1.49
ENSMUSG00000057116,231201,3.4.22.68
ENSMUSG00000006191,68916,2.8.4.5
ENSMUSG00000024900,12894,2.3.1.21
ENSMUSG00000004266,15170,3.1.3.48
ENSMUSG00000034254,55979,2.3.1.51
ENSMUSG00000041180,226098,2.3.2.26
ENSMUSG00000030630,14085,3.7.1.2
ENSMUSG00000025283,20229,2.3.1.57
ENSMUSG00000090236,80733,4.2.1.1
ENSMUSG00000052917,66315,3.4.22.68
ENSMUSG00000028992,66454,2.7.7.1
ENSMUSG00000028992,66454,2.7.7.18
ENSMUSG00000038732,218121,2.3.1.51
ENSMUSG00000035757,223776,2.7.7.108
ENSMUSG00000037851,105148,6.1.1.5
ENSMUSG00000024454,15183,3.5.1.98
ENSMUSG00000038975,19352,2.5.1.60
ENSMUSG00000024539,19255,3.1.3.48
ENSMUSG00000043410,330149,5.6.2.4
ENSMUSG00000041168,74142,3.4.21.53
ENSMUSG00000038462,66694,7.1.1.8
ENSMUSG00000020674,69675,1.11.1.7
ENSMUSG00000030711,20887,2.8.2.1
ENSMUSG00000025289,53381,1.11.1.24
ENSMUSG00000022191,14000,3.1.26.3
ENSMUSG00000069255,105352,3.1.3.16
ENSMUSG00000069255,105352,3.1.3.48
ENSMUSG00000024948,26412,2.7.11.1
ENSMUSG00000030515,272396,6.1.1.3
ENSMUSG00000041566,22114,2.7.11.1
ENSMUSG00000045521,22115,2.7.11.1
ENSMUSG00000021396,75124,1.8.1.8
ENSMUSG00000007603,224907,1.3.1.89
ENSMUSG00000021957,21881,2.2.1.1
ENSMUSG00000062906,170787,3.5.1.98
ENSMUSG00000003526,19125,1.5.5.2
ENSMUSG00000024207,328845,6.2.1.3
ENSMUSG00000024209,78625,6.2.1.3
ENSMUSG00000071708,20603,2.5.1.22
ENSMUSG00000015474,54397,3.1.2.22
ENSMUSG00000020673,22018,1.11.1.8
ENSMUSG00000073295,58242,3.6.1.52
ENSMUSG00000060166,27801,2.3.1.225
ENSMUSG00000073293,102954,3.6.1.52
ENSMUSG00000015711,229589,3.6.1.11
ENSMUSG00000041650,110821,6.4.1.3
ENSMUSG00000022610,29857,2.7.11.24
ENSMUSG00000062908,11364,1.3.8.7
ENSMUSG00000012777,100503991,3.1.3.2
ENSMUSG00000053137,19094,2.7.11.24
ENSMUSG00000004267,13807,4.2.1.11
ENSMUSG00000013846,20442,2.4.3.2
ENSMUSG00000013846,20442,2.4.3.4
ENSMUSG00000028603,20280,2.3.1.176
ENSMUSG00000038712,75007,3.4.19.12
ENSMUSG00000004996,67873,5.3.1.23
ENSMUSG00000060450,56736,2.3.2.31
ENSMUSG00000045019,171168,3.5.1.23
ENSMUSG00000026490,226751,2.7.11.1
ENSMUSG00000020766,14635,2.7.1.6
ENSMUSG00000002660,53895,3.4.21.92
ENSMUSG00000023456,21991,5.3.1.1
ENSMUSG00000046873,270669,3.4.24.85
ENSMUSG00000019823,171580,1.14.13.225
ENSMUSG00000030088,107747,1.5.1.6
ENSMUSG00000021003,14420,3.2.1.46
ENSMUSG00000047583,209584,2.1.1.282
ENSMUSG00000037190,56368,7.2.1.3
ENSMUSG00000044573,11431,3.1.3.2
ENSMUSG00000044573,11431,3.1.3.48
ENSMUSG00000027977,83398,2.8.2.8
ENSMUSG00000031264,12229,2.7.10.2
ENSMUSG00000052102,26384,3.5.99.6
ENSMUSG00000021710,75805,3.4.24.16
ENSMUSG00000035878,235386,2.7.1.81
ENSMUSG00000030268,12035,2.6.1.42
ENSMUSG00000063065,26417,2.7.11.24
ENSMUSG00000029474,80751,2.3.2.31
ENSMUSG00000032648,19309,2.4.1.1
ENSMUSG00000038372,218138,4.2.1.47
ENSMUSG00000030703,68616,3.1.4.39
ENSMUSG00000020988,217666,1.1.99.2
ENSMUSG00000015714,76893,2.3.1.297
ENSMUSG00000026994,14425,2.4.1.41
ENSMUSG00000038429,22225,3.4.19.12
ENSMUSG00000044951,238564,2.7.11.18
ENSMUSG00000057719,269016,2.3.2.27
ENSMUSG00000031266,11605,3.2.1.22
ENSMUSG00000021948,18753,2.7.11.13
ENSMUSG00000032415,70348,2.3.2.26
ENSMUSG00000024493,107045,6.1.1.4
ENSMUSG00000032301,26441,3.4.25.1
ENSMUSG00000020990,71091,2.7.11.22
ENSMUSG00000020124,14479,3.4.19.12
ENSMUSG00000098789,433466,1.14.11.63
ENSMUSG00000026662,109079,2.7.9.3
ENSMUSG00000022751,52633,3.5.1.3
ENSMUSG00000003283,15162,2.7.10.2
ENSMUSG00000029283,12545,2.7.11.1
ENSMUSG00000010047,15587,3.2.1.35
ENSMUSG00000045098,225888,2.1.1.362
ENSMUSG00000024365,13079,1.14.14.16
ENSMUSG00000023191,14789,1.14.11.7
ENSMUSG00000019822,20598,3.1.4.12
ENSMUSG00000026664,16922,1.14.11.18
ENSMUSG00000078451,73075,5.2.1.8
ENSMUSG00000031521,11593,3.5.1.26
ENSMUSG00000027971,64580,2.8.2.8
ENSMUSG00000021009,24000,3.1.3.48
ENSMUSG00000010051,15586,3.2.1.35
ENSMUSG00000046269,54651,3.4.19.12
ENSMUSG00000032854,22239,2.4.1.47
ENSMUSG00000040785,22129,2.3.2.27
ENSMUSG00000036091,109685,3.2.1.35
ENSMUSG00000032307,109161,2.3.2.23
ENSMUSG00000021457,20963,2.7.10.2
ENSMUSG00000028597,67305,1.11.1.9
ENSMUSG00000028909,19273,3.1.3.48
ENSMUSG00000028199,12972,1.6.5.5
ENSMUSG00000031392,16179,2.7.11.1
ENSMUSG00000034761,399510,2.7.11.1
ENSMUSG00000032640,269941,2.4.1.175
ENSMUSG00000032640,269941,2.4.1.226
ENSMUSG00000021712,81003,2.3.2.27
ENSMUSG00000098488,211429,3.1.1.4
ENSMUSG00000022269,211147,2.3.2.27
ENSMUSG00000033684,104009,1.8.3.2
ENSMUSG00000021713,238831,5.2.1.8
ENSMUSG00000039954,269019,2.7.11.1
ENSMUSG00000026829,227671,2.4.1.88
ENSMUSG00000061207,54402,2.7.11.1
ENSMUSG00000039936,18707,2.7.1.153
ENSMUSG00000046034,432940,3.4.19.12
ENSMUSG00000033703,234730,2.7.1.52
ENSMUSG00000078429,52468,3.1.3.16
ENSMUSG00000031749,20444,2.4.3.2
ENSMUSG00000031749,20444,2.4.3.4
ENSMUSG00000015133,233328,2.7.11.1
ENSMUSG00000015023,13680,3.6.4.13
ENSMUSG00000040356,108077,3.6.4.13
ENSMUSG00000050211,329502,3.1.1.4
ENSMUSG00000030697,56420,3.1.3.16
ENSMUSG00000024472,70640,3.6.1.62
ENSMUSG00000038656,13114,1.14.14.1
ENSMUSG00000095463,67464,3.6.1.6
ENSMUSG00000075552,100041375,1.14.14.1
ENSMUSG00000070719,78390,3.1.1.4
ENSMUSG00000022066,100862375,3.6.1.6
ENSMUSG00000034653,240255,3.6.4.13
ENSMUSG00000029475,30841,1.14.11.27
ENSMUSG00000028910,26922,1.3.1.38
ENSMUSG00000046971,271844,3.1.1.4
ENSMUSG00000034610,230594,2.7.7.52
ENSMUSG00000038704,68352,1.4.1.21
ENSMUSG00000031309,110651,2.7.11.1
ENSMUSG00000022613,56727,1.13.99.1
ENSMUSG00000056131,109785,5.4.2.3
ENSMUSG00000033949,28105,2.3.2.27
ENSMUSG00000015134,56847,1.2.1.36
ENSMUSG00000006732,17299,2.1.1.33
ENSMUSG00000024477,225467,2.5.1.59
ENSMUSG00000006724,13115,1.14.15.18
ENSMUSG00000040502,216438,2.3.2.27
ENSMUSG00000033022,12583,1.13.11.20
ENSMUSG00000001773,53320,3.4.17.21
ENSMUSG00000033658,234733,3.6.4.13
ENSMUSG00000022263,223435,2.7.11.1
ENSMUSG00000021460,11992,4.2.1.18
ENSMUSG00000020648,71916,1.3.1.90
ENSMUSG00000030695,11674,4.1.2.13
ENSMUSG00000032418,17436,1.1.1.40
ENSMUSG00000031467,52123,2.3.1.51
ENSMUSG00000031960,234734,6.1.1.7
ENSMUSG00000031397,83553,2.2.1.1
ENSMUSG00000028980,100198,1.1.1.47
ENSMUSG00000028980,100198,3.1.1.31
ENSMUSG00000006728,12567,2.7.11.22
ENSMUSG00000075551,53973,1.14.14.1
ENSMUSG00000024992,110855,3.1.4.35
ENSMUSG00000040086,435766,2.7.11.1
ENSMUSG00000054417,337924,1.14.14.1
ENSMUSG00000038302,215951,3.6.4.7
ENSMUSG00000021464,26564,2.7.10.1
ENSMUSG00000054814,69727,3.4.19.12
ENSMUSG00000021587,18548,3.4.21.93
ENSMUSG00000020015,237459,2.7.11.22
ENSMUSG00000056035,13112,1.14.14.1
ENSMUSG00000038695,66124,3.4.19.12
ENSMUSG00000053870,75540,2.7.7.30
ENSMUSG00000021468,268656,2.3.1.50
ENSMUSG00000025817,53893,3.6.1.13
ENSMUSG00000025817,53893,3.6.1.58
ENSMUSG00000025817,53893,2.7.7.96
ENSMUSG00000001942,22619,3.1.1.53
ENSMUSG00000024998,74055,3.1.4.11
ENSMUSG00000028085,229487,6.3.5.6
ENSMUSG00000028085,229487,6.3.5.7
ENSMUSG00000059040,433182,4.2.1.11
ENSMUSG00000020844,18230,1.8.1.8
ENSMUSG00000024505,68857,2.5.1.25
ENSMUSG00000034245,232232,3.5.1.98
ENSMUSG00000015889,16993,3.3.2.6
ENSMUSG00000029630,56388,1.14.14.1
ENSMUSG00000022092,19057,3.1.3.16
ENSMUSG00000022615,72962,2.4.2.4
ENSMUSG00000078937,12895,2.3.1.21
ENSMUSG00000020017,15109,4.3.1.3
ENSMUSG00000024507,15488,4.2.1.107
ENSMUSG00000024507,15488,4.2.1.119
ENSMUSG00000021715,67285,5.2.1.8
ENSMUSG00000031286,320302,2.4.1.141
ENSMUSG00000056666,67442,1.3.99.23
ENSMUSG00000015890,71761,3.5.2.7
ENSMUSG00000031613,15446,1.1.1.141
ENSMUSG00000022897,13548,2.7.12.1
ENSMUSG00000006731,14421,2.4.1.92
ENSMUSG00000020914,21973,5.6.2.2
ENSMUSG00000028972,12353,4.2.1.1
ENSMUSG00000048875,67365,3.1.3.96
ENSMUSG00000025002,72082,1.14.14.1
ENSMUSG00000024529,16948,1.4.3.13
ENSMUSG00000067231,72303,1.14.14.1
ENSMUSG00000067229,69888,1.14.14.1
ENSMUSG00000041429,18207,4.2.99.18
ENSMUSG00000003053,13095,1.14.14.1
ENSMUSG00000022747,54613,2.4.3.6
ENSMUSG00000030510,545975,2.3.1.297
ENSMUSG00000030510,545975,2.3.1.298
ENSMUSG00000022617,12651,2.7.1.32
ENSMUSG00000022617,12651,2.7.1.82
ENSMUSG00000053624,14625,2.7.1.30
ENSMUSG00000032808,13097,1.14.14.1
ENSMUSG00000025003,13098,1.14.14.1
ENSMUSG00000029634,74132,2.3.2.27
ENSMUSG00000063524,13806,4.2.1.11
ENSMUSG00000032615,103850,3.1.3.5
ENSMUSG00000026818,12613,3.1.1.3
ENSMUSG00000026818,12613,3.1.1.13
ENSMUSG00000030888,101867,2.1.1.287
ENSMUSG00000074882,433247,1.14.14.1
ENSMUSG00000025004,13099,1.14.14.1
ENSMUSG00000025815,209692,1.2.4.2
ENSMUSG00000022607,14083,2.7.10.2
ENSMUSG00000020020,327799,3.4.19.12
ENSMUSG00000038240,71365,2.5.1.91
ENSMUSG00000045102,272158,2.7.7.7
ENSMUSG00000036278,107227,3.1.1.106
ENSMUSG00000022742,12892,1.3.3.3
ENSMUSG00000021718,66763,3.1.3.5
ENSMUSG00000028567,66073,1.8.4.2
ENSMUSG00000021720,71816,2.3.2.27
ENSMUSG00000042248,13096,1.14.14.1
ENSMUSG00000067225,404195,1.14.14.1
ENSMUSG00000024767,107260,3.4.19.12
ENSMUSG00000046949,18105,1.10.5.1
ENSMUSG00000019863,76563,6.3.5.6
ENSMUSG00000019863,76563,6.3.5.7
ENSMUSG00000054827,107141,1.14.14.1
ENSMUSG00000074305,244895,2.7.10.2
ENSMUSG00000056553,19276,3.1.3.48
ENSMUSG00000024538,19038,5.2.1.8
ENSMUSG00000069378,225518,2.1.1.361
ENSMUSG00000024764,70999,2.3.1.257
ENSMUSG00000053510,230598,3.4.24.61
ENSMUSG00000060613,226105,1.14.14.1
ENSMUSG00000033596,234736,2.3.2.27
ENSMUSG00000020573,30955,2.7.1.153
ENSMUSG00000038384,208043,2.1.1.354
ENSMUSG00000052833,56459,6.2.1.45
ENSMUSG00000012519,74568,2.7.11.1
ENSMUSG00000022724,67014,1.14.11.79
ENSMUSG00000022724,67014,1.14.11.66
ENSMUSG00000031112,70415,2.7.11.1
ENSMUSG00000040415,80904,2.3.2.27
ENSMUSG00000022098,12153,3.4.24.19
ENSMUSG00000033579,338521,1.14.18.6
ENSMUSG00000021408,19766,2.7.11.1
ENSMUSG00000029635,264064,2.7.11.22
ENSMUSG00000029635,264064,2.7.11.23
ENSMUSG00000025417,117150,2.7.1.149
ENSMUSG00000020572,59027,2.4.2.12
ENSMUSG00000060579,14198,3.6.1.29
ENSMUSG00000055239,74287,2.3.2.27
ENSMUSG00000006567,11979,7.2.2.8
ENSMUSG00000036112,56307,3.4.11.18
ENSMUSG00000033773,231571,3.1.3.16
ENSMUSG00000096914,270049,2.4.1.41
ENSMUSG00000028179,107869,4.4.1.1
ENSMUSG00000000301,18618,2.1.1.17
ENSMUSG00000000301,18618,2.1.1.71
ENSMUSG00000021918,23955,2.7.11.1
ENSMUSG00000063362,207958,2.4.1.131
ENSMUSG00000057228,23923,2.6.1.7
ENSMUSG00000057228,23923,2.6.1.39
ENSMUSG00000032872,266690,1.6.2.2
ENSMUSG00000022620,11883,3.1.6.8
ENSMUSG00000030890,16202,2.7.11.1
ENSMUSG00000037738,330721,2.7.11.1
ENSMUSG00000090231,14962,3.4.21.47
ENSMUSG00000022096,15460,1.14.11.65
ENSMUSG00000059981,381921,2.7.11.1
ENSMUSG00000028370,18491,3.4.24.79
ENSMUSG00000045211,213484,3.6.1.58
ENSMUSG00000029445,15445,1.13.11.27
ENSMUSG00000004651,22173,1.14.18.1
ENSMUSG00000055540,13840,2.7.10.1
ENSMUSG00000019849,19072,3.4.21.26
ENSMUSG00000029110,19822,2.3.2.27
ENSMUSG00000032420,23959,3.1.3.5
ENSMUSG00000038644,18971,2.7.7.7
ENSMUSG00000032290,56294,3.1.3.48
ENSMUSG00000051675,69807,2.3.2.27
ENSMUSG00000055780,83563,3.4.19.12
ENSMUSG00000021692,66254,2.1.1.183
ENSMUSG00000031478,23954,2.7.11.1
ENSMUSG00000024371,12263,3.4.21.43
ENSMUSG00000022622,11434,3.4.21.10
ENSMUSG00000024969,13728,2.7.11.1
ENSMUSG00000018623,17393,3.4.24.23
ENSMUSG00000033545,170737,2.3.2.27
ENSMUSG00000029811,76507,1.4.3.22
ENSMUSG00000039100,223455,2.3.2.27
ENSMUSG00000000127,14158,2.7.10.2
ENSMUSG00000021413,19134,2.7.11.1
ENSMUSG00000030560,13032,3.4.14.1
ENSMUSG00000029813,69761,1.4.3.22
ENSMUSG00000068536,243376,1.4.3.22
ENSMUSG00000039215,243377,1.4.3.22
ENSMUSG00000052738,56451,6.2.1.4
ENSMUSG00000052738,56451,6.2.1.5
ENSMUSG00000030894,12751,3.4.14.9
ENSMUSG00000025758,20873,2.7.11.21
ENSMUSG00000060923,75572,3.6.1.7
ENSMUSG00000031958,52815,1.1.2.4
ENSMUSG00000052504,13837,2.7.10.1
ENSMUSG00000024083,224938,2.3.2.27
ENSMUSG00000075470,380959,2.4.1.256
ENSMUSG00000022235,69574,3.1.1.45
ENSMUSG00000040354,216443,6.1.1.10
ENSMUSG00000031957,66473,3.4.21.1
ENSMUSG00000021416,69123,5.3.3.8
ENSMUSG00000059895,19245,3.1.3.48
ENSMUSG00000024085,17158,3.2.1.114
ENSMUSG00000034928,105239,2.3.2.27
ENSMUSG00000038822,209462,2.3.2.26
ENSMUSG00000022686,108105,2.4.1.206
ENSMUSG00000053819,108058,2.7.11.17
ENSMUSG00000031303,270672,2.7.11.25
ENSMUSG00000031949,30947,3.5.4.34
ENSMUSG00000031299,18597,1.2.4.1
ENSMUSG00000020841,12874,3.4.17.22
ENSMUSG00000025007,56454,2.7.2.11
ENSMUSG00000025007,56454,1.2.1.41
ENSMUSG00000021069,110095,2.4.1.1
ENSMUSG00000038774,77987,5.6.2.4
ENSMUSG00000024099,72900,7.1.1.2
ENSMUSG00000026807,68870,2.7.4.3
ENSMUSG00000035666,269252,2.3.1.48
ENSMUSG00000038855,320404,2.7.1.127
ENSMUSG00000052926,69724,3.1.26.4
ENSMUSG00000021180,73086,2.7.11.1
ENSMUSG00000035842,320209,3.6.4.13
ENSMUSG00000031948,85305,6.1.1.6
ENSMUSG00000022707,74185,2.4.1.18
ENSMUSG00000031536,18970,2.7.7.7
ENSMUSG00000026806,227674,3.6.4.13
ENSMUSG00000021185,217830,4.2.1.48
ENSMUSG00000034780,26877,2.4.1.86
ENSMUSG00000005161,21672,1.11.1.24
ENSMUSG00000062646,76051,3.2.1.20
ENSMUSG00000024892,18563,6.4.1.1
ENSMUSG00000033278,19274,3.1.3.48
ENSMUSG00000020840,104184,3.4.22.40
ENSMUSG00000027030,53416,2.7.11.1
ENSMUSG00000030621,109264,1.1.1.40
ENSMUSG00000075604,110115,1.14.15.4
ENSMUSG00000048120,12495,3.6.1.5
ENSMUSG00000022589,13072,1.14.15.4
ENSMUSG00000026496,11545,2.4.2.30
ENSMUSG00000019943,67972,7.2.2.10
ENSMUSG00000020777,11430,1.3.3.6
ENSMUSG00000032295,73744,3.2.1.24
ENSMUSG00000004698,79221,3.5.1.98
ENSMUSG00000090035,14426,2.4.1.41
ENSMUSG00000026596,11352,2.7.10.2
ENSMUSG00000023403,77485,2.7.11.1
ENSMUSG00000031537,16150,2.7.11.10
ENSMUSG00000026219,14897,2.3.2.26
ENSMUSG00000060675,225845,3.1.1.32
ENSMUSG00000060675,225845,3.1.1.4
ENSMUSG00000033918,381038,3.4.21.105
ENSMUSG00000028174,19892,3.1.1.64
ENSMUSG00000028174,19892,5.3.3.22
ENSMUSG00000020309,68044,4.3.2.7
ENSMUSG00000030682,52858,2.7.8.11
ENSMUSG00000021417,23986,5.3.3.8
ENSMUSG00000063447,73318,2.3.2.23
ENSMUSG00000028078,70762,2.7.11.1
ENSMUSG00000031538,18791,3.4.21.68
ENSMUSG00000025014,21673,2.7.7.31
ENSMUSG00000031644,18004,2.7.11.1
ENSMUSG00000092305,75456,2.7.6.1
ENSMUSG00000032298,72774,4.2.99.18
ENSMUSG00000101959,106557,1.1.1.27
ENSMUSG00000027035,241447,2.3.1.291
ENSMUSG00000034265,224454,2.3.1.225
ENSMUSG00000021214,105349,1.1.1.149
ENSMUSG00000001630,232533,2.7.11.1
ENSMUSG00000037926,237860,3.1.3.16
ENSMUSG00000037926,237860,3.1.3.48
ENSMUSG00000021696,74559,2.3.1.199
ENSMUSG00000060073,19167,3.4.25.1
ENSMUSG00000021213,27384,1.1.1.218
ENSMUSG00000031918,77116,3.1.3.64
ENSMUSG00000031918,77116,3.1.3.95
ENSMUSG00000041187,101540,2.7.11.13
ENSMUSG00000022323,15473,3.5.99.10
ENSMUSG00000055782,26874,7.6.2.4
ENSMUSG00000021211,622402,1.1.1.218
ENSMUSG00000038526,23831,4.2.1.1
ENSMUSG00000022325,67724,3.1.26.5
ENSMUSG00000052456,56495,7.3.2.7
ENSMUSG00000005533,16001,2.7.10.1
ENSMUSG00000031642,59009,2.3.2.27
ENSMUSG00000038425,26447,2.7.7.7
ENSMUSG00000059288,12593,2.3.1.48
ENSMUSG00000021418,208366,3.1.26.5
ENSMUSG00000040584,18671,7.6.2.2
ENSMUSG00000004056,11652,2.7.11.1
ENSMUSG00000028970,18669,7.6.2.2
ENSMUSG00000031758,75796,2.3.1.48
ENSMUSG00000042742,101148,2.1.1.286
ENSMUSG00000059343,353204,4.1.2.13
ENSMUSG00000031540,244349,2.3.1.48
ENSMUSG00000029228,16924,2.3.2.27
ENSMUSG00000037253,240396,2.3.2.27
ENSMUSG00000036941,114615,3.1.26.11
ENSMUSG00000024556,107029,1.1.1.38
ENSMUSG00000032584,19882,2.7.10.1
ENSMUSG00000022867,30940,3.4.19.12
ENSMUSG00000024558,225724,2.7.11.24
ENSMUSG00000000934,72960,5.6.2.1
ENSMUSG00000005232,14378,3.1.3.9
ENSMUSG00000005251,72388,2.7.11.1
ENSMUSG00000030042,66979,2.7.7.7
ENSMUSG00000032586,22036,2.3.2.27
ENSMUSG00000030674,67375,2.4.2.19
ENSMUSG00000000628,15277,2.7.1.1
ENSMUSG00000001555,14230,5.2.1.8
ENSMUSG00000063849,66812,4.1.1.36
ENSMUSG00000029431,231727,2.4.1.149
ENSMUSG00000011752,18648,5.4.2.11
ENSMUSG00000042476,18670,7.6.2.2
ENSMUSG00000025157,74168,2.3.1.225
ENSMUSG00000060038,330817,2.5.1.46
ENSMUSG00000040390,269881,2.7.11.25
ENSMUSG00000021420,69955,6.1.1.20
ENSMUSG00000003623,74114,2.3.1.137
ENSMUSG00000062309,102614,3.1.26.5
ENSMUSG00000079427,100039707,6.3.3.2
ENSMUSG00000022280,30945,2.3.2.31
ENSMUSG00000023805,20975,3.1.3.36
ENSMUSG00000045410,56043,1.1.1.263
ENSMUSG00000043153,75847,2.7.7.40
ENSMUSG00000036880,52538,2.3.1.16
ENSMUSG00000025932,14048,3.1.3.48
ENSMUSG00000053846,16891,3.1.1.3
ENSMUSG00000036218,239618,2.3.2.27
ENSMUSG00000025877,212032,2.7.1.1
ENSMUSG00000038495,229603,3.4.19.12
ENSMUSG00000005142,17159,3.2.1.24
ENSMUSG00000036197,223827,2.4.2.42
ENSMUSG00000017176,68106,3.1.3.91
ENSMUSG00000048065,320635,1.6.2.2
ENSMUSG00000050103,319660,1.14.16.5
ENSMUSG00000028397,76804,1.14.11.66
ENSMUSG00000028397,76804,1.14.11.69
ENSMUSG00000026520,69051,1.5.1.2
ENSMUSG00000033809,208624,2.4.1.258
ENSMUSG00000037921,234311,3.6.4.13
ENSMUSG00000020287,268395,3.2.2.21
ENSMUSG00000026384,19258,3.1.3.48
ENSMUSG00000032306,110119,5.3.1.8
ENSMUSG00000022857,19146,3.4.21.9
ENSMUSG00000025427,225743,2.3.2.27
ENSMUSG00000019718,67217,4.2.1.77
ENSMUSG00000042462,66422,3.6.1.12
ENSMUSG00000049091,20768,2.7.9.3
ENSMUSG00000020272,20868,2.7.11.1
ENSMUSG00000052949,217340,2.3.2.27
ENSMUSG00000032308,71742,2.7.11.1
ENSMUSG00000022292,382985,1.17.4.1
ENSMUSG00000115293,110599584,3.4.24.71
ENSMUSG00000034330,234779,3.1.4.11
ENSMUSG00000032596,74153,6.2.1.45
ENSMUSG00000021699,238871,3.1.4.53
ENSMUSG00000028886,14050,3.1.3.48
ENSMUSG00000036095,217480,2.7.1.107
ENSMUSG00000017291,216965,2.7.11.1
ENSMUSG00000029640,22217,3.4.19.12
ENSMUSG00000031844,15486,1.1.1.62
ENSMUSG00000031844,15486,1.1.1.239
ENSMUSG00000038776,13849,3.3.2.9
ENSMUSG00000022842,107522,3.4.24.71
ENSMUSG00000029491,18587,3.1.4.35
ENSMUSG00000024571,117903916,2.3.1.255
ENSMUSG00000025176,67432,4.1.3.16
ENSMUSG00000038768,619326,1.14.19.17
ENSMUSG00000038768,619326,1.14.18.5
ENSMUSG00000020917,104112,2.3.3.8
ENSMUSG00000033356,78895,5.4.99.27
ENSMUSG00000025178,84095,2.7.1.67
ENSMUSG00000066442,107885,6.3.3.2
ENSMUSG00000059883,266632,2.7.11.1
ENSMUSG00000029231,18595,2.7.10.1
ENSMUSG00000026103,14660,3.5.1.2
ENSMUSG00000031698,213435,2.7.11.18
ENSMUSG00000033323,67655,3.1.3.16
ENSMUSG00000071645,70044,2.7.7.19
ENSMUSG00000071645,70044,2.7.7.52
ENSMUSG00000074064,56690,4.1.1.9
ENSMUSG00000053914,244694,1.14.11.66
ENSMUSG00000053914,244694,1.14.11.69
ENSMUSG00000037487,70790,2.3.2.26
ENSMUSG00000037852,12876,3.4.17.10
ENSMUSG00000021096,19042,3.1.3.16
ENSMUSG00000006782,12799,3.1.4.37
ENSMUSG00000024654,66514,3.5.1.1
ENSMUSG00000024654,66514,3.4.19.5
ENSMUSG00000031700,108682,2.6.1.2
ENSMUSG00000032020,72828,3.1.3.48
ENSMUSG00000044442,67768,2.1.1.297
ENSMUSG00000031604,66234,1.14.18.9
ENSMUSG00000052299,78913,2.3.2.27
ENSMUSG00000019960,67603,3.1.3.16
ENSMUSG00000019960,67603,3.1.3.48
ENSMUSG00000028024,13809,3.4.11.7
ENSMUSG00000046934,71832,2.3.3.1
ENSMUSG00000025616,74112,3.4.19.12
ENSMUSG00000020802,217342,2.3.2.24
ENSMUSG00000002205,101568,2.7.11.1
ENSMUSG00000023087,12457,3.1.3.108
ENSMUSG00000041220,170439,2.3.1.199
ENSMUSG00000024661,14319,1.16.3.2
ENSMUSG00000031835,56453,3.4.21.112
ENSMUSG00000021701,20620,2.7.11.21
ENSMUSG00000032312,12988,2.7.10.2
ENSMUSG00000016520,140887,2.3.2.27
ENSMUSG00000030303,330450,1.2.1.84
ENSMUSG00000005320,14186,2.7.10.1
ENSMUSG00000032594,27399,2.7.4.21
ENSMUSG00000021488,18193,2.1.1.357
ENSMUSG00000020804,11298,2.3.1.87
ENSMUSG00000026102,16329,3.1.3.57
ENSMUSG00000075543,231903,4.1.1.97
ENSMUSG00000052783,14772,2.7.11.16
ENSMUSG00000041426,227095,3.1.2.4
ENSMUSG00000034442,76357,2.1.1.228
ENSMUSG00000024566,50771,7.6.2.1
ENSMUSG00000036469,72925,2.3.2.27
ENSMUSG00000070284,331026,2.7.7.13
ENSMUSG00000042817,14255,2.7.10.1
ENSMUSG00000021428,71340,2.7.11.1
ENSMUSG00000032359,13036,3.4.22.16
ENSMUSG00000025519,74419,2.2.1.1
ENSMUSG00000074141,14204,1.4.3.2
ENSMUSG00000025190,14718,2.6.1.1
ENSMUSG00000025588,17960,2.3.1.5
ENSMUSG00000051147,17961,2.3.1.5
ENSMUSG00000015127,74154,2.3.2.27
ENSMUSG00000056426,17962,2.3.1.5
ENSMUSG00000032018,235293,1.14.19.20
