ENSMUSG,mmu,Enzyme
ENSMUSG00000063129,79459,4.1.2.13
ENSMUSG00000008822,66204,3.6.1.7
ENSMUSG00000020580,19878,2.7.11.1
ENSMUSG00000019889,19272,3.1.3.48
ENSMUSG00000032786,11655,2.3.1.37
ENSMUSG00000048310,244631,2.7.11.1
ENSMUSG00000027790,69983,3.2.1.48
ENSMUSG00000027790,69983,3.2.1.10
ENSMUSG00000029864,76263,2.5.1.18
ENSMUSG00000043572,230577,6.1.1.15
ENSMUSG00000021983,50769,7.6.2.1
ENSMUSG00000038128,12326,2.7.11.17
ENSMUSG00000057363,67883,4.1.1.35
ENSMUSG00000027792,12038,3.1.1.8
ENSMUSG00000034290,217718,2.7.11.1
ENSMUSG00000033004,105689,2.3.2.33
ENSMUSG00000020080,216019,2.7.1.1
ENSMUSG00000068877,20342,1.8.3.4
ENSMUSG00000020079,338359,3.6.4.13
ENSMUSG00000032350,14629,6.3.2.2
ENSMUSG00000068086,13105,1.14.14.1
ENSMUSG00000038702,319901,5.1.3.19
ENSMUSG00000044164,328234,2.3.2.27
ENSMUSG00000033021,69080,2.7.7.13
ENSMUSG00000031897,19171,3.4.25.1
ENSMUSG00000035237,16816,2.3.1.43
ENSMUSG00000031376,320707,7.2.2.10
ENSMUSG00000019055,18822,1.14.11.4
ENSMUSG00000032349,68801,2.3.1.199
ENSMUSG00000020571,71853,5.3.4.1
ENSMUSG00000033400,77559,2.4.1.25
ENSMUSG00000033400,77559,3.2.1.33
ENSMUSG00000000411,58864,2.7.11.1
ENSMUSG00000029863,12366,3.4.22.55
ENSMUSG00000022489,18574,3.1.4.17
ENSMUSG00000031383,75590,3.1.3.16
ENSMUSG00000031383,75590,3.1.3.48
ENSMUSG00000040649,108653,6.3.1.17
ENSMUSG00000040649,108653,6.3.2.41
ENSMUSG00000031441,50770,7.6.2.1
ENSMUSG00000028800,433759,3.5.1.98
ENSMUSG00000024926,81601,2.3.1.48
ENSMUSG00000064140,214158,2.3.2.27
ENSMUSG00000029330,74596,2.7.7.41
ENSMUSG00000038582,320717,3.1.3.16
ENSMUSG00000000409,16818,2.7.10.2
ENSMUSG00000030243,19691,5.6.2.4
ENSMUSG00000040274,12571,2.7.11.22
ENSMUSG00000011179,18263,4.1.1.17
ENSMUSG00000025911,76187,1.1.99.24
ENSMUSG00000073007,213449,2.7.7.19
ENSMUSG00000022779,21976,5.6.2.1
ENSMUSG00000036990,73945,3.4.19.12
ENSMUSG00000022351,20775,1.14.14.17
ENSMUSG00000040627,11628,3.5.4.38
ENSMUSG00000031898,71854,3.4.13.19
ENSMUSG00000023908,268930,2.7.11.1
ENSMUSG00000053687,319446,3.4.13.19
ENSMUSG00000115067,319446,3.4.13.19
ENSMUSG00000032067,19286,4.2.3.12
ENSMUSG00000032067,19286,4.1.2.50
ENSMUSG00000002012,93843,2.7.11.17
ENSMUSG00000040455,77593,3.4.19.12
ENSMUSG00000030244,232493,2.4.1.11
ENSMUSG00000021987,219135,3.1.3.64
ENSMUSG00000021987,219135,3.1.3.95
ENSMUSG00000032066,170752,1.13.11.71
ENSMUSG00000020075,56200,3.6.4.13
ENSMUSG00000037124,216781,2.3.2.27
ENSMUSG00000021646,78038,6.4.1.4
ENSMUSG00000040613,11810,3.5.4.36
ENSMUSG00000009828,56542,2.7.11.22
ENSMUSG00000020076,94213,3.6.4.13
ENSMUSG00000037685,11980,7.6.2.1
ENSMUSG00000001783,28088,6.5.1.8
ENSMUSG00000030246,16832,1.1.1.27
ENSMUSG00000031901,66369,1.3.1.91
ENSMUSG00000019883,52665,4.1.1.94
ENSMUSG00000043702,211948,3.1.13.4
ENSMUSG00000045538,71986,3.6.4.13
ENSMUSG00000045210,70675,3.4.19.12
ENSMUSG00000029009,17769,1.5.1.53
ENSMUSG00000041763,22019,3.4.14.10
ENSMUSG00000032348,14860,2.5.1.18
ENSMUSG00000074183,14857,2.5.1.18
ENSMUSG00000038876,68031,2.3.2.27
ENSMUSG00000064120,56738,4.1.99.22
ENSMUSG00000064120,56738,4.6.1.17
ENSMUSG00000026181,68606,3.1.3.16
ENSMUSG00000111709,100042295,2.5.1.18
ENSMUSG00000074179,100042314,2.5.1.18
ENSMUSG00000038250,74841,3.4.19.12
ENSMUSG00000000168,235339,2.3.1.12
ENSMUSG00000022120,72486,2.3.2.27
ENSMUSG00000057933,14858,2.5.1.18
ENSMUSG00000021993,70478,3.4.24.59
ENSMUSG00000031903,192654,3.1.1.5
ENSMUSG00000070291,100048658,3.6.4.13
ENSMUSG00000041245,279561,2.7.11.1
ENSMUSG00000032344,214763,2.7.7.86
ENSMUSG00000063358,26413,2.7.11.24
ENSMUSG00000018547,108083,2.7.1.149
ENSMUSG00000060098,214572,2.1.1.321
ENSMUSG00000038175,218203,2.3.2.27
ENSMUSG00000031906,58994,3.1.4.12
ENSMUSG00000037940,234515,3.1.3.66
ENSMUSG00000000253,66355,1.7.1.7
ENSMUSG00000019699,23797,2.7.11.1
ENSMUSG00000012609,320244,6.3.2.61
ENSMUSG00000019792,73681,2.1.1.214
ENSMUSG00000018042,109754,1.6.2.2
ENSMUSG00000028788,19244,3.1.3.48
ENSMUSG00000024588,14151,4.98.1.1
ENSMUSG00000024588,14151,4.99.1.9
ENSMUSG00000028630,69181,2.7.12.1
ENSMUSG00000033157,213012,3.1.1.93
ENSMUSG00000022771,66053,5.2.1.8
ENSMUSG00000031378,11666,7.6.2.4
ENSMUSG00000053604,19895,5.3.1.6
ENSMUSG00000030079,56505,5.6.2.4
ENSMUSG00000031910,15118,2.4.1.212
ENSMUSG00000024587,70223,6.1.1.22
ENSMUSG00000029467,11938,7.2.2.10
ENSMUSG00000047878,239559,2.4.1.228
ENSMUSG00000002007,56504,2.7.11.1
ENSMUSG00000029859,13835,2.7.10.1
ENSMUSG00000042978,104175,2.7.11.1
ENSMUSG00000002010,15929,1.1.1.41
ENSMUSG00000015961,11566,6.3.4.4
ENSMUSG00000031668,13666,2.7.11.1
ENSMUSG00000056342,17847,3.4.19.12
ENSMUSG00000036875,327762,5.6.2.3
ENSMUSG00000026235,13838,2.7.10.1
ENSMUSG00000035235,66597,2.3.2.27
ENSMUSG00000035057,67555,2.4.1.145
ENSMUSG00000005779,19172,3.4.25.1
ENSMUSG00000051306,76800,3.4.19.12
ENSMUSG00000039529,54670,7.6.2.1
ENSMUSG00000032649,269132,2.4.1.50
ENSMUSG00000068874,20341,1.8.3.4
ENSMUSG00000078931,68023,3.5.1.88
ENSMUSG00000055660,76781,2.1.1.72
ENSMUSG00000033308,99586,1.3.1.2
ENSMUSG00000038773,277250,1.14.11.65
ENSMUSG00000021608,210992,2.3.1.23
ENSMUSG00000021608,210992,2.3.1.67
ENSMUSG00000032059,102580,2.4.1.259
ENSMUSG00000032059,102580,2.4.1.261
ENSMUSG00000038965,22195,2.3.2.23
ENSMUSG00000079104,328099,2.7.6.1
ENSMUSG00000028621,230582,1.6.2.2
ENSMUSG00000021933,239134,4.6.1.2
ENSMUSG00000048087,11615,3.13.2.1
ENSMUSG00000028991,56717,2.7.11.1
ENSMUSG00000022442,319953,6.3.2.61
ENSMUSG00000024122,18607,2.7.11.1
ENSMUSG00000027296,228550,2.7.1.127
ENSMUSG00000029613,15467,2.7.11.1
ENSMUSG00000031708,106529,1.3.1.93
ENSMUSG00000026502,78825,3.4.19.12
ENSMUSG00000025086,72133,5.4.99.25
ENSMUSG00000048755,223722,2.3.1.39
ENSMUSG00000055027,12180,2.1.1.354
ENSMUSG00000055027,12180,2.1.1.357
ENSMUSG00000026245,23874,6.1.1.20
ENSMUSG00000029209,67980,3.5.99.6
ENSMUSG00000044231,105193,2.3.2.27
ENSMUSG00000041229,320595,1.14.11.65
ENSMUSG00000021611,21752,2.7.7.49
ENSMUSG00000021376,22017,2.1.1.67
ENSMUSG00000041720,224020,2.7.1.67
ENSMUSG00000060376,12039,1.2.4.4
ENSMUSG00000036820,245847,3.5.1.25
ENSMUSG00000032802,76650,1.8.98.2
ENSMUSG00000000708,18519,2.3.1.48
ENSMUSG00000033174,23945,3.1.1.23
ENSMUSG00000027804,67738,5.2.1.8
ENSMUSG00000012187,68393,2.3.1.22
ENSMUSG00000022129,13190,5.3.3.12
ENSMUSG00000026643,18108,2.3.1.97
ENSMUSG00000001467,13121,1.14.14.154
ENSMUSG00000001467,13121,1.14.15.36
ENSMUSG00000016756,12763,1.14.18.2
ENSMUSG00000049950,227522,3.1.26.5
ENSMUSG00000021939,13030,3.4.22.1
ENSMUSG00000006442,20810,2.5.1.16
ENSMUSG00000026645,99035,3.1.2.21
ENSMUSG00000022130,76355,4.2.1.46
ENSMUSG00000000295,69692,3.1.3.89
ENSMUSG00000014852,279028,3.4.24.87
ENSMUSG00000024172,240119,2.4.3.1
ENSMUSG00000028979,17175,3.4.21.104
ENSMUSG00000070527,22652,2.3.2.27
ENSMUSG00000032038,20443,2.4.3.2
ENSMUSG00000032038,20443,2.4.3.4
ENSMUSG00000032038,20443,2.4.3.6
ENSMUSG00000074698,12995,2.7.11.1
ENSMUSG00000020051,18478,1.14.16.1
ENSMUSG00000002222,68477,2.3.2.27
ENSMUSG00000034785,13370,1.21.99.4
ENSMUSG00000021273,14137,2.5.1.21
ENSMUSG00000032040,69305,3.6.1.59
ENSMUSG00000032883,74205,6.2.1.3
ENSMUSG00000052656,22644,2.3.2.27
ENSMUSG00000035121,382913,4.2.99.18
ENSMUSG00000063760,268291,2.3.2.31
ENSMUSG00000040325,321006,2.7.11.1
ENSMUSG00000014453,12143,2.7.10.2
ENSMUSG00000038068,218215,2.3.2.31
ENSMUSG00000024589,83814,2.3.2.26
ENSMUSG00000028926,18647,2.7.11.22
ENSMUSG00000033510,170711,3.4.19.12
ENSMUSG00000027809,66841,1.5.5.1
ENSMUSG00000062054,67732,3.1.1.112
ENSMUSG00000043073,625530,3.4.19.12
ENSMUSG00000029735,29807,2.7.6.2
ENSMUSG00000062369,381944,3.4.19.12
ENSMUSG00000046008,69060,3.1.1.3
ENSMUSG00000046709,26414,2.7.11.24
ENSMUSG00000025915,170755,2.7.11.1
ENSMUSG00000042179,18946,3.1.1.3
ENSMUSG00000041653,116939,3.1.1.3
ENSMUSG00000054568,13531,3.4.19.12
ENSMUSG00000021953,58865,1.1.1.103
ENSMUSG00000078941,102216272,2.7.4.3
ENSMUSG00000021256,238328,3.4.17.17
ENSMUSG00000025860,11798,2.3.2.27
ENSMUSG00000069089,12572,2.7.11.22
ENSMUSG00000069089,12572,2.7.11.23
ENSMUSG00000027297,17005,2.7.10.1
ENSMUSG00000050435,237009,2.3.2.23
ENSMUSG00000047079,75097,2.3.2.23
ENSMUSG00000034252,215351,3.4.22.68
ENSMUSG00000025091,18947,3.1.1.3
ENSMUSG00000015970,218865,1.1.99.1
ENSMUSG00000090298,215895,2.8.2.3
ENSMUSG00000064061,224170,2.3.2.27
ENSMUSG00000069668,57430,2.8.2.3
ENSMUSG00000030730,11937,7.2.2.10
ENSMUSG00000048483,238331,2.3.1.225
ENSMUSG00000054003,74691,3.6.4.13
ENSMUSG00000004054,26403,2.7.11.25
ENSMUSG00000020064,67345,2.3.2.26
ENSMUSG00000039887,66789,2.4.1.141
ENSMUSG00000048029,226265,4.2.1.11
ENSMUSG00000038861,107650,2.7.1.67
ENSMUSG00000037686,104816,3.1.1.5
ENSMUSG00000037686,104816,3.1.1.47
ENSMUSG00000037686,104816,3.5.1.1
ENSMUSG00000055067,69726,2.1.1.354
ENSMUSG00000055067,69726,2.1.1.357
ENSMUSG00000027466,24105,2.3.2.31
ENSMUSG00000054733,110265,1.8.4.11
ENSMUSG00000052593,11491,3.4.24.86
ENSMUSG00000037112,235344,2.7.11.1
ENSMUSG00000024789,16452,2.7.10.2
ENSMUSG00000035311,432486,2.7.8.17
ENSMUSG00000002602,26362,2.7.10.1
ENSMUSG00000037400,76295,7.6.2.1
ENSMUSG00000039531,72580,3.4.19.12
ENSMUSG00000006127,19062,3.1.3.56
ENSMUSG00000040703,74134,1.14.14.1
ENSMUSG00000026896,71586,3.6.4.13
ENSMUSG00000020063,93759,2.3.1.286
ENSMUSG00000020280,74467,5.4.99.25
ENSMUSG00000032577,102626,2.7.11.1
ENSMUSG00000053470,104263,1.14.11.65
ENSMUSG00000025261,59026,2.3.2.26
ENSMUSG00000057706,108797,2.3.2.27
ENSMUSG00000030483,13088,1.14.14.1
ENSMUSG00000039497,212898,5.1.3.19
ENSMUSG00000002870,17216,5.6.2.3
ENSMUSG00000031443,14068,3.4.21.21
ENSMUSG00000040583,13089,1.14.14.1
ENSMUSG00000060002,212862,2.7.8.2
ENSMUSG00000030282,12764,2.7.7.43
ENSMUSG00000030282,12764,2.7.7.92
ENSMUSG00000020273,216578,2.7.7.19
ENSMUSG00000040660,13094,1.14.14.1
ENSMUSG00000032579,69536,2.1.1.297
ENSMUSG00000034126,217734,2.4.1.109
ENSMUSG00000000889,13166,1.14.17.1
ENSMUSG00000030283,20449,2.4.3.8
ENSMUSG00000021978,54616,2.4.1.223
ENSMUSG00000021978,54616,2.4.1.224
ENSMUSG00000003849,18104,1.6.5.2
ENSMUSG00000051483,12408,1.1.1.184
ENSMUSG00000051483,12408,1.1.1.189
ENSMUSG00000051483,12408,1.1.1.197
ENSMUSG00000022947,109857,1.1.1.184
ENSMUSG00000021033,14874,5.2.1.2
ENSMUSG00000027709,72039,6.4.1.4
ENSMUSG00000096727,16912,3.4.25.1
ENSMUSG00000031444,14058,3.4.21.6
ENSMUSG00000061462,380698,2.7.11.1
ENSMUSG00000024132,13177,5.3.3.8
ENSMUSG00000074254,13086,1.14.14.1
ENSMUSG00000053289,77591,3.6.4.13
ENSMUSG00000001229,224897,3.4.14.5
ENSMUSG00000025437,170822,3.4.19.12
ENSMUSG00000063410,223255,2.7.11.1
ENSMUSG00000026646,64707,2.1.1.355
ENSMUSG00000034218,11920,2.7.11.1
ENSMUSG00000042751,226518,2.7.7.1
ENSMUSG00000042751,226518,2.7.7.18
ENSMUSG00000037321,21354,7.4.2.14
ENSMUSG00000057672,320795,2.7.11.13
ENSMUSG00000009614,192166,1.5.8.3
ENSMUSG00000022031,74195,2.3.1.311
ENSMUSG00000078798,20859,2.8.2.14
ENSMUSG00000019779,14302,2.7.10.2
ENSMUSG00000063953,100041585,4.1.1.50
ENSMUSG00000024338,16913,3.4.25.1
ENSMUSG00000022376,11514,4.6.1.1
ENSMUSG00000044499,319415,2.8.2.23
ENSMUSG00000074377,434121,2.8.2.14
ENSMUSG00000024339,21355,7.4.2.14
ENSMUSG00000035936,214579,1.2.1.24
ENSMUSG00000022033,52033,2.7.12.2
ENSMUSG00000024137,13560,2.3.2.27
ENSMUSG00000074375,629203,2.8.2.14
ENSMUSG00000020649,20135,1.17.4.1
ENSMUSG00000020646,67216,2.3.1.51
ENSMUSG00000055172,50909,3.4.21.41
ENSMUSG00000031930,66894,2.3.2.26
ENSMUSG00000054046,626834,3.4.21.119
ENSMUSG00000028015,229445,3.4.22.42
ENSMUSG00000021340,14756,3.1.4.50
ENSMUSG00000034450,268756,1.1.3.8
ENSMUSG00000043445,67078,3.1.3.18
ENSMUSG00000043445,67078,3.1.3.48
ENSMUSG00000001380,15115,6.1.1.21
ENSMUSG00000019777,15182,3.5.1.98
ENSMUSG00000029471,207565,2.7.11.17
ENSMUSG00000028011,56720,1.13.11.11
ENSMUSG00000022040,13850,3.3.2.10
ENSMUSG00000022040,13850,3.1.3.76
ENSMUSG00000024997,11757,1.11.1.24
ENSMUSG00000024997,11757,1.11.1.25
ENSMUSG00000019143,70791,6.1.1.21
ENSMUSG00000028126,18720,2.7.1.68
ENSMUSG00000057134,211488,1.13.11.19
ENSMUSG00000001228,18140,2.3.2.27
ENSMUSG00000003228,14773,2.7.11.16
ENSMUSG00000024817,109113,2.3.2.27
ENSMUSG00000042699,13211,3.6.4.13
ENSMUSG00000020752,170472,5.6.2.4
ENSMUSG00000059456,19229,2.7.10.2
ENSMUSG00000069189,71164,2.3.1.225
ENSMUSG00000029310,74167,3.6.1.13
ENSMUSG00000005481,68278,3.6.4.13
ENSMUSG00000089678,268782,2.6.1.44
ENSMUSG00000089678,268782,2.6.1.40
ENSMUSG00000028005,54195,4.6.1.2
ENSMUSG00000038521,50908,3.4.21.42
ENSMUSG00000037989,75607,2.7.11.1
ENSMUSG00000040820,110948,6.3.4.9
ENSMUSG00000040820,110948,6.3.4.10
ENSMUSG00000040820,110948,6.3.4.11
