ENSMUSG,FC
ENSMUSG00000025504,Down
ENSMUSG00000025507,Down
ENSMUSG00000025531,Down
ENSMUSG00000025742,Down
ENSMUSG00000025766,Down
ENSMUSG00000025862,Down
ENSMUSG00000025885,Down
ENSMUSG00000025887,Down
ENSMUSG00000025903,Down
ENSMUSG00000025920,Down
ENSMUSG00000026017,Down
ENSMUSG00000026222,Down
ENSMUSG00000026317,Down
ENSMUSG00000026343,Down
ENSMUSG00000026348,Down
ENSMUSG00000026395,Down
ENSMUSG00000026399,Down
ENSMUSG00000026415,Down
ENSMUSG00000026482,Down
ENSMUSG00000026484,Down
ENSMUSG00000026494,Down
ENSMUSG00000026536,Down
ENSMUSG00000026565,Down
ENSMUSG00000026575,Down
ENSMUSG00000026594,Down
ENSMUSG00000026614,Down
ENSMUSG00000026622,Down
ENSMUSG00000026648,Down
ENSMUSG00000026669,Down
ENSMUSG00000026696,Down
ENSMUSG00000026721,Down
ENSMUSG00000026723,Down
ENSMUSG00000026768,Down
ENSMUSG00000026771,Down
ENSMUSG00000026778,Down
ENSMUSG00000026779,Down
ENSMUSG00000026781,Down
ENSMUSG00000026853,Down
ENSMUSG00000026866,Down
ENSMUSG00000026872,Down
ENSMUSG00000026890,Down
ENSMUSG00000026946,Down
ENSMUSG00000026950,Down
ENSMUSG00000026981,Down
ENSMUSG00000027004,Down
ENSMUSG00000027009,Down
ENSMUSG00000027082,Down
ENSMUSG00000027109,Down
ENSMUSG00000027165,Down
ENSMUSG00000027171,Down
ENSMUSG00000027194,Down
ENSMUSG00000027199,Down
ENSMUSG00000027201,Down
ENSMUSG00000027206,Down
ENSMUSG00000027210,Down
ENSMUSG00000027217,Down
ENSMUSG00000027242,Down
ENSMUSG00000027296,Down
ENSMUSG00000027514,Down
ENSMUSG00000027534,Down
ENSMUSG00000027550,Down
ENSMUSG00000027639,Down
ENSMUSG00000027669,Down
ENSMUSG00000027695,Down
ENSMUSG00000027708,Down
ENSMUSG00000027762,Down
ENSMUSG00000027763,Down
ENSMUSG00000027796,Down
ENSMUSG00000027810,Down
ENSMUSG00000027820,Down
ENSMUSG00000027858,Down
ENSMUSG00000027959,Down
ENSMUSG00000027965,Down
ENSMUSG00000027981,Down
ENSMUSG00000027993,Down
ENSMUSG00000028008,Down
ENSMUSG00000028019,Down
ENSMUSG00000028028,Down
ENSMUSG00000028044,Down
ENSMUSG00000028104,Down
ENSMUSG00000028128,Down
ENSMUSG00000028133,Down
ENSMUSG00000028134,Down
ENSMUSG00000028180,Down
ENSMUSG00000028186,Down
ENSMUSG00000028188,Down
ENSMUSG00000028218,Down
ENSMUSG00000028268,Down
ENSMUSG00000028282,Down
ENSMUSG00000028354,Down
ENSMUSG00000028358,Down
ENSMUSG00000028383,Down
ENSMUSG00000028385,Down
ENSMUSG00000028389,Down
ENSMUSG00000028399,Down
ENSMUSG00000028402,Down
ENSMUSG00000028456,Down
ENSMUSG00000028464,Down
ENSMUSG00000028484,Down
ENSMUSG00000028494,Down
ENSMUSG00000028496,Down
ENSMUSG00000028556,Down
ENSMUSG00000028576,Down
ENSMUSG00000028654,Down
ENSMUSG00000028715,Down
ENSMUSG00000028719,Down
ENSMUSG00000028788,Down
ENSMUSG00000029009,Down
ENSMUSG00000029029,Down
ENSMUSG00000029108,Down
ENSMUSG00000029156,Down
ENSMUSG00000029161,Down
ENSMUSG00000029167,Down
ENSMUSG00000029185,Down
ENSMUSG00000029201,Down
ENSMUSG00000029209,Down
ENSMUSG00000029270,Down
ENSMUSG00000029279,Down
ENSMUSG00000029298,Down
ENSMUSG00000029299,Down
ENSMUSG00000029314,Down
ENSMUSG00000029417,Down
ENSMUSG00000029469,Down
ENSMUSG00000029571,Down
ENSMUSG00000029603,Down
ENSMUSG00000029630,Down
ENSMUSG00000029657,Down
ENSMUSG00000029673,Down
ENSMUSG00000029676,Down
ENSMUSG00000029752,Down
ENSMUSG00000029761,Down
ENSMUSG00000029762,Down
ENSMUSG00000029787,Down
ENSMUSG00000029798,Down
ENSMUSG00000030051,Down
ENSMUSG00000030064,Down
ENSMUSG00000030137,Down
ENSMUSG00000030149,Down
ENSMUSG00000030213,Down
ENSMUSG00000030256,Down
ENSMUSG00000030342,Down
ENSMUSG00000030378,Down
ENSMUSG00000030393,Down
ENSMUSG00000030469,Down
ENSMUSG00000030499,Down
ENSMUSG00000030509,Down
ENSMUSG00000030532,Down
ENSMUSG00000030562,Down
ENSMUSG00000030616,Down
ENSMUSG00000030643,Down
ENSMUSG00000030659,Down
ENSMUSG00000030717,Down
ENSMUSG00000030759,Down
ENSMUSG00000030772,Down
ENSMUSG00000030795,Down
ENSMUSG00000030806,Down
ENSMUSG00000030847,Down
ENSMUSG00000030968,Down
ENSMUSG00000031023,Down
ENSMUSG00000031024,Down
ENSMUSG00000031075,Down
ENSMUSG00000031093,Down
ENSMUSG00000031150,Down
ENSMUSG00000031176,Down
ENSMUSG00000031229,Down
ENSMUSG00000031242,Down
ENSMUSG00000031255,Down
ENSMUSG00000031256,Down
ENSMUSG00000031298,Down
ENSMUSG00000031355,Down
ENSMUSG00000031380,Down
ENSMUSG00000031403,Down
ENSMUSG00000031433,Down
ENSMUSG00000031527,Down
ENSMUSG00000031548,Down
ENSMUSG00000031557,Down
ENSMUSG00000031570,Down
ENSMUSG00000031586,Down
ENSMUSG00000031595,Down
ENSMUSG00000031596,Down
ENSMUSG00000031613,Down
ENSMUSG00000031626,Down
ENSMUSG00000031639,Down
ENSMUSG00000031645,Down
ENSMUSG00000031661,Down
ENSMUSG00000031878,Down
ENSMUSG00000031907,Down
ENSMUSG00000031965,Down
ENSMUSG00000032000,Down
ENSMUSG00000032006,Down
ENSMUSG00000032024,Down
ENSMUSG00000032028,Down
ENSMUSG00000032064,Down
ENSMUSG00000032115,Down
ENSMUSG00000032253,Down
ENSMUSG00000032267,Down
ENSMUSG00000032307,Down
ENSMUSG00000032313,Down
ENSMUSG00000032349,Down
ENSMUSG00000032380,Down
ENSMUSG00000032384,Down
ENSMUSG00000032561,Down
ENSMUSG00000032688,Down
ENSMUSG00000032712,Down
ENSMUSG00000032715,Down
ENSMUSG00000032827,Down
ENSMUSG00000032898,Down
ENSMUSG00000032902,Down
ENSMUSG00000032925,Down
ENSMUSG00000033066,Down
ENSMUSG00000033102,Down
ENSMUSG00000033107,Down
ENSMUSG00000033111,Down
ENSMUSG00000033182,Down
ENSMUSG00000033282,Down
ENSMUSG00000033350,Down
ENSMUSG00000033577,Down
ENSMUSG00000033581,Down
ENSMUSG00000033618,Down
ENSMUSG00000033676,Down
ENSMUSG00000033855,Down
ENSMUSG00000033871,Down
ENSMUSG00000033883,Down
ENSMUSG00000033898,Down
ENSMUSG00000033904,Down
ENSMUSG00000033910,Down
ENSMUSG00000033970,Down
ENSMUSG00000033972,Down
ENSMUSG00000034007,Down
ENSMUSG00000034071,Down
ENSMUSG00000034083,Down
ENSMUSG00000034163,Down
ENSMUSG00000034218,Down
ENSMUSG00000034258,Down
ENSMUSG00000034459,Down
ENSMUSG00000034473,Down
ENSMUSG00000034560,Down
ENSMUSG00000034620,Down
ENSMUSG00000034640,Down
ENSMUSG00000034758,Down
ENSMUSG00000034795,Down
ENSMUSG00000034799,Down
ENSMUSG00000034903,Down
ENSMUSG00000035161,Down
ENSMUSG00000035173,Down
ENSMUSG00000035236,Down
ENSMUSG00000035299,Down
ENSMUSG00000035311,Down
ENSMUSG00000035397,Down
ENSMUSG00000035472,Down
ENSMUSG00000035509,Down
ENSMUSG00000035566,Down
ENSMUSG00000035597,Down
ENSMUSG00000035770,Down
ENSMUSG00000035836,Down
ENSMUSG00000035840,Down
ENSMUSG00000035864,Down
ENSMUSG00000035868,Down
ENSMUSG00000035910,Down
ENSMUSG00000036019,Down
ENSMUSG00000036053,Down
ENSMUSG00000036168,Down
ENSMUSG00000036181,Down
ENSMUSG00000036214,Down
ENSMUSG00000036273,Down
ENSMUSG00000036304,Down
ENSMUSG00000036333,Down
ENSMUSG00000036353,Down
ENSMUSG00000036362,Down
ENSMUSG00000036381,Down
ENSMUSG00000036469,Down
ENSMUSG00000036499,Down
ENSMUSG00000036503,Down
ENSMUSG00000036572,Down
ENSMUSG00000036641,Down
ENSMUSG00000036676,Down
ENSMUSG00000036743,Down
ENSMUSG00000036764,Down
ENSMUSG00000036957,Down
ENSMUSG00000037001,Down
ENSMUSG00000037029,Down
ENSMUSG00000037032,Down
ENSMUSG00000037096,Down
ENSMUSG00000037157,Down
ENSMUSG00000037234,Down
ENSMUSG00000037270,Down
ENSMUSG00000037286,Down
ENSMUSG00000037355,Down
ENSMUSG00000037379,Down
ENSMUSG00000037440,Down
ENSMUSG00000037541,Down
ENSMUSG00000037617,Down
ENSMUSG00000037643,Down
ENSMUSG00000037709,Down
ENSMUSG00000037712,Down
ENSMUSG00000037731,Down
ENSMUSG00000037808,Down
ENSMUSG00000037826,Down
ENSMUSG00000037849,Down
