ENSMUSG,FC
ENSMUSG00000078784,Down
ENSMUSG00000078817,Down
ENSMUSG00000078853,Down
ENSMUSG00000078862,Down
ENSMUSG00000078866,Down
ENSMUSG00000078870,Down
ENSMUSG00000078875,Down
ENSMUSG00000078878,Down
ENSMUSG00000078891,Down
ENSMUSG00000078903,Down
ENSMUSG00000078921,Down
ENSMUSG00000078922,Down
ENSMUSG00000078937,Down
ENSMUSG00000079049,Down
ENSMUSG00000079065,Down
ENSMUSG00000079293,Down
ENSMUSG00000079363,Down
ENSMUSG00000079419,Down
ENSMUSG00000079737,Down
ENSMUSG00000080058,Down
ENSMUSG00000081207,Down
ENSMUSG00000081665,Down
ENSMUSG00000082292,Down
ENSMUSG00000082361,Down
ENSMUSG00000083899,Down
ENSMUSG00000084350,Down
ENSMUSG00000084915,Down
ENSMUSG00000085028,Down
ENSMUSG00000085282,Down
ENSMUSG00000085527,Down
ENSMUSG00000085615,Down
ENSMUSG00000085622,Down
ENSMUSG00000085826,Down
ENSMUSG00000085929,Down
ENSMUSG00000085977,Down
ENSMUSG00000086165,Down
ENSMUSG00000086212,Down
ENSMUSG00000086219,Down
ENSMUSG00000086231,Down
ENSMUSG00000086332,Down
ENSMUSG00000086390,Down
ENSMUSG00000086494,Down
ENSMUSG00000086507,Down
ENSMUSG00000086629,Down
ENSMUSG00000086670,Down
ENSMUSG00000086771,Down
ENSMUSG00000086782,Down
ENSMUSG00000086813,Down
ENSMUSG00000087107,Down
ENSMUSG00000087404,Down
ENSMUSG00000087413,Down
ENSMUSG00000087579,Down
ENSMUSG00000087644,Down
ENSMUSG00000089774,Down
ENSMUSG00000089857,Down
ENSMUSG00000089873,Down
ENSMUSG00000090090,Down
ENSMUSG00000090093,Down
ENSMUSG00000090222,Down
ENSMUSG00000090272,Down
ENSMUSG00000090306,Down
ENSMUSG00000090386,Down
ENSMUSG00000090639,Down
ENSMUSG00000090641,Down
ENSMUSG00000090659,Down
ENSMUSG00000090667,Down
ENSMUSG00000090877,Down
ENSMUSG00000090942,Down
ENSMUSG00000091144,Down
ENSMUSG00000091649,Down
ENSMUSG00000091764,Down
ENSMUSG00000091780,Down
ENSMUSG00000091864,Down
ENSMUSG00000092008,Down
ENSMUSG00000093938,Down
ENSMUSG00000094152,Down
ENSMUSG00000094410,Down
ENSMUSG00000094638,Down
ENSMUSG00000094786,Down
ENSMUSG00000095315,Down
ENSMUSG00000095403,Down
ENSMUSG00000095562,Down
ENSMUSG00000095648,Down
ENSMUSG00000096054,Down
ENSMUSG00000096401,Down
ENSMUSG00000096674,Down
ENSMUSG00000096688,Down
ENSMUSG00000096696,Down
ENSMUSG00000096856,Down
ENSMUSG00000096971,Down
ENSMUSG00000097039,Down
ENSMUSG00000097047,Down
ENSMUSG00000097048,Down
ENSMUSG00000097061,Down
ENSMUSG00000097073,Down
ENSMUSG00000097164,Down
ENSMUSG00000097203,Down
ENSMUSG00000097345,Down
ENSMUSG00000097375,Down
ENSMUSG00000097451,Down
ENSMUSG00000097574,Down
ENSMUSG00000097691,Down
ENSMUSG00000097730,Down
ENSMUSG00000097811,Down
ENSMUSG00000097974,Down
ENSMUSG00000098014,Down
ENSMUSG00000098404,Down
ENSMUSG00000099034,Down
ENSMUSG00000099519,Down
ENSMUSG00000099889,Down
ENSMUSG00000100005,Down
ENSMUSG00000100039,Down
ENSMUSG00000100235,Down
ENSMUSG00000100826,Down
ENSMUSG00000101304,Down
ENSMUSG00000101397,Down
ENSMUSG00000102533,Down
ENSMUSG00000102602,Down
ENSMUSG00000102627,Down
ENSMUSG00000102982,Down
ENSMUSG00000103183,Down
ENSMUSG00000103392,Down
ENSMUSG00000103509,Down
ENSMUSG00000103672,Down
ENSMUSG00000103680,Down
ENSMUSG00000103901,Down
ENSMUSG00000104156,Down
ENSMUSG00000104204,Down
ENSMUSG00000104213,Down
ENSMUSG00000104344,Down
ENSMUSG00000104348,Down
ENSMUSG00000104459,Down
ENSMUSG00000104664,Down
ENSMUSG00000104713,Down
ENSMUSG00000104918,Down
ENSMUSG00000105096,Down
ENSMUSG00000105315,Down
ENSMUSG00000105504,Down
ENSMUSG00000105556,Down
ENSMUSG00000105837,Down
ENSMUSG00000105881,Down
ENSMUSG00000105909,Down
ENSMUSG00000106874,Down
ENSMUSG00000106928,Down
ENSMUSG00000106951,Down
ENSMUSG00000107096,Down
ENSMUSG00000107143,Down
ENSMUSG00000107198,Down
ENSMUSG00000107320,Down
ENSMUSG00000107516,Down
ENSMUSG00000107881,Down
ENSMUSG00000108181,Down
ENSMUSG00000108368,Down
ENSMUSG00000108425,Down
ENSMUSG00000108659,Down
ENSMUSG00000108822,Down
ENSMUSG00000108969,Down
ENSMUSG00000109222,Down
ENSMUSG00000109291,Down
ENSMUSG00000109473,Down
ENSMUSG00000109536,Down
ENSMUSG00000109612,Down
ENSMUSG00000109841,Down
ENSMUSG00000110105,Down
ENSMUSG00000110277,Down
ENSMUSG00000110344,Down
ENSMUSG00000110353,Down
ENSMUSG00000110393,Down
ENSMUSG00000110397,Down
ENSMUSG00000110411,Down
ENSMUSG00000110597,Down
ENSMUSG00000111118,Down
ENSMUSG00000111375,Down
ENSMUSG00000111429,Down
ENSMUSG00000111594,Down
ENSMUSG00000111709,Down
ENSMUSG00000111740,Down
ENSMUSG00000112006,Down
ENSMUSG00000112023,Down
ENSMUSG00000112148,Down
ENSMUSG00000112545,Down
ENSMUSG00000112599,Down
ENSMUSG00000112615,Down
ENSMUSG00000112690,Down
ENSMUSG00000112771,Down
ENSMUSG00000112774,Down
ENSMUSG00000112920,Down
ENSMUSG00000112964,Down
ENSMUSG00000113063,Down
ENSMUSG00000113311,Down
ENSMUSG00000113399,Down
ENSMUSG00000113581,Down
ENSMUSG00000113683,Down
ENSMUSG00000114247,Down
ENSMUSG00000114370,Down
ENSMUSG00000114425,Down
ENSMUSG00000114627,Down
ENSMUSG00000114828,Down
ENSMUSG00000115200,Down
ENSMUSG00000115300,Down
ENSMUSG00000115852,Down
ENSMUSG00000115919,Down
ENSMUSG00000116270,Down
ENSMUSG00000116284,Down
ENSMUSG00000116802,Down
ENSMUSG00000116810,Down
ENSMUSG00000116993,Down
ENSMUSG00000117038,Down
ENSMUSG00000117084,Down
ENSMUSG00000117284,Down
ENSMUSG00000117485,Down
ENSMUSG00000117494,Down
ENSMUSG00000117780,Down
ENSMUSG00000117809,Down
ENSMUSG00000118017,Down
ENSMUSG00000118049,Down
ENSMUSG00000118053,Down
ENSMUSG00000118125,Down
ENSMUSG00000118168,Down
ENSMUSG00000118423,Down
ENSMUSG00000000154,UP
ENSMUSG00000000184,UP
ENSMUSG00000000301,UP
ENSMUSG00000000305,UP
ENSMUSG00000000317,UP
ENSMUSG00000000791,UP
ENSMUSG00000000916,UP
ENSMUSG00000001053,UP
ENSMUSG00000001054,UP
ENSMUSG00000001227,UP
ENSMUSG00000001240,UP
ENSMUSG00000001249,UP
ENSMUSG00000001288,UP
ENSMUSG00000001313,UP
ENSMUSG00000001418,UP
ENSMUSG00000001436,UP
ENSMUSG00000001467,UP
ENSMUSG00000001473,UP
ENSMUSG00000001506,UP
ENSMUSG00000001663,UP
ENSMUSG00000001665,UP
ENSMUSG00000001751,UP
ENSMUSG00000001918,UP
ENSMUSG00000001946,UP
ENSMUSG00000002068,UP
ENSMUSG00000002332,UP
ENSMUSG00000002379,UP
ENSMUSG00000002416,UP
ENSMUSG00000002580,UP
ENSMUSG00000002804,UP
ENSMUSG00000002820,UP
ENSMUSG00000002871,UP
ENSMUSG00000002980,UP
ENSMUSG00000002983,UP
ENSMUSG00000002984,UP
ENSMUSG00000003032,UP
ENSMUSG00000003038,UP
ENSMUSG00000003190,UP
ENSMUSG00000003206,UP
ENSMUSG00000003279,UP
ENSMUSG00000003348,UP
ENSMUSG00000003380,UP
ENSMUSG00000003500,UP
ENSMUSG00000003526,UP
ENSMUSG00000003534,UP
ENSMUSG00000003541,UP
ENSMUSG00000003970,UP
ENSMUSG00000004038,UP
ENSMUSG00000004040,UP
ENSMUSG00000004100,UP
ENSMUSG00000004341,UP
ENSMUSG00000004768,UP
ENSMUSG00000005078,UP
ENSMUSG00000005161,UP
ENSMUSG00000005251,UP
ENSMUSG00000005299,UP
ENSMUSG00000005483,UP
ENSMUSG00000005547,UP
ENSMUSG00000005980,UP
ENSMUSG00000006014,UP
ENSMUSG00000006057,UP
ENSMUSG00000006221,UP
ENSMUSG00000006315,UP
ENSMUSG00000006344,UP
ENSMUSG00000006360,UP
ENSMUSG00000006378,UP
ENSMUSG00000006390,UP
ENSMUSG00000006442,UP
ENSMUSG00000006456,UP
ENSMUSG00000006494,UP
ENSMUSG00000006517,UP
ENSMUSG00000006575,UP
ENSMUSG00000006711,UP
ENSMUSG00000006728,UP
ENSMUSG00000006732,UP
ENSMUSG00000007033,UP
ENSMUSG00000007564,UP
ENSMUSG00000007594,UP
ENSMUSG00000007610,UP
ENSMUSG00000007646,UP
ENSMUSG00000007817,UP
ENSMUSG00000007872,UP
ENSMUSG00000007892,UP
ENSMUSG00000008035,UP
ENSMUSG00000008140,UP
ENSMUSG00000008435,UP
ENSMUSG00000009013,UP
ENSMUSG00000009292,UP
ENSMUSG00000009563,UP
ENSMUSG00000009614,UP
ENSMUSG00000010307,UP
ENSMUSG00000010601,UP
ENSMUSG00000010651,UP
ENSMUSG00000010663,UP
ENSMUSG00000010797,UP
ENSMUSG00000010936,UP
ENSMUSG00000011263,UP
ENSMUSG00000012017,UP
ENSMUSG00000012428,UP
ENSMUSG00000013495,UP
ENSMUSG00000013629,UP
ENSMUSG00000013646,UP
ENSMUSG00000013707,UP
ENSMUSG00000013846,UP
ENSMUSG00000014606,UP
ENSMUSG00000014633,UP
ENSMUSG00000014773,UP
ENSMUSG00000014776,UP
ENSMUSG00000015085,UP
ENSMUSG00000015312,UP
ENSMUSG00000015335,UP
ENSMUSG00000015337,UP
ENSMUSG00000015396,UP
ENSMUSG00000015451,UP
ENSMUSG00000015468,UP
ENSMUSG00000015478,UP
ENSMUSG00000015575,UP
ENSMUSG00000015599,UP
ENSMUSG00000015605,UP
ENSMUSG00000015647,UP
ENSMUSG00000015850,UP
ENSMUSG00000015943,UP
ENSMUSG00000016637,UP
ENSMUSG00000016758,UP
ENSMUSG00000017390,UP
ENSMUSG00000017677,UP
ENSMUSG00000017713,UP
ENSMUSG00000017723,UP
ENSMUSG00000017737,UP
ENSMUSG00000017754,UP
ENSMUSG00000017774,UP
ENSMUSG00000017778,UP
ENSMUSG00000017969,UP
ENSMUSG00000018042,UP
ENSMUSG00000018339,UP
ENSMUSG00000018459,UP
ENSMUSG00000018486,UP
ENSMUSG00000018585,UP
ENSMUSG00000018648,UP
ENSMUSG00000018677,UP
ENSMUSG00000018845,UP
ENSMUSG00000018932,UP
ENSMUSG00000019054,UP
ENSMUSG00000019080,UP
ENSMUSG00000019139,UP
ENSMUSG00000019158,UP
ENSMUSG00000019297,UP
ENSMUSG00000019564,UP
ENSMUSG00000019590,UP
ENSMUSG00000019689,UP
ENSMUSG00000019768,UP
ENSMUSG00000019822,UP
ENSMUSG00000019883,UP
ENSMUSG00000019947,UP
ENSMUSG00000019960,UP
ENSMUSG00000020018,UP
ENSMUSG00000020038,UP
ENSMUSG00000020057,UP
ENSMUSG00000020087,UP
ENSMUSG00000020099,UP
ENSMUSG00000020131,UP
ENSMUSG00000020142,UP
ENSMUSG00000020150,UP
ENSMUSG00000020153,UP
ENSMUSG00000020205,UP
ENSMUSG00000020219,UP
ENSMUSG00000020224,UP
ENSMUSG00000020225,UP
ENSMUSG00000020331,UP
ENSMUSG00000020357,UP
ENSMUSG00000020388,UP
ENSMUSG00000020420,UP
ENSMUSG00000020423,UP
ENSMUSG00000020424,UP
ENSMUSG00000020429,UP
ENSMUSG00000020477,UP
ENSMUSG00000020538,UP
ENSMUSG00000020593,UP
ENSMUSG00000020601,UP
ENSMUSG00000020649,UP
ENSMUSG00000020653,UP
ENSMUSG00000020656,UP
ENSMUSG00000020684,UP
ENSMUSG00000020689,UP
ENSMUSG00000020698,UP
ENSMUSG00000020733,UP
ENSMUSG00000020806,UP
ENSMUSG00000020823,UP
ENSMUSG00000020830,UP
ENSMUSG00000020832,UP
ENSMUSG00000020843,UP
ENSMUSG00000020877,UP
ENSMUSG00000020895,UP
ENSMUSG00000020899,UP
ENSMUSG00000020917,UP
ENSMUSG00000021025,UP
ENSMUSG00000021091,UP
ENSMUSG00000021102,UP
ENSMUSG00000021108,UP
ENSMUSG00000021133,UP
ENSMUSG00000021200,UP
ENSMUSG00000021208,UP
ENSMUSG00000021222,UP
ENSMUSG00000021250,UP
ENSMUSG00000021252,UP
ENSMUSG00000021259,UP
ENSMUSG00000021273,UP
ENSMUSG00000021290,UP
ENSMUSG00000021361,UP
ENSMUSG00000021493,UP
ENSMUSG00000021613,UP
ENSMUSG00000021670,UP
ENSMUSG00000021701,UP
ENSMUSG00000021747,UP
ENSMUSG00000021750,UP
ENSMUSG00000021760,UP
ENSMUSG00000021765,UP
ENSMUSG00000021773,UP
ENSMUSG00000021830,UP
ENSMUSG00000021866,UP
ENSMUSG00000021904,UP
ENSMUSG00000021908,UP
ENSMUSG00000021922,UP
ENSMUSG00000021943,UP
ENSMUSG00000022057,UP
ENSMUSG00000022094,UP
ENSMUSG00000022129,UP
ENSMUSG00000022174,UP
ENSMUSG00000022217,UP
ENSMUSG00000022218,UP
ENSMUSG00000022219,UP
ENSMUSG00000022220,UP
ENSMUSG00000022223,UP
ENSMUSG00000022236,UP
ENSMUSG00000022305,UP
ENSMUSG00000022351,UP
ENSMUSG00000022408,UP
ENSMUSG00000022463,UP
ENSMUSG00000022476,UP
ENSMUSG00000022508,UP
ENSMUSG00000022534,UP
ENSMUSG00000022540,UP
ENSMUSG00000022546,UP
ENSMUSG00000022551,UP
ENSMUSG00000022552,UP
ENSMUSG00000022554,UP
ENSMUSG00000022557,UP
ENSMUSG00000022558,UP
ENSMUSG00000022559,UP
ENSMUSG00000022560,UP
ENSMUSG00000022561,UP
ENSMUSG00000022574,UP
ENSMUSG00000022623,UP
ENSMUSG00000022679,UP
ENSMUSG00000022756,UP
ENSMUSG00000022760,UP
ENSMUSG00000022762,UP
ENSMUSG00000022856,UP
ENSMUSG00000022946,UP
ENSMUSG00000022951,UP
ENSMUSG00000022962,UP
ENSMUSG00000023020,UP
ENSMUSG00000023030,UP
ENSMUSG00000023034,UP
ENSMUSG00000023036,UP
ENSMUSG00000023044,UP
ENSMUSG00000023050,UP
ENSMUSG00000023051,UP
ENSMUSG00000023067,UP
ENSMUSG00000023073,UP
ENSMUSG00000023087,UP
ENSMUSG00000023259,UP
ENSMUSG00000023262,UP
ENSMUSG00000023274,UP
ENSMUSG00000023345,UP
ENSMUSG00000023367,UP
ENSMUSG00000023393,UP
ENSMUSG00000023805,UP
ENSMUSG00000023828,UP
ENSMUSG00000023832,UP
ENSMUSG00000023905,UP
ENSMUSG00000023915,UP
ENSMUSG00000023963,UP
ENSMUSG00000024036,UP
ENSMUSG00000024042,UP
ENSMUSG00000024053,UP
ENSMUSG00000024131,UP
ENSMUSG00000024190,UP
ENSMUSG00000024194,UP
ENSMUSG00000024211,UP
ENSMUSG00000024222,UP
ENSMUSG00000024338,UP
ENSMUSG00000024352,UP
ENSMUSG00000024378,UP
ENSMUSG00000024393,UP
ENSMUSG00000024421,UP
ENSMUSG00000024424,UP
ENSMUSG00000024521,UP
ENSMUSG00000024608,UP
ENSMUSG00000024666,UP
ENSMUSG00000024694,UP
ENSMUSG00000024769,UP
ENSMUSG00000024790,UP
ENSMUSG00000024799,UP
ENSMUSG00000024844,UP
ENSMUSG00000024856,UP
ENSMUSG00000024899,UP
ENSMUSG00000024906,UP
ENSMUSG00000024944,UP
ENSMUSG00000024955,UP
ENSMUSG00000024958,UP
ENSMUSG00000024992,UP
ENSMUSG00000024998,UP
ENSMUSG00000025003,UP
ENSMUSG00000025135,UP
ENSMUSG00000025142,UP
ENSMUSG00000025153,UP
ENSMUSG00000025172,UP
ENSMUSG00000025203,UP
ENSMUSG00000025226,UP
ENSMUSG00000025227,UP
ENSMUSG00000025350,UP
ENSMUSG00000025384,UP
ENSMUSG00000025402,UP
ENSMUSG00000025429,UP
ENSMUSG00000025464,UP
ENSMUSG00000025491,UP
ENSMUSG00000025492,UP
ENSMUSG00000025494,UP
ENSMUSG00000025508,UP
ENSMUSG00000025511,UP
ENSMUSG00000025656,UP
ENSMUSG00000025732,UP
ENSMUSG00000025817,UP
ENSMUSG00000025858,UP
ENSMUSG00000025933,UP
ENSMUSG00000025934,UP
ENSMUSG00000025981,UP
ENSMUSG00000025993,UP
ENSMUSG00000026072,UP
ENSMUSG00000026121,UP
ENSMUSG00000026185,UP
ENSMUSG00000026202,UP
ENSMUSG00000026211,UP
ENSMUSG00000026259,UP
ENSMUSG00000026358,UP
ENSMUSG00000026390,UP
ENSMUSG00000026435,UP
ENSMUSG00000026458,UP
ENSMUSG00000026471,UP
ENSMUSG00000026475,UP
ENSMUSG00000026542,UP
ENSMUSG00000026628,UP
ENSMUSG00000026638,UP
ENSMUSG00000026675,UP
ENSMUSG00000026688,UP
ENSMUSG00000026691,UP
ENSMUSG00000026709,UP
ENSMUSG00000026810,UP
ENSMUSG00000026819,UP
ENSMUSG00000026822,UP
ENSMUSG00000026832,UP
ENSMUSG00000026839,UP
ENSMUSG00000026941,UP
ENSMUSG00000027075,UP
ENSMUSG00000027076,UP
ENSMUSG00000027222,UP
ENSMUSG00000027246,UP
ENSMUSG00000027313,UP
ENSMUSG00000027329,UP
ENSMUSG00000027346,UP
ENSMUSG00000027353,UP
ENSMUSG00000027364,UP
ENSMUSG00000027398,UP
ENSMUSG00000027399,UP
ENSMUSG00000027459,UP
ENSMUSG00000027463,UP
ENSMUSG00000027488,UP
ENSMUSG00000027556,UP
ENSMUSG00000027605,UP
ENSMUSG00000027613,UP
ENSMUSG00000027636,UP
ENSMUSG00000027646,UP
ENSMUSG00000027801,UP
ENSMUSG00000027878,UP
ENSMUSG00000027947,UP
ENSMUSG00000027952,UP
ENSMUSG00000027953,UP
ENSMUSG00000027954,UP
ENSMUSG00000027961,UP
ENSMUSG00000027995,UP
ENSMUSG00000028036,UP
ENSMUSG00000028041,UP
ENSMUSG00000028049,UP
ENSMUSG00000028051,UP
ENSMUSG00000028088,UP
ENSMUSG00000028111,UP
ENSMUSG00000028150,UP
ENSMUSG00000028152,UP
ENSMUSG00000028182,UP
ENSMUSG00000028195,UP
ENSMUSG00000028238,UP
ENSMUSG00000028240,UP
ENSMUSG00000028337,UP
ENSMUSG00000028359,UP
ENSMUSG00000028378,UP
ENSMUSG00000028407,UP
ENSMUSG00000028413,UP
ENSMUSG00000028438,UP
ENSMUSG00000028439,UP
ENSMUSG00000028443,UP
ENSMUSG00000028444,UP
ENSMUSG00000028445,UP
ENSMUSG00000028454,UP
ENSMUSG00000028497,UP
ENSMUSG00000028525,UP
ENSMUSG00000028542,UP
ENSMUSG00000028555,UP
ENSMUSG00000028597,UP
ENSMUSG00000028680,UP
ENSMUSG00000028716,UP
ENSMUSG00000028743,UP
ENSMUSG00000028744,UP
ENSMUSG00000028789,UP
ENSMUSG00000028838,UP
ENSMUSG00000028857,UP
ENSMUSG00000028859,UP
ENSMUSG00000028862,UP
ENSMUSG00000028885,UP
ENSMUSG00000028957,UP
ENSMUSG00000028958,UP
ENSMUSG00000028959,UP
ENSMUSG00000028973,UP
ENSMUSG00000028977,UP
ENSMUSG00000028978,UP
ENSMUSG00000028988,UP
ENSMUSG00000029028,UP
ENSMUSG00000029032,UP
ENSMUSG00000029059,UP
ENSMUSG00000029096,UP
ENSMUSG00000029102,UP
ENSMUSG00000029135,UP
ENSMUSG00000029162,UP
ENSMUSG00000029269,UP
ENSMUSG00000029272,UP
ENSMUSG00000029380,UP
ENSMUSG00000029386,UP
ENSMUSG00000029403,UP
ENSMUSG00000029482,UP
ENSMUSG00000029575,UP
ENSMUSG00000029580,UP
ENSMUSG00000029581,UP
ENSMUSG00000029648,UP
ENSMUSG00000029650,UP
ENSMUSG00000029661,UP
ENSMUSG00000029674,UP
ENSMUSG00000029675,UP
ENSMUSG00000029715,UP
ENSMUSG00000029718,UP
ENSMUSG00000029771,UP
ENSMUSG00000029822,UP
ENSMUSG00000029860,UP
ENSMUSG00000030004,UP
ENSMUSG00000030022,UP
ENSMUSG00000030036,UP
ENSMUSG00000030042,UP
ENSMUSG00000030089,UP
ENSMUSG00000030103,UP
ENSMUSG00000030108,UP
ENSMUSG00000030109,UP
ENSMUSG00000030124,UP
ENSMUSG00000030170,UP
ENSMUSG00000030207,UP
ENSMUSG00000030218,UP
ENSMUSG00000030247,UP
ENSMUSG00000030255,UP
ENSMUSG00000030281,UP
ENSMUSG00000030341,UP
ENSMUSG00000030364,UP
ENSMUSG00000030411,UP
ENSMUSG00000030483,UP
ENSMUSG00000030494,UP
ENSMUSG00000030528,UP
ENSMUSG00000030555,UP
ENSMUSG00000030587,UP
ENSMUSG00000030670,UP
ENSMUSG00000030674,UP
ENSMUSG00000030695,UP
ENSMUSG00000030697,UP
ENSMUSG00000030720,UP
ENSMUSG00000030722,UP
ENSMUSG00000030747,UP
ENSMUSG00000030752,UP
ENSMUSG00000030782,UP
ENSMUSG00000030786,UP
ENSMUSG00000030787,UP
ENSMUSG00000030793,UP
ENSMUSG00000030800,UP
ENSMUSG00000030814,UP
ENSMUSG00000030869,UP
ENSMUSG00000030872,UP
ENSMUSG00000031016,UP
ENSMUSG00000031155,UP
ENSMUSG00000031156,UP
ENSMUSG00000031158,UP
ENSMUSG00000031220,UP
ENSMUSG00000031271,UP
ENSMUSG00000031347,UP
ENSMUSG00000031349,UP
ENSMUSG00000031371,UP
ENSMUSG00000031378,UP
ENSMUSG00000031487,UP
ENSMUSG00000031504,UP
ENSMUSG00000031549,UP
ENSMUSG00000031591,UP
ENSMUSG00000031604,UP
ENSMUSG00000031706,UP
ENSMUSG00000031722,UP
ENSMUSG00000031750,UP
ENSMUSG00000031762,UP
ENSMUSG00000031765,UP
ENSMUSG00000031767,UP
ENSMUSG00000031781,UP
ENSMUSG00000031803,UP
ENSMUSG00000031805,UP
ENSMUSG00000031807,UP
ENSMUSG00000031808,UP
ENSMUSG00000031832,UP
ENSMUSG00000031877,UP
ENSMUSG00000031886,UP
ENSMUSG00000031897,UP
ENSMUSG00000031906,UP
ENSMUSG00000032010,UP
ENSMUSG00000032018,UP
ENSMUSG00000032051,UP
ENSMUSG00000032081,UP
ENSMUSG00000032114,UP
ENSMUSG00000032125,UP
ENSMUSG00000032172,UP
ENSMUSG00000032184,UP
ENSMUSG00000032193,UP
ENSMUSG00000032224,UP
ENSMUSG00000032245,UP
ENSMUSG00000032288,UP
ENSMUSG00000032500,UP
ENSMUSG00000032501,UP
ENSMUSG00000032515,UP
ENSMUSG00000032578,UP
ENSMUSG00000032579,UP
ENSMUSG00000032625,UP
ENSMUSG00000032656,UP
ENSMUSG00000032788,UP
ENSMUSG00000032796,UP
ENSMUSG00000032883,UP
ENSMUSG00000032892,UP
ENSMUSG00000032997,UP
ENSMUSG00000033105,UP
ENSMUSG00000033174,UP
ENSMUSG00000033191,UP
ENSMUSG00000033272,UP
ENSMUSG00000033276,UP
ENSMUSG00000033287,UP
ENSMUSG00000033313,UP
ENSMUSG00000033475,UP
ENSMUSG00000033543,UP
ENSMUSG00000033594,UP
ENSMUSG00000033715,UP
ENSMUSG00000033728,UP
ENSMUSG00000033809,UP
ENSMUSG00000034127,UP
ENSMUSG00000034254,UP
ENSMUSG00000034371,UP
ENSMUSG00000034445,UP
ENSMUSG00000034509,UP
ENSMUSG00000034591,UP
ENSMUSG00000034595,UP
ENSMUSG00000034645,UP
ENSMUSG00000034675,UP
ENSMUSG00000034684,UP
ENSMUSG00000034708,UP
ENSMUSG00000034765,UP
ENSMUSG00000034774,UP
ENSMUSG00000034780,UP
ENSMUSG00000034785,UP
ENSMUSG00000034786,UP
ENSMUSG00000034793,UP
ENSMUSG00000034837,UP
ENSMUSG00000034848,UP
ENSMUSG00000034853,UP
ENSMUSG00000034881,UP
ENSMUSG00000034892,UP
ENSMUSG00000034926,UP
ENSMUSG00000034930,UP
ENSMUSG00000034957,UP
ENSMUSG00000035049,UP
ENSMUSG00000035126,UP
ENSMUSG00000035172,UP
ENSMUSG00000035186,UP
ENSMUSG00000035268,UP
ENSMUSG00000035342,UP
ENSMUSG00000035378,UP
ENSMUSG00000035486,UP
ENSMUSG00000035559,UP
ENSMUSG00000035561,UP
ENSMUSG00000035595,UP
ENSMUSG00000035621,UP
ENSMUSG00000035674,UP
ENSMUSG00000035686,UP
ENSMUSG00000035711,UP
ENSMUSG00000035722,UP
ENSMUSG00000035754,UP
ENSMUSG00000035781,UP
ENSMUSG00000035885,UP
ENSMUSG00000035891,UP
ENSMUSG00000036006,UP
ENSMUSG00000036057,UP
ENSMUSG00000036083,UP
ENSMUSG00000036114,UP
ENSMUSG00000036138,UP
ENSMUSG00000036151,UP
ENSMUSG00000036216,UP
ENSMUSG00000036390,UP
ENSMUSG00000036430,UP
ENSMUSG00000036504,UP
ENSMUSG00000036534,UP
ENSMUSG00000036537,UP
ENSMUSG00000036570,UP
ENSMUSG00000036661,UP
ENSMUSG00000036678,UP
ENSMUSG00000036752,UP
ENSMUSG00000036782,UP
ENSMUSG00000036835,UP
ENSMUSG00000036856,UP
ENSMUSG00000036867,UP
ENSMUSG00000036918,UP
ENSMUSG00000036948,UP
ENSMUSG00000037025,UP
ENSMUSG00000037035,UP
ENSMUSG00000037071,UP
ENSMUSG00000037095,UP
ENSMUSG00000037139,UP
ENSMUSG00000037152,UP
ENSMUSG00000037166,UP
ENSMUSG00000037169,UP
ENSMUSG00000037188,UP
ENSMUSG00000037278,UP
ENSMUSG00000037326,UP
ENSMUSG00000037349,UP
ENSMUSG00000037411,UP
ENSMUSG00000037443,UP
ENSMUSG00000037447,UP
ENSMUSG00000037465,UP
ENSMUSG00000037563,UP
ENSMUSG00000037573,UP
ENSMUSG00000037594,UP
ENSMUSG00000037601,UP
ENSMUSG00000037606,UP
ENSMUSG00000037686,UP
ENSMUSG00000037710,UP
ENSMUSG00000037847,UP
ENSMUSG00000037904,UP
ENSMUSG00000037977,UP
ENSMUSG00000038007,UP
ENSMUSG00000038034,UP
ENSMUSG00000038055,UP
ENSMUSG00000038068,UP
ENSMUSG00000038135,UP
ENSMUSG00000038146,UP
ENSMUSG00000038155,UP
ENSMUSG00000038167,UP
ENSMUSG00000038180,UP
ENSMUSG00000038208,UP
ENSMUSG00000038217,UP
ENSMUSG00000038253,UP
ENSMUSG00000038274,UP
ENSMUSG00000038296,UP
ENSMUSG00000038301,UP
ENSMUSG00000038370,UP
ENSMUSG00000038372,UP
ENSMUSG00000038387,UP
ENSMUSG00000038412,UP
ENSMUSG00000038415,UP
ENSMUSG00000038418,UP
ENSMUSG00000038451,UP
ENSMUSG00000038473,UP
ENSMUSG00000038489,UP
ENSMUSG00000038530,UP
ENSMUSG00000038534,UP
ENSMUSG00000038550,UP
ENSMUSG00000038569,UP
ENSMUSG00000038587,UP
ENSMUSG00000038641,UP
ENSMUSG00000038650,UP
ENSMUSG00000038690,UP
ENSMUSG00000038695,UP
ENSMUSG00000038775,UP
ENSMUSG00000038888,UP
ENSMUSG00000038893,UP
ENSMUSG00000039157,UP
ENSMUSG00000039195,UP
ENSMUSG00000039196,UP
ENSMUSG00000039201,UP
ENSMUSG00000039221,UP
ENSMUSG00000039286,UP
ENSMUSG00000039377,UP
ENSMUSG00000039410,UP
ENSMUSG00000039450,UP
ENSMUSG00000039452,UP
ENSMUSG00000039474,UP
ENSMUSG00000039533,UP
ENSMUSG00000039568,UP
ENSMUSG00000039632,UP
