ENSMUSP,FC
ENSMUSP00000033136,UP
ENSMUSP00000033176,UP
ENSMUSP00000033185,UP
ENSMUSP00000033241,UP
ENSMUSP00000033325,UP
ENSMUSP00000033598,UP
ENSMUSP00000033662,UP
ENSMUSP00000033715,UP
ENSMUSP00000033723,UP
ENSMUSP00000033873,UP
ENSMUSP00000034136,UP
ENSMUSP00000034141,UP
ENSMUSP00000034441,UP
ENSMUSP00000034524,UP
ENSMUSP00000034547,UP
ENSMUSP00000034567,UP
ENSMUSP00000034585,UP
ENSMUSP00000034740,UP
ENSMUSP00000034756,UP
ENSMUSP00000034848,UP
ENSMUSP00000034881,UP
ENSMUSP00000034902,UP
ENSMUSP00000034905,UP
ENSMUSP00000035033,UP
ENSMUSP00000035034,UP
ENSMUSP00000035086,UP
ENSMUSP00000035116,UP
ENSMUSP00000035230,UP
ENSMUSP00000035743,UP
ENSMUSP00000036936,UP
ENSMUSP00000037206,UP
ENSMUSP00000037268,UP
ENSMUSP00000037341,UP
ENSMUSP00000037514,UP
ENSMUSP00000038063,UP
ENSMUSP00000038368,UP
ENSMUSP00000038763,UP
ENSMUSP00000038781,UP
ENSMUSP00000039289,UP
ENSMUSP00000039429,UP
ENSMUSP00000039507,UP
ENSMUSP00000039529,UP
ENSMUSP00000039663,UP
ENSMUSP00000039692,UP
ENSMUSP00000039844,UP
ENSMUSP00000039980,UP
ENSMUSP00000040424,UP
ENSMUSP00000040580,UP
ENSMUSP00000040840,UP
ENSMUSP00000041149,UP
ENSMUSP00000041260,UP
ENSMUSP00000041282,UP
ENSMUSP00000041294,UP
ENSMUSP00000041378,UP
ENSMUSP00000042232,UP
ENSMUSP00000042285,UP
ENSMUSP00000042351,UP
ENSMUSP00000042783,UP
ENSMUSP00000042988,UP
ENSMUSP00000043424,UP
ENSMUSP00000043543,UP
ENSMUSP00000043559,UP
ENSMUSP00000043821,UP
ENSMUSP00000044945,UP
ENSMUSP00000045216,UP
ENSMUSP00000045284,UP
ENSMUSP00000045384,UP
ENSMUSP00000045841,UP
ENSMUSP00000046196,UP
ENSMUSP00000046204,UP
ENSMUSP00000046302,UP
ENSMUSP00000046585,UP
ENSMUSP00000047254,UP
ENSMUSP00000047326,UP
ENSMUSP00000047356,UP
ENSMUSP00000047551,UP
ENSMUSP00000047661,UP
ENSMUSP00000047665,UP
ENSMUSP00000047778,UP
ENSMUSP00000048078,UP
ENSMUSP00000048229,UP
ENSMUSP00000048350,UP
ENSMUSP00000048425,UP
ENSMUSP00000048830,UP
ENSMUSP00000048925,UP
ENSMUSP00000049338,UP
ENSMUSP00000049355,UP
ENSMUSP00000049394,UP
ENSMUSP00000051033,UP
ENSMUSP00000051709,UP
ENSMUSP00000052020,UP
ENSMUSP00000052866,UP
ENSMUSP00000053129,UP
ENSMUSP00000053754,UP
ENSMUSP00000053877,UP
ENSMUSP00000053900,UP
ENSMUSP00000054648,UP
ENSMUSP00000055455,UP
ENSMUSP00000058237,UP
ENSMUSP00000059749,UP
ENSMUSP00000060246,UP
ENSMUSP00000060912,UP
ENSMUSP00000064699,UP
ENSMUSP00000065352,UP
ENSMUSP00000065754,UP
ENSMUSP00000065796,UP
ENSMUSP00000065940,UP
ENSMUSP00000066181,UP
ENSMUSP00000066210,UP
ENSMUSP00000066303,UP
ENSMUSP00000066621,UP
ENSMUSP00000066715,UP
ENSMUSP00000068895,UP
ENSMUSP00000068971,UP
ENSMUSP00000069418,UP
ENSMUSP00000070314,UP
ENSMUSP00000070564,UP
ENSMUSP00000070759,UP
ENSMUSP00000070871,UP
ENSMUSP00000070993,UP
ENSMUSP00000071054,UP
ENSMUSP00000071231,UP
ENSMUSP00000071292,UP
ENSMUSP00000071573,UP
ENSMUSP00000071756,UP
ENSMUSP00000072483,UP
ENSMUSP00000072717,UP
ENSMUSP00000073061,UP
ENSMUSP00000073444,UP
ENSMUSP00000073764,UP
ENSMUSP00000074195,UP
ENSMUSP00000074436,UP
ENSMUSP00000074783,UP
ENSMUSP00000074872,UP
ENSMUSP00000074990,UP
ENSMUSP00000075150,UP
ENSMUSP00000075289,UP
ENSMUSP00000075690,UP
ENSMUSP00000075782,UP
ENSMUSP00000075953,UP
ENSMUSP00000077744,UP
ENSMUSP00000078005,UP
ENSMUSP00000079232,UP
ENSMUSP00000080302,UP
ENSMUSP00000080995,UP
ENSMUSP00000081001,UP
ENSMUSP00000081141,UP
ENSMUSP00000081782,UP
ENSMUSP00000082352,UP
ENSMUSP00000082374,UP
ENSMUSP00000083835,UP
ENSMUSP00000084882,UP
ENSMUSP00000085523,UP
ENSMUSP00000086795,UP
ENSMUSP00000088320,UP
ENSMUSP00000088349,UP
ENSMUSP00000089198,UP
ENSMUSP00000089459,UP
ENSMUSP00000090245,UP
ENSMUSP00000090564,UP
ENSMUSP00000090633,UP
ENSMUSP00000092050,UP
ENSMUSP00000092283,UP
ENSMUSP00000092769,UP
ENSMUSP00000095169,UP
ENSMUSP00000095197,UP
ENSMUSP00000095254,UP
ENSMUSP00000095263,UP
ENSMUSP00000095656,UP
ENSMUSP00000096677,UP
ENSMUSP00000098859,UP
ENSMUSP00000098901,UP
ENSMUSP00000099364,UP
ENSMUSP00000099411,UP
ENSMUSP00000099457,UP
ENSMUSP00000099490,UP
ENSMUSP00000099506,UP
ENSMUSP00000099562,UP
ENSMUSP00000099677,UP
ENSMUSP00000099681,UP
ENSMUSP00000099788,UP
ENSMUSP00000099918,UP
ENSMUSP00000099938,UP
ENSMUSP00000099939,UP
ENSMUSP00000099967,UP
ENSMUSP00000100038,UP
ENSMUSP00000100206,UP
ENSMUSP00000100968,UP
ENSMUSP00000100992,UP
ENSMUSP00000101002,UP
ENSMUSP00000101006,UP
ENSMUSP00000101020,UP
ENSMUSP00000101178,UP
ENSMUSP00000101300,UP
ENSMUSP00000101529,UP
ENSMUSP00000101794,UP
ENSMUSP00000101813,UP
ENSMUSP00000101864,UP
ENSMUSP00000101923,UP
ENSMUSP00000101972,UP
ENSMUSP00000102296,UP
ENSMUSP00000102299,UP
ENSMUSP00000102312,UP
ENSMUSP00000102665,UP
ENSMUSP00000103012,UP
ENSMUSP00000103015,UP
ENSMUSP00000103106,UP
ENSMUSP00000103210,UP
ENSMUSP00000103267,UP
ENSMUSP00000103325,UP
ENSMUSP00000103531,UP
ENSMUSP00000103831,UP
ENSMUSP00000103903,UP
ENSMUSP00000104086,UP
ENSMUSP00000104091,UP
ENSMUSP00000104485,UP
ENSMUSP00000104700,UP
ENSMUSP00000104938,UP
ENSMUSP00000105037,UP
ENSMUSP00000105325,UP
ENSMUSP00000105448,UP
ENSMUSP00000105850,UP
ENSMUSP00000106089,UP
ENSMUSP00000106171,UP
ENSMUSP00000106519,UP
ENSMUSP00000106950,UP
ENSMUSP00000106953,UP
ENSMUSP00000106967,UP
