ENSMUSP,FC
ENSMUSP00000044645,Down
ENSMUSP00000044827,Down
ENSMUSP00000044993,Down
ENSMUSP00000045073,Down
ENSMUSP00000045362,Down
ENSMUSP00000045606,Down
ENSMUSP00000045816,Down
ENSMUSP00000045927,Down
ENSMUSP00000046168,Down
ENSMUSP00000046506,Down
ENSMUSP00000046910,Down
ENSMUSP00000047376,Down
ENSMUSP00000047737,Down
ENSMUSP00000047960,Down
ENSMUSP00000048284,Down
ENSMUSP00000048803,Down
ENSMUSP00000048817,Down
ENSMUSP00000048833,Down
ENSMUSP00000049007,Down
ENSMUSP00000049025,Down
ENSMUSP00000049342,Down
ENSMUSP00000049391,Down
ENSMUSP00000050292,Down
ENSMUSP00000051222,Down
ENSMUSP00000051643,Down
ENSMUSP00000052912,Down
ENSMUSP00000052989,Down
ENSMUSP00000053842,Down
ENSMUSP00000054322,Down
ENSMUSP00000054370,Down
ENSMUSP00000054490,Down
ENSMUSP00000055743,Down
ENSMUSP00000055827,Down
ENSMUSP00000055862,Down
ENSMUSP00000056502,Down
ENSMUSP00000057096,Down
ENSMUSP00000057308,Down
ENSMUSP00000057595,Down
ENSMUSP00000058368,Down
ENSMUSP00000058391,Down
ENSMUSP00000058432,Down
ENSMUSP00000058567,Down
ENSMUSP00000058919,Down
ENSMUSP00000060584,Down
ENSMUSP00000060779,Down
ENSMUSP00000060940,Down
ENSMUSP00000062214,Down
ENSMUSP00000062326,Down
ENSMUSP00000062841,Down
ENSMUSP00000063734,Down
ENSMUSP00000064545,Down
ENSMUSP00000066038,Down
ENSMUSP00000066534,Down
ENSMUSP00000066915,Down
ENSMUSP00000067361,Down
ENSMUSP00000067681,Down
ENSMUSP00000067685,Down
ENSMUSP00000068282,Down
ENSMUSP00000068568,Down
ENSMUSP00000069209,Down
ENSMUSP00000070002,Down
ENSMUSP00000071616,Down
ENSMUSP00000072264,Down
ENSMUSP00000072803,Down
ENSMUSP00000073034,Down
ENSMUSP00000073102,Down
ENSMUSP00000073371,Down
ENSMUSP00000073962,Down
ENSMUSP00000074160,Down
ENSMUSP00000074724,Down
ENSMUSP00000075067,Down
ENSMUSP00000076521,Down
ENSMUSP00000076933,Down
ENSMUSP00000077132,Down
ENSMUSP00000077612,Down
ENSMUSP00000077794,Down
ENSMUSP00000078436,Down
ENSMUSP00000078589,Down
ENSMUSP00000079065,Down
ENSMUSP00000079340,Down
ENSMUSP00000079628,Down
ENSMUSP00000079722,Down
ENSMUSP00000079888,Down
ENSMUSP00000079946,Down
ENSMUSP00000080354,Down
ENSMUSP00000080854,Down
ENSMUSP00000081009,Down
ENSMUSP00000081134,Down
ENSMUSP00000081572,Down
ENSMUSP00000081912,Down
ENSMUSP00000081943,Down
ENSMUSP00000082132,Down
ENSMUSP00000082652,Down
ENSMUSP00000082822,Down
ENSMUSP00000083705,Down
ENSMUSP00000083928,Down
ENSMUSP00000084586,Down
ENSMUSP00000084864,Down
ENSMUSP00000086165,Down
ENSMUSP00000086530,Down
ENSMUSP00000087405,Down
ENSMUSP00000087457,Down
ENSMUSP00000087477,Down
ENSMUSP00000088041,Down
ENSMUSP00000088174,Down
ENSMUSP00000088217,Down
ENSMUSP00000088263,Down
ENSMUSP00000088358,Down
ENSMUSP00000088424,Down
ENSMUSP00000088964,Down
ENSMUSP00000089680,Down
ENSMUSP00000090607,Down
ENSMUSP00000090897,Down
ENSMUSP00000090909,Down
ENSMUSP00000090910,Down
ENSMUSP00000091768,Down
ENSMUSP00000091799,Down
ENSMUSP00000091840,Down
ENSMUSP00000091921,Down
ENSMUSP00000092233,Down
ENSMUSP00000092242,Down
ENSMUSP00000092486,Down
ENSMUSP00000092849,Down
ENSMUSP00000092966,Down
ENSMUSP00000093955,Down
ENSMUSP00000093965,Down
ENSMUSP00000094515,Down
ENSMUSP00000095067,Down
ENSMUSP00000095655,Down
ENSMUSP00000095794,Down
ENSMUSP00000096445,Down
ENSMUSP00000097078,Down
ENSMUSP00000097520,Down
ENSMUSP00000097747,Down
ENSMUSP00000098000,Down
ENSMUSP00000098076,Down
ENSMUSP00000098295,Down
ENSMUSP00000098347,Down
ENSMUSP00000098353,Down
ENSMUSP00000099310,Down
ENSMUSP00000099368,Down
ENSMUSP00000099382,Down
ENSMUSP00000099435,Down
ENSMUSP00000099487,Down
ENSMUSP00000099568,Down
ENSMUSP00000099584,Down
ENSMUSP00000099595,Down
ENSMUSP00000099653,Down
ENSMUSP00000099658,Down
ENSMUSP00000099757,Down
ENSMUSP00000099771,Down
ENSMUSP00000099819,Down
ENSMUSP00000099843,Down
ENSMUSP00000099878,Down
ENSMUSP00000099909,Down
ENSMUSP00000099950,Down
ENSMUSP00000099962,Down
ENSMUSP00000100863,Down
ENSMUSP00000101626,Down
ENSMUSP00000101822,Down
ENSMUSP00000101981,Down
ENSMUSP00000102138,Down
ENSMUSP00000102213,Down
ENSMUSP00000102251,Down
ENSMUSP00000102724,Down
ENSMUSP00000102870,Down
ENSMUSP00000102987,Down
ENSMUSP00000103068,Down
ENSMUSP00000103181,Down
ENSMUSP00000103557,Down
ENSMUSP00000103673,Down
ENSMUSP00000103940,Down
ENSMUSP00000103977,Down
ENSMUSP00000104068,Down
ENSMUSP00000104076,Down
ENSMUSP00000104090,Down
ENSMUSP00000104179,Down
ENSMUSP00000104217,Down
ENSMUSP00000104265,Down
ENSMUSP00000105094,Down
ENSMUSP00000105647,Down
ENSMUSP00000105657,Down
ENSMUSP00000105709,Down
ENSMUSP00000105935,Down
ENSMUSP00000105991,Down
ENSMUSP00000106001,Down
ENSMUSP00000106014,Down
ENSMUSP00000106130,Down
ENSMUSP00000106213,Down
ENSMUSP00000106481,Down
ENSMUSP00000106739,Down
ENSMUSP00000106777,Down
ENSMUSP00000106899,Down
ENSMUSP00000107258,Down
ENSMUSP00000107322,Down
ENSMUSP00000107414,Down
ENSMUSP00000107592,Down
ENSMUSP00000107760,Down
ENSMUSP00000107945,Down
ENSMUSP00000108049,Down
ENSMUSP00000108217,Down
ENSMUSP00000108240,Down
ENSMUSP00000108241,Down
ENSMUSP00000108760,Down
ENSMUSP00000108829,Down
ENSMUSP00000108837,Down
ENSMUSP00000108940,Down
ENSMUSP00000109163,Down
ENSMUSP00000109200,Down
ENSMUSP00000109214,Down
ENSMUSP00000109230,Down
ENSMUSP00000109249,Down
ENSMUSP00000109293,Down
ENSMUSP00000109451,Down
ENSMUSP00000109455,Down
ENSMUSP00000109633,Down
ENSMUSP00000109741,Down
ENSMUSP00000109839,Down
ENSMUSP00000110006,Down
ENSMUSP00000110087,Down
ENSMUSP00000110091,Down
ENSMUSP00000110184,Down
ENSMUSP00000110364,Down
ENSMUSP00000110546,Down
ENSMUSP00000110595,Down
ENSMUSP00000110671,Down
ENSMUSP00000110731,Down
ENSMUSP00000110886,Down
ENSMUSP00000110917,Down
ENSMUSP00000110987,Down
ENSMUSP00000111028,Down
ENSMUSP00000111190,Down
ENSMUSP00000111241,Down
ENSMUSP00000111516,Down
ENSMUSP00000111983,Down
ENSMUSP00000112141,Down
ENSMUSP00000112425,Down
ENSMUSP00000112530,Down
ENSMUSP00000112606,Down
ENSMUSP00000112664,Down
ENSMUSP00000112666,Down
ENSMUSP00000113022,Down
ENSMUSP00000113110,Down
ENSMUSP00000113116,Down
ENSMUSP00000113158,Down
ENSMUSP00000113284,Down
ENSMUSP00000113413,Down
ENSMUSP00000113431,Down
ENSMUSP00000113483,Down
ENSMUSP00000113514,Down
ENSMUSP00000113672,Down
ENSMUSP00000113831,Down
ENSMUSP00000114002,Down
ENSMUSP00000114014,Down
ENSMUSP00000114042,Down
ENSMUSP00000114082,Down
ENSMUSP00000114099,Down
ENSMUSP00000114112,Down
ENSMUSP00000114185,Down
ENSMUSP00000114434,Down
ENSMUSP00000114598,Down
ENSMUSP00000114839,Down
ENSMUSP00000115045,Down
ENSMUSP00000115169,Down
ENSMUSP00000115294,Down
ENSMUSP00000115392,Down
ENSMUSP00000115402,Down
ENSMUSP00000115724,Down
ENSMUSP00000115803,Down
ENSMUSP00000116154,Down
ENSMUSP00000116492,Down
ENSMUSP00000116533,Down
ENSMUSP00000116937,Down
ENSMUSP00000117118,Down
ENSMUSP00000117351,Down
ENSMUSP00000117834,Down
ENSMUSP00000117947,Down
ENSMUSP00000117987,Down
ENSMUSP00000118093,Down
ENSMUSP00000118555,Down
ENSMUSP00000118752,Down
ENSMUSP00000119065,Down
ENSMUSP00000119080,Down
ENSMUSP00000119165,Down
ENSMUSP00000119603,Down
ENSMUSP00000119836,Down
ENSMUSP00000121186,Down
ENSMUSP00000121203,Down
ENSMUSP00000121402,Down
ENSMUSP00000121842,Down
ENSMUSP00000122103,Down
ENSMUSP00000123135,Down
ENSMUSP00000123148,Down
ENSMUSP00000123181,Down
ENSMUSP00000123282,Down
ENSMUSP00000123320,Down
ENSMUSP00000123325,Down
ENSMUSP00000123336,Down
ENSMUSP00000123352,Down
ENSMUSP00000123410,Down
ENSMUSP00000123657,Down
ENSMUSP00000123765,Down
ENSMUSP00000123849,Down
ENSMUSP00000123880,Down
ENSMUSP00000124401,Down
ENSMUSP00000124523,Down
ENSMUSP00000124579,Down
ENSMUSP00000124935,Down
ENSMUSP00000125104,Down
ENSMUSP00000125309,Down
ENSMUSP00000125594,Down
ENSMUSP00000125763,Down
ENSMUSP00000125806,Down
ENSMUSP00000125977,Down
ENSMUSP00000126067,Down
ENSMUSP00000126120,Down
ENSMUSP00000126294,Down
ENSMUSP00000126407,Down
ENSMUSP00000126451,Down
ENSMUSP00000127034,Down
ENSMUSP00000127115,Down
ENSMUSP00000127198,Down
ENSMUSP00000127281,Down
ENSMUSP00000127526,Down
ENSMUSP00000127539,Down
ENSMUSP00000127593,Down
ENSMUSP00000127641,Down
ENSMUSP00000127783,Down
ENSMUSP00000127859,Down
ENSMUSP00000128249,Down
ENSMUSP00000128290,Down
ENSMUSP00000128428,Down
ENSMUSP00000128891,Down
ENSMUSP00000128915,Down
ENSMUSP00000129072,Down
ENSMUSP00000129120,Down
ENSMUSP00000129175,Down
ENSMUSP00000129378,Down
ENSMUSP00000129714,Down
ENSMUSP00000129730,Down
ENSMUSP00000130195,Down
ENSMUSP00000130313,Down
ENSMUSP00000130367,Down
ENSMUSP00000130583,Down
ENSMUSP00000131262,Down
ENSMUSP00000131323,Down
ENSMUSP00000131431,Down
ENSMUSP00000131458,Down
ENSMUSP00000131474,Down
ENSMUSP00000131489,Down
ENSMUSP00000132480,Down
ENSMUSP00000132590,Down
ENSMUSP00000132614,Down
ENSMUSP00000133135,Down
ENSMUSP00000133144,Down
ENSMUSP00000133166,Down
ENSMUSP00000133282,Down
ENSMUSP00000133475,Down
ENSMUSP00000133521,Down
ENSMUSP00000133694,Down
ENSMUSP00000133728,Down
ENSMUSP00000134023,Down
ENSMUSP00000134071,Down
ENSMUSP00000134102,Down
ENSMUSP00000134178,Down
ENSMUSP00000134327,Down
ENSMUSP00000134422,Down
ENSMUSP00000134682,Down
ENSMUSP00000134699,Down
ENSMUSP00000135611,Down
ENSMUSP00000136042,Down
ENSMUSP00000136104,Down
ENSMUSP00000136357,Down
ENSMUSP00000136363,Down
ENSMUSP00000136436,Down
ENSMUSP00000136496,Down
ENSMUSP00000136524,Down
ENSMUSP00000136527,Down
ENSMUSP00000136557,Down
ENSMUSP00000136967,Down
ENSMUSP00000136987,Down
ENSMUSP00000137071,Down
ENSMUSP00000137309,Down
ENSMUSP00000137362,Down
ENSMUSP00000137411,Down
ENSMUSP00000137440,Down
ENSMUSP00000137461,Down
ENSMUSP00000137503,Down
ENSMUSP00000137542,Down
ENSMUSP00000137631,Down
ENSMUSP00000137780,Down
ENSMUSP00000138399,Down
ENSMUSP00000138980,Down
ENSMUSP00000139075,Down
ENSMUSP00000139571,Down
ENSMUSP00000139739,Down
ENSMUSP00000139941,Down
ENSMUSP00000140016,Down
ENSMUSP00000140250,Down
ENSMUSP00000140276,Down
ENSMUSP00000140657,Down
ENSMUSP00000140818,Down
ENSMUSP00000140832,Down
ENSMUSP00000140858,Down
ENSMUSP00000141238,Down
ENSMUSP00000141268,Down
ENSMUSP00000141279,Down
ENSMUSP00000141683,Down
ENSMUSP00000141850,Down
ENSMUSP00000142486,Down
ENSMUSP00000142536,Down
ENSMUSP00000143370,Down
ENSMUSP00000143381,Down
ENSMUSP00000143633,Down
ENSMUSP00000143838,Down
ENSMUSP00000144130,Down
ENSMUSP00000144297,Down
ENSMUSP00000144321,Down
ENSMUSP00000144370,Down
ENSMUSP00000144412,Down
ENSMUSP00000144443,Down
ENSMUSP00000144561,Down
ENSMUSP00000144747,Down
ENSMUSP00000144898,Down
ENSMUSP00000145028,Down
ENSMUSP00000145035,Down
ENSMUSP00000145350,Down
ENSMUSP00000145778,Down
ENSMUSP00000146195,Down
ENSMUSP00000146514,Down
ENSMUSP00000146866,Down
ENSMUSP00000146938,Down
ENSMUSP00000146942,Down
ENSMUSP00000147164,Down
ENSMUSP00000147181,Down
ENSMUSP00000147502,Down
ENSMUSP00000147599,Down
ENSMUSP00000147767,Down
ENSMUSP00000147816,Down
ENSMUSP00000147969,Down
ENSMUSP00000148031,Down
ENSMUSP00000148218,Down
ENSMUSP00000148377,Down
ENSMUSP00000148433,Down
ENSMUSP00000148468,Down
ENSMUSP00000148977,Down
ENSMUSP00000149233,Down
ENSMUSP00000149376,Down
ENSMUSP00000149620,Down
ENSMUSP00000149789,Down
ENSMUSP00000149824,Down
ENSMUSP00000150782,Down
ENSMUSP00000151328,Down
ENSMUSP00000151555,Down
ENSMUSP00000151616,Down
ENSMUSP00000151661,Down
ENSMUSP00000151701,Down
ENSMUSP00000151842,Down
ENSMUSP00000151895,Down
ENSMUSP00000152169,Down
ENSMUSP00000152211,Down
ENSMUSP00000152228,Down
ENSMUSP00000152456,Down
ENSMUSP00000152654,Down
ENSMUSP00000152791,Down
ENSMUSP00000153147,Down
ENSMUSP00000153329,Down
ENSMUSP00000153457,Down
ENSMUSP00000153542,Down
ENSMUSP00000154400,Down
ENSMUSP00000154633,Down
ENSMUSP00000154732,Down
ENSMUSP00000154757,Down
ENSMUSP00000154922,Down
ENSMUSP00000155024,Down
ENSMUSP00000155139,Down
ENSMUSP00000155155,Down
ENSMUSP00000155158,Down
ENSMUSP00000155307,Down
ENSMUSP00000155657,Down
ENSMUSP00000155833,Down
ENSMUSP00000156218,Down
ENSMUSP00000156418,Down
ENSMUSP00000156463,Down
ENSMUSP00000156496,Down
ENSMUSP00000156976,Down
ENSMUSP00000157036,Down
ENSMUSP00000157265,Down
ENSMUSP00000157285,Down
ENSMUSP00000157485,Down
ENSMUSP00000157556,Down
ENSMUSP00000157568,Down
ENSMUSP00000157743,Down
ENSMUSP00000157825,Down
ENSMUSP00000157935,Down
ENSMUSP00000158038,Down
ENSMUSP00000158138,Down
ENSMUSP00000158296,Down
ENSMUSP00000158377,Down
ENSMUSP00000158400,Down
ENSMUSP00000158495,Down
ENSMUSP00000158537,Down
ENSMUSP00000158561,Down
ENSMUSP00000158574,Down
ENSMUSP00000158714,Down
